,parent_event_id,main_event,sub_events,Event_ID_decimal,Event_Type,Main_Event,Source,Event_Name,UUID,GID(s),level,Location,Hazard,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Injured_Min,Injured_Max,Deaths_Min,Deaths_Max,Displaced_Min,Displaced_Max,Homelessness_Min,Homelessness_Max,Affected_Min,Affected_Max,Buildings_Damaged_Min,Buildings_Damaged_Max,Insured_Damage_Min,Insured_Damage_Max,Insured_Damage_Unit,Insured_Damage_Inflation_Adjusted,Insured_Damage_Inflation_Adjusted_Year,Damage_Min,Damage_Max,Damage_Unit,Damage_Inflation_Adjusted,Damage_Inflation_Adjusted_Year
0,1,,"['bmVay3C', 'pkZymN5', 'LTdvEx7', 'CCaqMWJ', '3WKbje9', 'hMdZuq8', 'TePYCnM', 'C7M32Af', '6X3p3Q7', 'A89YJyY', 'APFLTVh', 'JLwkZQg', 'zvJvvas', 'FA4iFcB', 'vgB6KN3', 'uHaVTaw', 'bZSUB5p', 'TxVag5A', 'kMNFMKC', 'K9WqkTV', '6oG4RmN', 'A78kHgF', 'Njt3wcD', 'd3r2D5W', 'V6f3ucZ', 'NsyvBDP', 'NnbR5yS', 'wMQZcqS', '2NryQQk', 'N4Yj7ia', 'GhE75c3', 'TuQWdxN', '4xuNjeB', 'MdJzrsa', '4jZjbP6', 'uodaT6M', 'beHj7Ey', 'MVcrTN9', 'MextN6e', 'dPaRoSC', 'i8hGuAF', 'rVtbXdH', 'ZGrL6vg', 'hv8Fd4Z', 'EYHqbRW', 'MWyihGi', 'y3A7ng3', '4yEvdjC']",1.00,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,UhVMf8B,"['GBR,AUT,BEL,HRV,DEU,ITA,LUX,NLD,CHE,ROU,CZE']",main,"['United Kingdom', 'Austria', 'Belgium', 'Croatia', 'Germany', 'Italy', 'Luxembourg', 'the Netherlands', 'Switzerland', 'Romania', 'Czech Republic']",['Flood'],2021,7,12,2021,7,25,NULL,NULL,243,244,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000000000,3000000000,EUR,No,NULL,46000000000,46000000000,EUR,No,NULL
1,1,UhVMf8B,[],1.01,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,bmVay3C,['DEU'],sub,['Germany '],[''],2021,7,14,2021,7,25,NULL,NULL,196,196,150,160,NULL,NULL,101000,103000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33400000000,33400000000,EUR,No,NULL
3,1,UhVMf8B,[],1.03,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,LTdvEx7,['DEU.2_1'],sub,['Bavaria&Germany '],[''],2021,7,14,2021,7,25,NULL,NULL,2,2,NULL,NULL,NULL,NULL,NULL,NULL,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,1,UhVMf8B,[],1.05,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,3WKbje9,['DEU.2.17_1'],sub,['Berchtesgadener Land&Bavaria&Germany'],[''],2021,7,17,2021,7,17,NULL,NULL,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,1,UhVMf8B,[],1.06,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,hMdZuq8,['DEU.11.31.7.5_1'],sub,['Kordel&Trier-Saarburg&Rhineland-Palatinate&Germany'],[''],2021,7,14,2021,7,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,1,UhVMf8B,[],1.07,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,TePYCnM,['DEU.10.47.4.1_1'],sub,['Eschweiler&North Rhine-Westphalia&Germany'],[''],2021,7,16,2021,7,16,NULL,NULL,NULL,NULL,301,401,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,1,UhVMf8B,[],1.08,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,C7M32Af,['DEU.14_1'],sub,['Saxony&Germany'],[''],2021,7,15,2021,7,17,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,1,UhVMf8B,[],1.09,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,6X3p3Q7,['DEU.11.1_1'],sub,['district of Ahrweiler&Rhineland-Palatinate&Germany'],[''],2021,7,14,2021,7,25,NULL,NULL,135,135,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1,UhVMf8B,[],1.10,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,A89YJyY,['DEU.10_1'],sub,['North Rhine-Westphalia&Germany'],[''],2021,7,14,2021,7,25,NULL,NULL,47,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,UhVMf8B,[],1.11,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,APFLTVh,['DEU.10.13_1'],sub,['Euskirchen&North Rhine-Westphalia&Germany'],[''],2021,7,14,2021,7,25,NULL,NULL,27,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
