,parent_event_id,main_event,sub_events,Event_ID_decimal,Event_Type,Main_Event,Source,Event_Name,UUID,GID(s),level,Location,Hazard,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Injured_Min,Injured_Max,Deaths_Min,Deaths_Max,Displaced_Min,Displaced_Max,Homelessness_Min,Homelessness_Max,Affected_Min,Affected_Max,Buildings_Damaged_Min,Buildings_Damaged_Max,Insured_Damage_Min,Insured_Damage_Max,Insured_Damage_Unit,Insured_Damage_Inflation_Adjusted,Insured_Damage_Inflation_Adjusted_Year,Damage_Min,Damage_Max,Damage_Unit,Damage_Inflation_Adjusted,Damage_Inflation_Adjusted_Year
1,1,,[],1.01,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,bmVay3C,['DEU'],sub,['Germany '],[''],2021,7,12,2021,7,25,NULL,NULL,196,196,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33400000000,33400000000,EUR,No,NULL
2,1,,[],1.02,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,pkZymN5,['DEU'],sub,['Germany'],[''],2021,7,19,2021,7,19,NULL,NULL,NULL,NULL,150,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,1,,[],1.03,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,LTdvEx7,['DEU.2_1'],sub,['Bavaria&Germany '],[''],2021,7,14,2021,7,19,NULL,NULL,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,1,,[],1.04,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,CCaqMWJ,['DEU.2_1'],sub,['Bavaria&Germany'],[''],2021,7,17,2021,7,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,1,,[],1.05,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,3WKbje9,['DEU.2.17_1'],sub,['Berchtesgadener Ache&Bavaria&Germany'],[''],2021,7,17,2021,7,17,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,1,,[],1.06,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,hMdZuq8,['DEU.11.31.7.5_1'],sub,['Kordel&Trier-Saarburg&Germany'],[''],2021,7,14,2021,7,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000,2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,1,,[],1.07,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,TePYCnM,['DEU.10.47.4.1_1'],sub,['Eschweiler&Germany'],[''],2021,7,16,2021,7,16,NULL,NULL,NULL,NULL,300,300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,1,,[],1.08,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,C7M32Af,['DEU.14_1'],sub,['Saxony&Germany'],[''],2021,7,15,2021,7,17,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,1,,[],1.09,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,6X3p3Q7,['DEU.11.1_1'],sub,['district of Ahrweiler&Rhineland-Palatinate&Germany'],[''],2021,7,14,2021,7,19,NULL,NULL,135,135,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1,,[],1.10,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,A89YJyY,['DEU.10_1'],sub,['North Rhine-Westphalia&Germany'],[''],2021,7,14,2021,7,19,NULL,NULL,47,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,,[],1.11,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,APFLTVh,['DEU.10.13_1'],sub,['Euskirchen&North Rhine-Westphalia&Germany'],[''],2021,7,14,2021,7,19,NULL,NULL,27,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,1,,[],1.12,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,JLwkZQg,['DEU.10.13_1'],sub,['parts of Euskirchen&North Rhine-Westphalia&Germany'],[''],2021,7,15,2021,7,15,NULL,NULL,NULL,NULL,4500,4500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,1,,[],1.13,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,zvJvvas,['DEU.10.13_1'],sub,['near Euskirchen&North Rhine-Westphalia&Germany'],[''],2021,7,16,2021,7,16,NULL,NULL,NULL,NULL,360,360,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,1,,[],1.14,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,FA4iFcB,['BEL'],sub,['Belgium'],[''],2021,7,12,2021,7,25,NULL,NULL,43,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,1,,[],1.15,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,vgB6KN3,['BEL.3.5.1.5_1'],sub,['Belgium'],[''],2021,7,18,2021,7,18,NULL,NULL,31,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,1,,[],1.16,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,uHaVTaw,['BEL.3.3.2.16_1'],sub,['city of Liège&Belgium'],[''],2021,7,15,2021,7,15,NULL,NULL,NULL,NULL,200000,200000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,1,,[],1.17,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,bZSUB5p,['BEL.3.3.3.17_1'],sub,['Pepinster&Belgium'],[''],2021,7,18,2021,7,18,NULL,NULL,23,23,NULL,NULL,NULL,NULL,NULL,NULL,20,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,1,,[],1.18,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,TxVag5A,['BEL.3.3.3_1'],sub,['Verviers&Belgium'],[''],2021,7,18,2021,7,18,NULL,NULL,NULL,NULL,10000,10000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,1,,[],1.19,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,kMNFMKC,['BEL.3.3.2.10_1'],sub,['Tilff&Belgium'],[''],2021,7,15,2021,7,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,1,,[],1.20,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,K9WqkTV,['AUT'],sub,['Austria'],[''],2021,7,12,2021,7,25,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,1,,[],1.21,Single,Flood,https://en.wikipedia.org/wiki?curid=68241636,2021 European Floods,6oG4RmN,"['AUT.5.6.18_2,AUT.5.1_2']",sub,['Saalbach-Hinterglemm&Austria'],[''],2021,7,17,2021,7,17,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
