URL,Title
https://en.wikipedia.org/wiki?curid=68241636,2021 European floods
https://en.wikipedia.org/wiki?curid=7870060,Drought in Australia
https://en.wikipedia.org/wiki?curid=30855389,2010–2011 China drought
https://en.wikipedia.org/wiki?curid=51630189,2006–2008 Southeastern United States drought
https://en.wikipedia.org/wiki?curid=38322978,"Tornado outbreak of November 27–28, 2005"
https://en.wikipedia.org/wiki?curid=63743200,"Tornado outbreak of April 21–23, 2020"
https://en.wikipedia.org/wiki?curid=5589427,Cyclone Steve
https://en.wikipedia.org/wiki?curid=54327832,Timeline of the 2015 North Indian Ocean cyclone season
https://en.wikipedia.org/wiki?curid=61000334,Cyclone Vayu
https://en.wikipedia.org/wiki/Cyclone_Monica,Cyclone Monica
https://en.wikipedia.org/wiki/Electra_Fire_(2022),Electra Fire (2022)
https://en.wikipedia.org/wiki/2008_Queensland_storms,2008 Queensland storms
https://en.wikipedia.org/wiki/Typhoon_Sepat,Typhoon Sepat
https://en.wikipedia.org/wiki/2021_Western_North_America_heat_wave,2021 Western North America heat wave
https://en.wikipedia.org/wiki/Hurricane_Ophelia_(2005),Hurricane Ophelia (2005)
https://en.wikipedia.org/wiki/2017_West_Bengal_floods,2017 West Bengal floods
https://en.wikipedia.org/wiki/2022_European_heat_waves,2022 European heatwaves
https://en.wikipedia.org/wiki/Hurricane_Agnes,Hurricane Agnes
https://en.wikipedia.org/wiki/Typhoon_Alex_(1987),Typhoon Alex (1987)
https://en.wikipedia.org/wiki/Tropical_Storm_Ampil,Tropical Storm Ampil
https://en.wikipedia.org/wiki/Hurricane_Danielle_(2022),2022 Atlantic hurricane season
https://en.wikipedia.org/wiki/Dome_Fire_(2020),Dome Fire (2020)
https://en.wikipedia.org/wiki/Cyclone_Luban,Cyclone Luban
https://en.wikipedia.org/wiki/Palmer_Fire,Palmer Fire
https://en.wikipedia.org/wiki/Tropical_Storm_Erika,Tropical Storm Erika
https://en.wikipedia.org/wiki/2008_South_China_floods,2008 South China floods
https://en.wikipedia.org/wiki/2003_Canberra_bushfires,2003 Canberra bushfires
https://en.wikipedia.org/wiki/Typhoon_Mawar_(2005),2005 Pacific typhoon season
https://en.wikipedia.org/wiki/Typhoon_Olive_(1971),Typhoon Olive (1971)
https://en.wikipedia.org/wiki/Tropical_Storm_Jerry_(2001),2001 Atlantic hurricane season
https://en.wikipedia.org/wiki/Tropical_Storm_Delfina,Tropical Storm Delfina
https://en.wikipedia.org/wiki/Tropical_Depression_Eight_(1981),Tropical Depression Eight (1981)
https://en.wikipedia.org/wiki/2020_East_Africa_floods,2020 East Africa floods
https://en.wikipedia.org/wiki/Typhoon_Xangsane_(2000),Typhoon Xangsane (2000)
https://en.wikipedia.org/wiki/2019_Pune_flood,2019 Pune flood
https://en.wikipedia.org/wiki/Tropical_Storm_Matthew_(2010),Tropical Storm Matthew (2010)
https://en.wikipedia.org/wiki/Typhoon_Dot_(1985),Typhoon Dot (1985)
https://en.wikipedia.org/wiki/Typhoon_Phanfone_(2014),Typhoon Phanfone (2014)
https://en.wikipedia.org/wiki/Tropical_Storm_Helene_(2000),Tropical Storm Helene (2000)
https://en.wikipedia.org/wiki/Cyclone_Hollanda,Cyclone Hollanda
https://en.wikipedia.org/wiki/Hurricane_Erick_(2013),Hurricane Erick (2013)
https://en.wikipedia.org/wiki/Typhoon_Phanfone,Typhoon Phanfone
https://en.wikipedia.org/wiki/2014_Southeast_Europe_floods,2014 Southeast Europe floods
https://en.wikipedia.org/wiki/Typhoon_Kujira_(2009),Typhoon Kujira (2009)
https://en.wikipedia.org/wiki/Typhoon_Nesat_(2022),2022 Pacific typhoon season
https://en.wikipedia.org/wiki/Tropical_Storm_Cristobal_(2008),Tropical Storm Cristobal (2008)
https://en.wikipedia.org/wiki/Tropical_Storm_Usagi_(2018),Tropical Storm Usagi (2018)
https://en.wikipedia.org/wiki/McNally_Fire,McNally Fire
https://en.wikipedia.org/wiki/Hurricane_Polo_(2014),2014 Pacific hurricane season
https://en.wikipedia.org/wiki/Hurricane_Carrie,Hurricane Carrie
https://en.wikipedia.org/wiki/Tropical_Storm_Fran_(1984),Tropical Storm Fran (1984)
https://en.wikipedia.org/wiki/Cerro_Grande_Fire,Cerro Grande Fire
https://en.wikipedia.org/wiki/Hurricane_Julia_(2010),Hurricane Julia (2010)
https://en.wikipedia.org/wiki/Typhoon_Agnes_(1984),Typhoon Agnes (1984)
https://en.wikipedia.org/wiki/Cyclone_Asani,Cyclone Asani
https://en.wikipedia.org/wiki/Hurricane_Fred_(2015),Hurricane Fred (2015)
https://en.wikipedia.org/wiki/2014_Bulgarian_floods,2014 Bulgarian floods
https://en.wikipedia.org/wiki/Hurricane_Elsa,Hurricane Elsa
https://en.wikipedia.org/wiki/January_2008_North_American_storm_complex,January 2008 North American storm complex
https://en.wikipedia.org/wiki/Hurricane_Brenda_(1973),Hurricane Brenda (1973)
https://en.wikipedia.org/wiki/2008_Chinese_winter_storms,2008 Chinese winter storms
https://en.wikipedia.org/wiki/Manzanita_Fire,Manzanita Fire
https://en.wikipedia.org/wiki/Tropical_Storm_Kompasu_(2021),Tropical Storm Kompasu
https://en.wikipedia.org/wiki/Hurricane_How,Hurricane How
https://en.wikipedia.org/wiki/Hurricane_Ignacio_(2003),Hurricane Ignacio (2003)
https://en.wikipedia.org/wiki/1933_Texas_tropical_storm,1933 Texas tropical storm
https://en.wikipedia.org/wiki/Cyclone_Magda,Cyclone Magda
https://en.wikipedia.org/wiki/Hurricane_Cristobal,Hurricane Cristobal
https://en.wikipedia.org/wiki/Tropical_Storm_Dujuan_(2021),Tropical Storm Dujuan (2021)
https://en.wikipedia.org/wiki/Hurricane_Earl_(2022),Hurricane Earl (2022)
https://en.wikipedia.org/wiki/Hurricane_Linda_(2015),Hurricane Linda (2015)
https://en.wikipedia.org/wiki/1775_Newfoundland_hurricane,1775 Newfoundland hurricane
