,sentences
0,The San Felipe Hurricane was the second tropical cyclone of the 1876 Atlantic hurricane season.
1,"The storm was first observed east of the Leeward Islands on September 12, later intensifying to a Category 3 hurricane on the modern-day Saffir–Simpson scale while approaching Puerto Rico."
2,"In the upcoming days, the storm would make landfall on Hispaniola and Cuba, while also at hurricane intensity."
3,"Weakening to a tropical storm, it crossed the island until emerging over central Cuba, and passing just east of Florida."
4,"The storm re-intensified into a hurricane and struck near Wilmington, North Carolina, as Category 1 hurricane."
5,"Continuing inland, the San Felipe Hurricane gradually weakened over the United States, reaching near Cape Cod before dissipation on September 19."
6,"Many homes on Saint Thomas lost their roofs and fences, but impact from this storm was less than during comparable ones."
7,"Saint Croix, however, reportedly experienced its worst hurricane in 50 years, while Saint Kitts also suffered considerably."
8,The storm was among the worst on Puerto Rico during the 19th century.
9,"In San Juan, the storm left few homes undamaged."
10,"Overflowing rivers and the storm itself carried away many bridges and caused significant losses to coffee, rice, and sugarcane estates."
11,A total of 19 deaths were reported.
12,"At least 13 drownings occurred in North Carolina, two in Onslow County and eleven others after a ship sank at Portsmouth."
13,Many other ships capsized along the coast of North Carolina.
14,"Flooding, damage to buildings, and uprooted trees were reported in Wilmington."
15,"The cyclone impacted several other states, particularly New Jersey, where the barrier islands in Cape May County alone tallied about $30,000 in damage."
16,"-Meteorological history-
The Atlantic hurricane best track begins the track of this system about 215 mi(345 km) east of Barbuda early on September 12, the first day when the Lesser Antilles observed strong winds and decreasing atmospheric pressures."
17,"However, the bark Mary M. Williams reportedly encountered this storm before that day."
18,An unofficial study by Michael Chenoweth in 2014 found that the storm originated between West Africa and the Lesser Antilles on October 10.
19,"Considered a Category 1 hurricane on the modern-day Saffir–Simpson scale at the beginning of its track, the storm moved generally westward and passed either or over Anguilla, Saint Barthélemy, and Saint Martin late on September 12."
20,"By early the next day, the cyclone briefly intensified into a Category 3 hurricane, peaking with winds of 115 mph(185 km/h), several hours before striking Puerto Rico between Yabucoa and Humacao."
21,A 2003 reanalysis by the Atlantic hurricane reanalysis project estimated this intensity based on the damage that occurred in Puerto Rico.
22,"Also according to a study of impacts on the island, Father Benito Viñes calculated that the cyclone had a small diameter of about 185 mi(300 km)."
23,"Humacao recorded an atmospheric pressure of 979 mbar(28.9 inHg), the lowest in relation to the storm."
24,"The system moved west-northwestward across the Mona Passage and struck the Dominican Republic, weakening to a tropical storm on September 14 as it traversed Hispaniola."
25,"The storm briefly re-attained Category 1 hurricane status while crossing the Windward Passage early on September 15, based on a 2000 re-analysis by meteorologist Louis A. Pérez Jr., and soon made landfall in Cuba near San Antonio del Sur."
26,"Weakening to a tropical storm, the cyclone continued west-northwestward until turning northward over the central part Cuba early on September 16, several hours before emerging into the far southwestern Atlantic."
27,"At 18:00 UTC, the system passed about 30 mi(48 km) west of Grand Bahama and about 40 mi(64 km) east of present-day Palm Beach, Florida."
28,"Based on land and ship observations, the storm re-intensified into a hurricane on September 17, though Chenoweth's study found that it had remained a hurricane over the past three days."
29,The hurricane made landfall in North Carolina between Surf City and Topsail Beach around 14:00 UTC with winds of 90 mph(150 km/h).
30,"Moving parabolically across the interior of the United States, the cyclone weakened to a tropical storm over Virginia early on September 18 and to a tropical depression about 24 hours later over New York."
31,"Late on September 19, the depression dissipated near Cape Cod, Massachusetts."
32,"-Impact-
A newspaper on Saint Thomas noted that many homes lost their roofs and fences, but that impact from this storm was less than during other cyclones, such as in 1867 and 1871."
33,"Saint Croix, however, reportedly experienced its worst hurricane in 50 years, while Saint Kitts also suffered considerably."
34,"In the former, the hurricane's impact in Christiansted was ""not so great as might have been expected from the fury of the storm""."
