index,0,1
0,Track map of the hurricane.,Track map of the hurricane.
1,Meteorological history,Meteorological history
2,Formed,"September 12, 1876"
3,Dissipated,"September 19, 1876"
4,Category 3 major hurricane,Category 3 major hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,120 mph (195 km/h)
7,Lowest pressure,980 mbar (hPa); 28.94 inHg
8,Overall effects,Overall effects
9,Fatalities,21
10,Areas affected,"Antigua, St. Kitts, Virgin Islands, Puerto Rico, Hispaniola, the Carolinas"
11,IBTrACS,IBTrACS
12,Part of the 1876 Atlantic hurricane season,Part of the 1876 Atlantic hurricane season
