,0,1
0,"Surface weather analysis of Hurricane Three on August 21, 1893, off the Mid-Atlantic U.S. coast","Surface weather analysis of Hurricane Three on August 21, 1893, off the Mid-Atlantic U.S. coast"
1,Meteorological history,Meteorological history
2,Formed,"August 13, 1893"
3,Dissipated,"August 22, 1893"
4,Category 3 major hurricane,Category 3 major hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,120 mph (195 km/h)
7,Overall effects,Overall effects
8,Fatalities,37
9,Damage,Unknown
10,Areas affected,"Lesser Antilles, Puerto Rico, New England, Atlantic Canada"
11,Part of the 1893 Atlantic hurricane season,Part of the 1893 Atlantic hurricane season
