index,0,1
0,"Surface Weather Analysis of Hurricane San Ciriaco on August 13, 1899.","Surface Weather Analysis of Hurricane San Ciriaco on August 13, 1899."
1,Meteorological history,Meteorological history
2,Formed,"August 3, 1899"
3,Extratropical,"September 4, 1899"
4,Dissipated,"September 12, 1899"
5,Duration,4 weeks
6,Category 4 major hurricane,Category 4 major hurricane
7,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
8,Highest winds,150 mph (240 km/h)
9,Lowest pressure,930 mbar (hPa); 27.46 inHg
10,Overall effects,Overall effects
11,Fatalities,"3,855 direct"
12,Damage,$20 million (1899 USD)
13,Areas affected,"Leeward Islands, Puerto Rico, Hispaniola, Turks and Caicos Islands, Cuba, Bahamas, East Coast of the United States (Landfall in North Carolina), Atlantic Canada, Azores"
14,IBTrACS,IBTrACS
15,Part of the 1899 Atlantic hurricane season,Part of the 1899 Atlantic hurricane season
