,1902–1919 Pacific typhoon seasons,1902–1919 Pacific typhoon seasons
,Seasonal boundaries,Seasonal boundaries.1
0,First system formed,March 1904
1,Last system dissipated,December 1904
2,Seasonal statistics,Seasonal statistics
3,Total depressions,23[1]
4,Total fatalities,Unknown
5,Total damage,Unknown
6,Related articles,Related articles
7,1904 Atlantic hurricane season 1900–09 Pacific hurricane seasons 1900s North Indian Ocean cyclone seasons,1904 Atlantic hurricane season 1900–09 Pacific hurricane seasons 1900s North Indian Ocean cyclone seasons
8,"Pacific typhoon seasons 1902, 1903, 1904, 1905, 1906","Pacific typhoon seasons 1902, 1903, 1904, 1905, 1906"
