,0,1
0,Weather map of the storm after becoming an extratropical cyclone off the coast of the Eastern United States,Weather map of the storm after becoming an extratropical cyclone off the coast of the Eastern United States
1,Meteorological history,Meteorological history
2,Formed,"November 27, 1925"
3,Dissipated,"December 1, 1925"
4,Tropical storm,Tropical storm
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,65 mph (100 km/h)
7,Lowest pressure,995 mbar (hPa); 29.38 inHg
8,Overall effects,Overall effects
9,Fatalities,73 direct
10,Damage,$3 million (1925 USD)
11,Areas affected,"Eastern United States, Cuba and Honduras"
12,IBTrACS,IBTrACS
13,Part of the 1925 Atlantic hurricane season,Part of the 1925 Atlantic hurricane season
