index,0,1
0,Surface weather analysis of the storm on August 13,Surface weather analysis of the storm on August 13
1,Meteorological history,Meteorological history
2,Formed,"August 12, 1932"
3,Dissipated,"August 15, 1932"
4,Category 4 major hurricane,Category 4 major hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,150 mph (240 km/h)
7,Lowest pressure,935 mbar (hPa); 27.61 inHg
8,Overall effects,Overall effects
9,Fatalities,40
10,Damage,$7.5 million (1932 USD)
11,Areas affected,South Central U.S.
12,IBTrACS,IBTrACS
13,Part of the 1932 Atlantic hurricane season,Part of the 1932 Atlantic hurricane season
