,0,1
0,Surface weather analysis of the storm on July 21,Surface weather analysis of the storm on July 21
1,Meteorological history,Meteorological history
2,Formed,"July 14, 1933"
3,Extratropical,July 23
4,Dissipated,"July 27, 1933"
5,Tropical storm,Tropical storm
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,50 mph (85 km/h)
8,Lowest pressure,999 mbar (hPa); 29.50 inHg
9,Overall effects,Overall effects
10,Damage,$1.5 million (1933 USD)
11,Areas affected,"Jamaica, Belize, Yucatán Peninsula, South-Central United States"
12,IBTrACS,IBTrACS
13,Part of the 1933 Atlantic hurricane season,Part of the 1933 Atlantic hurricane season
