,0,1
0,Surface weather analysis of the hurricane on September 3 near the Bahamas,Surface weather analysis of the hurricane on September 3 near the Bahamas
1,Meteorological history,Meteorological history
2,Formed,"August 31, 1933"
3,Dissipated,"September 7, 1933"
4,Category 4 major hurricane,Category 4 major hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,140 mph (220 km/h)
7,Lowest pressure,≤945 mbar (hPa); ≤27.91 inHg
8,Overall effects,Overall effects
9,Fatalities,3 total
10,Damage,$3 million (1933 USD)
11,Areas affected,"The Bahamas, Florida, Georgia, The Carolinas"
12,IBTrACS,IBTrACS
13,Part of the 1933 Atlantic hurricane season,Part of the 1933 Atlantic hurricane season
