index,0,1
0,Track map of the storm,Track map of the storm
1,Meteorological history,Meteorological history
2,Formed,"June 24, 1933"
3,Dissipated,"July 8, 1933"
4,Category 2 hurricane,Category 2 hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,110 mph (175 km/h)
7,Lowest pressure,965 mbar (hPa); 28.50 inHg
8,Overall effects,Overall effects
9,Fatalities,35 total
10,Damage,$7.2 million (1933 USD)
11,Areas affected,"Leeward Islands (Trinidad landfall), Venezuela, Cuba, Mexico"
12,IBTrACS,IBTrACS
13,Part of the 1933 Atlantic hurricane season,Part of the 1933 Atlantic hurricane season
