index,0,1
0,Surface weather analysis of the storm at peak intensity on September 13,Surface weather analysis of the storm at peak intensity on September 13
1,Meteorological history,Meteorological history
2,Formed,"September 9, 1944"
3,Extratropical,"September 15, 1944"
4,Dissipated,"September 16, 1944"
5,Category 5 major hurricane,Category 5 major hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,160 mph (260 km/h)
8,Lowest pressure,≤918 mbar (hPa); ≤27.11 inHg
9,Overall effects,Overall effects
10,Fatalities,"300–400, primarily at sea"
11,Damage,$100 million (1944 USD)
12,Areas affected,"United States East Coast (especially New England), Atlantic Canada"
13,IBTrACS,IBTrACS
14,Part of the 1944 Atlantic hurricane season,Part of the 1944 Atlantic hurricane season
