,sentences
0,"The 1945 Outer Banks hurricane was a moderate hurricane that struck Florida and affected the East Coast of the United States in late June, 1945."
1,"The first tropical storm and the first hurricane of the Atlantic season, it developed on June 20 in the western Caribbean Sea off Honduras."
2,"For the next two days, it moved generally northward into the Gulf of Mexico."
3,"Reaching hurricane intensity on June 23, it then turned northeast toward the Florida peninsula."
4,"It made landfall in the Big Bend on June 24, then weakened to a tropical storm over land."
5,"Minor damage was reported in Florida, but the storm produced heavy, though beneficial, rains that eased one of the state's worst recorded droughts."
6,"Upon entering the Atlantic Ocean, it re-intensified into a hurricane and paralleled the East Coast."
7,"On June 26, it struck the Outer Banks of North Carolina as a minimal hurricane, producing minor damage but heavy rainfall."
8,"Continuing northeast, the cyclone delivered gale-force winds to New York and southern New England, causing traffic accidents and minor wind damage."
9,"Heavy rains drenched the area, and high waves offshore caused ships to need rescue."
10,One man died in a traffic accident; some people were rescued on Long Island Sound.
11,"Peak winds on land were 66 miles per hour(106 km/h) at Nantucket, forcing ships to remain in port."
12,The U.S. Coast Guard sought to escort ships at sea into safe harbor.
13,"Overall, the impact of the storm was minor, though temperatures fell almost 20 °F(−7 °C) the day after the storm."
14,"-Meteorological history-
On June 19, a tropical disturbance was detected between Swan Island and the Honduran coast."
15,"However, surface data in the vicinity did not indicate a closed circulation until 12 UTC on June 20."
16,"At 14 UTC that day, an Air Force reconnaissance plane located near 24°N 84°W reported gale-force winds of 35 knots(18 m/s)(40 miles per hour(64 km/h))."
17,"At the time, this was taken to indicate that a tropical storm had formed about 100 miles(160 km) northwest of Swan Island."
18,"Reanalysis by the Hurricane Research Division in 2013, however, determined that a tropical storm formed farther northwest, near 19°N 86°W. Squally weather, and winds of moderate tropical storm force, was reported in connection with the tropical storm as it moved generally northward, toward the Yucatán Channel."
19,"Little strengthening occurred over the next two days, until after 12 UTC on June 22."
20,"At that time, a period of rapid deepening commenced: within 24 hours, the cyclone increased its winds from 50 mph(80 km/h) to 80 mph(130 km/h)."
21,"At the same time, its track made a sharp bend toward the northeast, threatening the Florida peninsula."
22,"While no central pressure was recorded, Hurricane Hunter aircraft flew into the storm on June 23 and reported winds of 115 mph(185 km/h) at 2015 UTC."
23,"As with most early reconnaissance data, such readings are suspect; however, based upon the reconnaissance measurement, the storm was originally listed in the Atlantic hurricane database as a Category 3 hurricane."
24,"Later, reanalysis lowered this estimate to 100 mph(160 km/h), equal to Category 2 on the modern Saffir-Simpson Hurricane Scale, due primarily to the absence of corroboration."
25,"After peaking late on June 23, the storm quickly lost intensity."
26,"The hurricane continued northeast and made landfall at 08 UTC on June 24, north of the Tampa Bay Area."
27,"Although observations were sparse near the eye, the system was estimated to have had winds of 80 mph(130 km/h), though only minor impacts were reported as few people lived in the landfall area."
28,"After making landfall, the center tracked inland between Brooksville and Dunnellon, near the Hernando–Citrus county line."
29,"About an hour before 18 UTC, the cyclone returned to water off the Atlantic coast of Florida, passing between St. Augustine and Daytona Beach."
30,"Due to interaction with land, maximum sustained winds by then had decreased to 60 mph(97 km/h)."
31,"After moving offshore, however, the cyclone quickly regained force."
32,"Within seven hours, it re-intensified into a minimal hurricane and paralleled the Southeastern United States, following the warm Gulf Stream."
33,"Early on June 26, the northeast-moving hurricane approached the North Carolina coast, and made a second landfall at 01 UTC near Beaufort, North Carolina."
34,"Passing very near to Cape Hatteras, the eye of the storm moved offshore at Oregon Inlet, near Wanchese."
35,The storm maintained hurricane intensity as it moved over and northeast of the Outer Banks.
36,"At 06 UTC on June 27, the cyclone finally lost tropical characteristics, but still retained winds of hurricane force for another 12 hours."
37,"Continuing to the northeast, the extratropical low passed south of Nova Scotia and hit Miquelon, Miquelon-Langlade, Saint Pierre and Miquelon, with winds of 40 mph(64 km/h)."
