,sentences
0,"The 1957 Pacific typhoon season has no official bounds; it ran year-round in 1957, but most tropical cyclones tend to form in the northwestern Pacific Ocean between June and December."
1,These dates conventionally delimit the period of each year when most tropical cyclones form in the northwestern Pacific Ocean.
2,"The scope of this article is limited to the Pacific Ocean, north of the equator and west of the International Date Line."
3,Storms that form east of the date line and north of the equator are called hurricanes; see 1957 Pacific hurricane season.
4,Tropical storms formed in the entire west Pacific basin were assigned a name by the Fleet Weather Center on Guam.
5,"-Systems-
Twenty-two tropical storms developed in 1957 in the Northwestern Pacific."
6,"Tropical depressions were likely, but no records are known to exist that would mention any."
7,"Eighteen storms reached typhoon intensity, of which 8 reached super typhoon strength."
8,"An additional storm, Della, came across the Dateline from the Central Pacific, therefore it is not taken account in the total number of storms."
9,"--Tropical Storm 01W--
The first tropical cyclone of the 1957 season, classified as Tropical Storm 01W by the JTWC, was initially identified early on January 3 as a tropical depression over open waters east of the Philippines."
10,"Within several hours, the system intensified into a tropical storm as it tracked west-northwestward."
11,"Later that day, the storm attained its peak intensity with winds of 45 mph(72 km/h) and a barometric pressure of 995 millibars(29.4 inHg)."
12,Tropical Storm 01W maintained this intensity through January 5 before abruptly weakening to a tropical depression near the eastern Philippines.
13,The system made landfall in eastern Leyte early on January 6 with winds of 35 mph(56 km/h) before dissipating the following day over Romblon.
14,"--Typhoon Rose--
About two weeks after Tropical Storm 01W dissipated over the Philippines, a new tropical depression formed to the southeast of Guam on January 21."
15,Gradual intensification took place as the depression tracked westward.
16,"The JTWC began monitoring the system as Tropical Storm Rose the following day, with the first advisory on the storm placing maximum winds at 50 mph(80 km/h)."
17,"Rose maintained this intensity for roughly 24 hours before undergoing a brief period of rapid intensification, attaining winds of 110 mph(180 km/h) early on January 23."
18,"For most of the day, the now Category 2 typhoon, strengthened at a more modest rate before undergoing a second brief period of rapid intensification."
19,"At the end of the second strengthening phase, Rose had attained its peak intensity just below Category 5 status, on the modern-day Saffir–Simpson Hurricane Scale, with winds of 155 mph(249 km/h), and a minimum pressure of 952 millibars(28.1 inHg)."
20,"Upon attaining this intensity, Rose became the most intense January typhoon on record, surpassing that of Super Typhoon Karen in 1948."
21,"After attaining its peak intensity, Rose began to take a more northerly track and weakened."
22,"Late on January 25, Rose rapidly weakened to a low-end typhoon and by January 26, the system had further weakened to a tropical storm."
23,"The JTWC continued to monitor the weakening tropical storm until January 27, by which time Rose had maximum winds of 40 mph(64 km/h)."
24,"However, the JMA continued monitoring the remnants of Rose as it turned sharply eastward over open waters."
25,"During the afternoon of January 28, the depression nearly stalled as it turned northward before accelerating and losing its identity south of Japan on January 30."
26,"--Typhoon Shirley--
Shirley formed on April 11 east of the Philippines."
27,It moved north and intensified to its brief peak of 115 mph(185 km/h) winds and a pressure of 975 mbar on April 15.
28,Shirley then turned to the northwest and weakened to a tropical storm on April 16.
29,Shirley turned to the west and dissipated on April 18 near the northern end of Luzon.
30,"--Typhoon Trix--
Trix formed on May 2 near the Marshall Islands."
31,"It moved north briefly on May 3 and May 4, intensified to its peak of 140 mph(230 km/h) on May 5, and then turned to the west-northwest."
32,"Trix turned to the north on May 9 and to the east-northeast on May 10, weakening to a Category 2 typhoon on May 11."
33,Trix continued to move northeast and weakened to a Category 1 typhoon on May 13.
34,It dissipated on May 17 just over the Date Line without affecting any land.
35,"--Typhoon Virginia--
Virginia formed on June 18 in the open western Pacific east of the southern Philippines."
36,It moved west and strengthened to a typhoon on June 20 and reached its peak of 175 mph(282 km/h)and a minimum central pressure of 900 mbar on June 22.
37,Virginia then began to move northwest and weakened to a Category 4 typhoon as it passed east of Luzon on June 23 and June 24.
38,"It turned northward on June 24, strengthened to a secondary peak of 160 mph(260 km/h), and weakened before it made landfall in Taiwan on June 25 as a Category 2 typhoon."
39,Virginia then continued to move north and then northeast until its dissipation on June 28.
40,Virginia was an early season typhoon.
41,"It destroyed 1,000 buildings and killed 86 people as it sliced through Taiwan and southern Japan."
42,The storm left $20 million(1957 USD) in damage.
43,"--Typhoon Wendy--
According to the International Best Track Archive for Climate Stewardship, Wendy originated from a tropical depression well east of the Philippines on July 10."
44,"Developing into a tropical storm several hours later, further development would occur as Wendy tracked northwestwards."
45,"As a result, around three days later, the system became a typhoon."
46,"Further intensification occurred, and around 15:00 UTC on July 14, Wendy peaked with sustained winds of 90 knots(100 mph) and a minimum pressure of 985 hPa."
47,"However, around that time, Wendy made its first landfall in Luzon, causing it to weaken into a Category 1-equivalent typhoon the next day."
48,"Although it temporarily reintensified, attaining a secondary peak with sustained winds of 80 knots(90 mph) around that time, it began rapidly weakening, making its final landfall in Guangdong, China as a high-end tropical storm."
49,"Once inland, Wendy rapidly weakened, dissipating on July 16."
50,"Prior to striking the nation, the Hong Kong Observatory hoisted a No."
51,5 storm signal as Wendy was expected to strike the nation.
52,This was later upgraded to a No.
53,6 storm signal when Wendy made its closest approach to Hong Kong.
54,Two cruisers from the Royal Navy left the colony.
55,"Due to the typhoon's winds, American billionaire Nelson Rockefeller had to divert his plane to the colony."
56,"Despite these preparations, Wendy's impacts in Hong Kong were severe."
57,"Striking the island with gusts of 95 knots(110 mph) and torrential rainfall, the typhoon killed sixteen and injured a further two hundred."
58,These included two boys who were killed when their huts collapsed on them and another boy who was also killed when he drowned in the sea surrounding West Point.
59,"The roof and rear of four homes collapsed, blocking all of Stavely Street."
60,"The SS Tweed Breeze broke from its buoy and ran aground in Stonecutter's Island, while parts of Taipo Road became inaccessible due to collapsing."
61,"Elsewhere, in the Philippines, Wendy brought flooding which killed at least seventy-six, most of them children, and made a further three hundred go missing."
62,This flooding also displaced around thirty thousand people and destroyed several towns.
63,Damage there amounted to $2 million(1957 USD).
64,"Elsewhere, in China's Guangdong Province, over three hundred-thousand people were mobilized to gather crops and take safety precautions due to the storm."
65,"Offshore Guangdong Province, eight people died when their fishing boat sank due to Wendy."
66,"Additionally, estimates indicated that around a fifth of the unharvested rice in the province was destroyed."
67,"Although Wendy did bring some gale-force winds to Taiwan, no damage was reported there."
68,"--Typhoon Agnes--
On August 12, the seventh storm of the season formed."
69,"Agnes moved in an erratic northern direction until August 16, when it briefly turned to the northwest toward China."
70,"Agnes then began to curve towards the north, passing over one of the Ryukyu Islands with 155 mph winds and a minimum central pressure of 905 mbar."
71,"After it passed over the islands, Agnes weakened to tropical storm strength."
72,"On August 21, South Korea was struck by a 50 mph Agnes; their 1st tropical cyclone of the season."
73,It passed over the peninsula and briefly was over water before it hit Russia with 45 mph winds.
74,Agnes became extratropical the next day over southern Russia.
75,Its extratropical form continued for two more days until it dissipated in the center of the Sea of Okhotsk.
76,"--Tropical Storm 08W--
08W formed on August 15, becoming the 8th of the season."
77,It moved in a generally westward direction for a couple days until it struck Hainan on August 18 with 65 mph winds and a minimum pressure of 984 mbar.
78,"It moved south over land, retaining its strength."
79,"It soon moved north again, but suddenly turned southwest for a brief time before it returned to its original path."
80,It weakened to a tropical depression on August 20 and struck mainland China later that day.
81,It almost became extratropical almost at the same time.
82,"Ex-08W lingered northeast until the 24th, when the last of it was gone after ten days in existence."
83,"--JMA Tropical Storm Nine--
A disturbance close to Japan's coast developed into a tropical depression on August 22, and became a tropical storm 6 hours later."
84,It managed to achieve a minimum central pressure of 999 mbar before it struck the southeastern portion of Japan.
85,"It weakened to a tropical depression shortly before landfall though, and became extratropical the next day."
86,"But its extratropical remnants continued to move north-northeast, then northeast, and then east-northeast until it dissipated on August 27."
87,"--Typhoon Bess--
Bess formed on August 26 close to the Marshall Islands."
88,"After moving westward, Bess attained Category 3 status with 115 mph winds a pressure of 950 mbar."
89,It hit southern Japan on September 6 and later became extratropical over water on September 9.
90,But the extratropical form of Bess continued east for one more day before it became disorganized enough to be declared dissipated.
91,"On August 30, the typhoon battered the United States military base on Iwo Jima with winds of 110 mph(180 km/h), resulting in communication loss for roughly 23 hours."
92,"After communication was restored, officials on the island stated that there was likely no loss of life as a result of the storm."
93,Little damage also took place throughout Iwo Jima.
94,Widespread damage took place throughout Kyushu as wind gusts up to 115 mph(185 km/h) and torrential rains impacted the region.
95,"Along coastal regions, waves exceeding 13 ft(4.0 m) caused significant coastal damage."
96,"In Kyushu, at least six people were killed, 14 others listed as missing and 28 more injured as a result of Bess."
97,"According to police reports, 912 homes were destroyed and 1,522 others were severely damaged by flooding and landslides triggered by Typhoon Bess."
98,"An additional 2,510 homes sustained minor damage."
99,"Throughout Japan, an estimated 24,000 people were left homeless in the wake of the storm."
100,"In all, at least 20 people were killed as a result of Bess in Japan."
101,"--Typhoon Carmen--
Carmen formed on September 9 north-northeast of the Philippines."
102,"It slowly moved north and the west over the course of three days, until it strengthened to a tropical storm."
103,"Carmen headed south briefly before heading east-northeast, when it began to strengthen even more."
104,Carmen reached winds of 125 mph and a pressure of 960 mbar.
105,"But shortly thereafter, the strengthening stopped, and it slowly weakened."
106,"On September 15, Carmen made landfall in southern China and dissipated the following day."
107,"--Typhoon Della--
A disturbance in the Intertropical Convergence Zone developed into Tropical Storm Della on September 1."
108,"Della moved west-northwestward, strengthening to a hurricane while west of Hawaii."
109,"There, it brought heavy surf to the western islands."
110,"The hurricane continued generally westward, moving to the southwest while crossing the International Date Line."
111,It turned westward and the northwestward.
112,"During its long northwestward trek, Della reached its peak intensity of 140 mph and a minimum central pressure of ≤960 mbar."
113,"On September 14, Della began to travel a completely opposite direction-northeast."
114,"It continued that direction for a number of days, until it reached the Dateline as a 70 mph tropical storm."
115,"As the storm was crossing the date line, it turned sharply to the north-northeast."
116,"A few days later, Della turned east-northeast and dissipated on September 18."
117,"--Typhoon Elaine--
On September 14, in the open Pacific, Elaine was formed."
118,It moved in a generally northwestward direction while gaining strength.
119,Its peak intensity was 140 mph and a pressure of 945 mbar.
120,But it turned sharply to the northeast and lost strength.
121,"On its penultimate day as a tropical cyclone, it turned eastward and became extratropical the next day."
122,"Elaine's extratropical form continued one more day, and dissipated, one week since its formation, just over the Dateline."
123,"--Typhoon Faye--
Faye formed on September 18."
124,It strengthened at a moderate pace until it reached its peak of 160 mph(260 km/h) and 930 mbar.
125,"After weakening, it struck Okinawa as a Category 2  typhoon; Faye battered the island, which was still recovering from Typhoon Emma that struck the same area a year ago."
126,"53 people died in its wake, while 79 were listed as missing."
127,"Faye also left damages, straining the expensive budget caused by past and future typhoons that struck the island."
128,"Faye passed over the Date Line and shortly after became extratropical on the last day of the month, but continued one more day as an extratropical system before it met its demise."
129,"--Typhoon Gloria--
Gloria formed on September 17."
130,"After crossing the Philippines as a category two, it brought hurricane winds to Hong Kong and strong winds to Macau."
131,"After landfall, it moved east and met its demise on September 24."
132,It had a minimum central pressure of 980 mbar and maximum winds of 105 mph.
133,"--Typhoon Hester--
Hester formed on October 3, several hundred miles east of the Philippines."
134,"At first, it slowly intensified, then rapid intensification occurred, reaching its peak strength of 150 mph while southeast of Japan."
135,"It then gradually weakened, weakening to a tropical storm southeast of the Kamchatka Peninsula."
136,"It then further weakened, dissipating just north of the Aleutian Islands."
137,"--Typhoon Irma--
Irma formed on October 9, west of the Philippines."
138,The tropical cyclone strengthened to a category one typhoon with maximum sustained winds of 85 mph and a minimum central pressure 990 mbar.
139,"It moved west, and hit Vietnam with 80 mph winds and a minimum central pressure of 995 mbar."
140,"It dissipated on October 13, over the Thailand–Laos border."
141,"Typhoon Irma brought torrential rains and high winds to Vietnam, resulting in nine fatalities and an estimated $2 million in damage."
142,"--Tropical Storm 17W--
Tropical Storm 17W formed on October 11."
143,"Later, it hit the Philippines as a tropical depression once, then again as a tropical depression, but actually strengthened to tropical storm strength while over land."
144,It continued west-northwest until it struck China.
145,It dissipated around the same moment it made landfall on October 15.
146,16W had maximum sustained winds of 50 mph and a minimum central pressure of 1000 mbar.
147,"--Typhoon Judy--
Judy formed on October 19, in the open Pacific."
148,It moved westward and strengthened into a super typhoon with maximum sustained winds of 150 mph and a minimum central pressure of 960 mbar.
149,"It then began to curve north, therefore weakening."
150,"Judy passed by Japan, but far away enough to avoid damage."
151,"Soon after that, it began to move east and then east-northeast as a tropical storm."
152,"Judy dissipated on October 30, just over the Date Line."
153,"--Typhoon Kit--
On November 6, Kit formed in the same general area as Super Typhoon Judy did."
154,It moved westward and slowly strengthened.
155,"But after reaching tropical storm-strength, Kit's intensification rapidly quickened."
156,It briefly became a category five super typhoon with maximum sustained winds of 160 mph and a minimum central pressure of 910 mbar.
157,"After weakening slightly, Kit struck the northern Philippines as a Category 4 on November 11."
158,"After exiting land, Kit restrengthened into a Category 1."
159,It became extratropical on November 17 and dissipated shortly thereafter.
160,"Torrential rains and high winds impacted much of northern Luzon, Philippines during a country-wide election."
161,Nearly half of the 7.2 million people expected to vote were effected by the typhoon.
162,Severe property damage took place and at least 19 people were killed in the country as a result of the storm.
163,Thousands of people were also left homeless in the wake of the typhoon.
164,"--Typhoon Lola--
Lola formed on November 7 in the open Pacific."
165,It moved west for a while before it shifted to a more northern position.
166,It was shortly after that Lola had maximum sustained winds of 185 mph and a minimum central pressure of 900 mbar.
167,Then Lola weakened and slowly curved east.
168,"It weakened to a tropical storm, then back to category one."
169,But Lola was too far north to retain the strength and weakened even more.
170,"Lola dissipated on November 22, well over the Dateline."
171,"At some point, Lola hit Guam and caused areas in Merizo to flood four to five feet."
172,"In addition, damage was recorded in the Bikini Atoll after Lola passed near Kili Island."
