index,1957 Pacific typhoon season,1957 Pacific typhoon season.1
0,Season summary map,Season summary map
1,Seasonal boundaries,Seasonal boundaries
2,First system formed,"January 3, 1957"
3,Last system dissipated,"November 23, 1957"
4,Strongest storm,Strongest storm
5,,
6,Name,Lola
7,• Maximum winds,295 km/h (185 mph) (1-minute sustained)
8,• Lowest pressure,900 hPa (mbar)
9,Seasonal statistics,Seasonal statistics
10,Total depressions,27
11,Total storms,22
12,Typhoons,18
13,Super typhoons,8 (unofficial)
14,Total fatalities,644
15,Total damage,Unknown
16,Related articles,Related articles
17,1957 Atlantic hurricane season 1957 Pacific hurricane season 1950s North Indian Ocean cyclone seasons,1957 Atlantic hurricane season 1957 Pacific hurricane season 1950s North Indian Ocean cyclone seasons
18,"Pacific typhoon seasons 1955, 1956, 1957, 1958, 1959","Pacific typhoon seasons 1955, 1956, 1957, 1958, 1959"
