index,Death toll (summary),Death toll (summary),Death toll (summary),Death toll (summary)
,Name,Date of strike,Location,Deaths
0,01W,January 6,"Near Leyte, the Philippines",
1,Virginia,June 25,"Near Pl-Lam, Taiwan",86.0
2,Virginia,June 27,"Near Nagasaki, Japan",86.0
3,Wendy,July 14,"Near Isabela, Philippines",100.0
4,Wendy,July 16,Near Hong Kong,100.0
5,Agnes,August 21,"Gyeongsangnam-do, South Korea",
6,Agnes,August 21,"Primorsky Krai, Russia",
7,08W,August 18,"Hainan, China",
8,08W,August 20,"Guangdong, China",
9,unnamed,August 23,"Kōchi, Japan",
10,Bess,September 6,"Kagoshima, Japan",
11,Bess,September 7,"Ehime, Japan",
12,Bess,September 7,"Akita, Japan",
13,Carmen,September 15,"Fujian, China",
14,Faye,,,79.0
15,Gloria,September 20,"Isabela, Philippines",
16,Gloria,September 22,"Macau, Portugal (now China)",
17,Irma,September 12,"Nam Trung Bộ, Vietnam",
18,16W,September 12,"Camarines Sur, Philippines",
19,16W,September 13,"Quezon, Philippines",
20,16W,September 15,"Guangdong, China",
21,Kit,September 11,"Aurora, Philippines",
