index,0,1
0,Satellite image of the cyclone on December 21,Satellite image of the cyclone on December 21
1,Meteorological history,Meteorological history
2,Formed,"December 18, 1964"
3,Dissipated,"December 26, 1964"
4,Super cyclonic storm,Super cyclonic storm
5,3-minute sustained (IMD),3-minute sustained (IMD)
6,Highest winds,240 km/h (150 mph)
7,Lowest pressure,≤970 hPa (mbar); ≤28.64 inHg
8,Category 5-equivalent tropical cyclone,Category 5-equivalent tropical cyclone
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,260 km/h (160 mph)
11,Overall effects,Overall effects
12,Fatalities,"≤1,800"
13,Damage,$150 million (1964 USD)
14,Areas affected,"Ceylon, India"
15,Part of the 1964 North Indian Ocean cyclone season,Part of the 1964 North Indian Ocean cyclone season
