,sentences
0,Between 1979 and 1983 almost all of eastern Australia was affected by a major drought.
1,"Although in some places such as the South Coast the drought was almost continuous, in most of the affected region the major years of drought were 1980 and 1982."
2,"-Background-
The 1970s had been an exceptionally wet decade over eastern Australia, despite short-term droughts from April to August 1976 and June to December 1977."
3,1978 was especially wet in the southern coast districts of New South Wales and East Gippsland because southern low pressure systems consistently redeveloped over the east coast.
4,"Orbost's 1978 rainfall of 1,559 millimetres(61.4 in) is as much as 256 mm(10 inches) above its previous record from 1935."
5,"In the winter, unseasonal rains struck normally bone-dry areas of northern Australia, and the wet season arrived early in the north in October."
6,"Though the Wet was not abnormally powerful in November and December, southeastern Australia remained exceptionally wet."
7,"-1979-
The year 1979 began with extraordinarily hot conditions over southern Australia."
8,"Both livestock and wild animals perished in great numbers due to the heatwave, which saw places in northern South Australia regularly reach temperatures of at least 45 °C(113 °F) from 31 December 1978 to 15 January 1979."
9,"In Western Australia, the Nullarbor region settlements of Mundrabilla and Forrest both reached maxima of 49.8 °C(121.6 °F), the sixth-highest recorded temperatures in Australia, on 3 and 13 January 1979, respectively."
10,"Temperatures reached 40 °C(104 °F) in Sydney and in that summer's Ashes Test match, Australia's wicket keeper retired from heat exhaustion."
11,"Rain fell heavily in the Mallee later in the month, making it a record wet month in many parts of western Victoria and far western New South Wales."
12,"The southeast corner, however, was already very dry."
13,"February and March saw a continuing powerful monsoon, but except for the Mallee in February and the east coast from Newcastle to Triabunna in March, southeastern Australia was dry."
14,"April had fairly normal rainfall except for continuing wet in Cape York Peninsula and dry conditions around Sydney and Hobart, where rainfall deficiencies were already acute."
15,Heavy May rainfall over the wheat belt did not mask dry conditions around Canberra and especially in eastern Tasmania.
16,"June, however, proved the first really dry month: both Canberra and Hobart had their driest June ever, and Melbourne also set a record for low rainfall in July as cold fronts utterly failed to reach their normal latitudes."
17,"August and September, however, saw a series of tropical/extratropical interactions produce exceptional rainfall over most of Victoria, South Australia, western New South Wales and Tasmania."
18,Flooding occurred in the Murray Basin and northern Tasmania.
19,"The coastal districts of New South Wales and southern Queensland, however, became extremely dry by September."
20,"Despite continuing heavy rains over south Australia, the Mallee and the Wimmera through spring, a dry November and near-record dry December ensured 1979 was the driest year until 2006 in Hobart and the driest since 1907 in Orbost."
