index,0,1
0,The unnamed hurricane at peak intensity on November 1,The unnamed hurricane at peak intensity on November 1
1,Meteorological history,Meteorological history
2,Formed,"October 28, 1991 (Extratropical until October 31)"
3,Dissipated,"November 2, 1991"
4,Category 1 hurricane,Category 1 hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,75 mph (120 km/h)
7,Lowest pressure,980 mbar (hPa); 28.94 inHg (972 mbar (28.7 inHg) while extratropical)
8,Overall effects,Overall effects
9,Fatalities,13 direct
10,Damage,>$200 million (1991 USD)
11,Areas affected,"Mid-Atlantic states, Northeastern United States, Eastern Canada"
12,IBTrACS,IBTrACS
13,Part of the 1991 Atlantic hurricane season,Part of the 1991 Atlantic hurricane season
