index,sentences
0,The 1993 Pacific hurricane season included more than double the average number of major hurricanes – Category 3 or stronger cyclones on the Saffir–Simpson scale.
1,"This activity was the result of an El Niño event, which is the main factor contributing to above-average activity across the Pacific basin."
2,"The season featured 15 named storms, 11 hurricanes, and 9 major hurricanes."
3,"While the number of named storms was near the long-term average, the number of hurricanes was above the average of 8, and the number of major hurricanes far exceeded the long-term average of 4."
4,"Seasonal activity began on May 17 and ended on November 8, within the confines of a traditional hurricane season which begins on May 15 in the East Pacific and June 1 in the Central Pacific."
5,The season ends on November 30 in both basins.
6,These dates conventionally delimit the period during each year when most tropical cyclones form.
7,A majority of the season's storms formed from tropical waves between 10°N and southern coast of Mexico.
8,"While they generally followed the typical path away from Mexico before dissipating over cooler waters near 25°N, a persistent upper-level trough across the Western United States periodically curved storms into land."
9,"Tropical Storm Beatriz produced heavy rainfall and downed trees across Southern Mexico, causing 6 fatalities."
10,"In July, Hurricane Calvin struck Southwestern Mexico, prompting the evacuation of 42,000 residents, the displacement of 1,600 people, and 37 deaths."
11,"This area was later affected by Hurricane Jova in September, which flooded houses."
12,"Hurricanes Dora, Eugene, and Fernanda produced generally minor rainfall across the Hawaiian Islands, alleviating drought conditions."
13,"However, their large swells caused damage to beachfront homes and caused the death of a fisherman offshore."
14,Hurricane Hilary produced heavy rainfall across portions of Mexico and California in August.
15,"The next month, Hurricane Lidia destroyed hundreds of homes, displaced over 10,000 people, and resulted in 7 deaths."
16,"-Storms-
--Hurricane Adrian--
A low-pressure area and associated convection developed within the Intertropical Convergence Zone as early as June 9."
17,"Additionally, a tropical wave from Africa is estimated to have entered the East Pacific basin around this time."
18,The combination of disturbances led to the formation of a tropical depression on June 11.
19,"Embedded within weak steering flow, the depression initially drifted towards the west and began to organize amid warm sea surface temperatures and low wind shear."
20,"Eighteen hours after formation, the depression strengthened into Tropical Storm Adrian."
21,"Turning towards the northwest, Adrian gradually strengthened to attain hurricane status by 12:00 UTC on June 15."
22,The storm reached a peak intensity of 85 mph(137 km/h) early the next day.
23,"It veered toward the southeast, encountering stronger wind shear which began to take toll on the cyclone."
24,The system became nearly stationary and dissipated at 1800 UTC on June 19 without any effects to land.
25,"--Tropical Storm Beatriz--
On June 14, satellite imagery revealed an increase in thunderstorm activity to the south of the Gulf of Tehuantepec, which may have been aided by the passage of a tropical wave."
26,"Moving little, a broad surface low developed with the cloud mass."
27,"Although the disturbance remained disorganized, a second tropical wave moved into the region on June 18, when the cloudiness there became better concentrated."
28,"A tropical depression formed at 06:00 UTC on June 18 while located approximately 150 mi(240 km) south-southeast of Huatulco, Oaxaca."
29,"Quickly strengthening, the depression intensified into Tropical Storm Beatriz six hours later."
30,"Moving generally towards the northwest, partially due to Tropical Storm Arlene's large circulation in the Gulf of Mexico, Beatriz reached a peak intensity of 65 mph(105 km/h) by 18:00 UTC on June 19."
31,"Shortly thereafter, the system made landfall near Puerto Escondido, Oaxaca, and rapidly weakened to a tropical depression over the mountainous terrain of Mexico."
32,"Beatriz dissipated at 06:00 UTC on June 20, although the remnant cloudiness and associated convection from the storm spread across portions of the western Gulf of Mexico that same day."
33,"Beatriz caused extensive damage in southwest Mexico, especially from heavy rains and flooding."
34,"Accumulations generally varied between 5–10 in(0.13–0.25 m) across Oaxaca, with higher totals of 11.97 and 15.46 in(304 and 393 mm) in Las Pilas and Salina Cruz, respectively."
35,Six deaths were reported in the Mexican states of Morelos and Veracruz from flooding and downed trees attributed to Beatriz.
36,"--Tropical Depression Three-E--
A large area of disturbed weather persisted south of Mexico for several days, perhaps enhanced by a westward-moving tropical wave that departed Africa on June 12."
37,The disturbance organized into a tropical depression around 00:00 UTC on June 27 while located about 115 mi(185 km) south of the Gulf of Tehuantepec.
38,"The newly designated cyclone moved generally toward the northwest, passing about 60 mi(97 km) offshore Mexico near Puerto Escondido on its closest approach."
39,"Although the depression developed a symmetrical area of convection on June 30, it soon passed over cooler ocean waters and began to become disheveled."
40,"The system dissipated a short distance north of La Paz, Baja California Sur, around 00:00 UTC on July 2."
41,"The precursor disturbance to Three-E produced heavy rainfall along coastal sections of Mexico, peaking at 8.80 in(224 mm) in Santa María Jacatepec, Oaxaca."
42,"As the designated system paralleled Mexico, it contributed to multiple days of rainfall, including in Acapulco, Guerrero where 11.89 in(302 mm) fell between June 26–29."
43,Satellite rainfall estimates exceeded 20 in(510 mm) on June 28.
44,"No deaths or damage were reported, but some 300 families were evacuated in an unspecified area of the country."
45,"--Hurricane Calvin--
Hurricane Calvin was first identified as an area of disturbed weather south of the Gulf of Tehuantepec on July 2."
46,"Following the development of banding features, the disturbance organized into a tropical depression around 12:00 UTC on July 2 while situated 315 mi(505 km) southeast of Acapulco."
47,The depression intensified into Tropical Storm Calvin twelve hours later.
48,"After initially tracking westward, Calvin turned north and attained hurricane status before reinstating a westward component."
49,"Situated just off the coast of Mexico, Calvin attained its peak intensity with winds of 110 mph(180 km/h) on July 7 but weakened slightly before moving onshore about 45 mi(72 km) west-northwest of Manzanillo, Colima, only the second July hurricane to make landfall on record at the time."
50,The hurricane rapidly weakened and emerged back offshore in a much weakened state.
51,"Now a tropical depression, Calvin made its final landfall just south of La Paz before dissipating over cold waters in the region."
52,"Following Calvin's closest approach, a weather station in Manzanillo recorded a wind gust of 84 mph(135 km/h); tropical storm-force winds were recorded in a few other locations."
53,"Several ships reported rough weather during Calvin's existence, with the Pacific Sandpiper reporting a maximum wave height of 44 ft(13 m) and winds of 98 mph(158 km/h)."
54,"In Acapulco, waves in excess of 15 ft(4.6 m) affected the city."
55,"In several states, heavy rainfall between 5–10 in(130–250 mm) was recorded, with a maximum accumulation of 16.34 in(415 mm) observed in Las Pilas."
56,"A state of emergency was declared in at least ten states in Mexico following Calvin's passage, and the Mexican Defense Department said that 42,063 people were evacuated in 11 states."
57,"Additionally, at least 1,600 people were left homeless."
58,"Rough seas near Lázaro Cárdenas caused all 4,000 t(4,000,000 kg) of sulfuric acid to leak aboard the previously beached cargo tanker, Betula."
59,Calvin was responsible for $32 million in damage.
60,"It killed 37 people, of which most deaths were the result of heavy rainfall."
61,"--Hurricane Dora--
A tropical wave departed Africa on June 27 and reached the East Pacific on June 9."
62,It began to show signs of organization and developed into a tropical depression at 12:00 UTC on July 14.
63,The system followed a west to west-northwest course for much of its duration under the influence of a subtropical ridge.
64,It intensified into Tropical Storm Dora at 18:00 UTC and further strengthened into a hurricane 30 hours later.
65,"Dora intensified rapidly thereafter, with its winds increasing from 80 mph(130 km/h) to a peak of 130 mph(215 km/h) – equivalent to Category 4 intensity – during a 24-hour period ending at 18:00 UTC on July 16."
66,"After maintaining that strength for 18 hours, the cyclone encountered an upper-level trough to its west, which caused an abrupt uptick in wind shear while Dora simultaneously moved over colder waters."
67,It gradually weakened and dissipated about 575 mi(925 km) east of the Hawaiian Islands at 00:00 UTC on July 21.
68,"The remnants of Dora interacted with a cold-core low near those islands, causing an outbreak of thunderstorms that alleviated ongoing drought conditions there."
69,"--Hurricane Eugene--
Tropical Depression Six-E developed south-southwest of the Baja California Peninsula at 18:00 UTC on July 15."
70,Its genesis may have been related to a tropical wave that departed Africa on June 30 and reached the vicinity of the cyclone that day.
71,"After banding features improved, the depression was upgraded to Tropical Storm Eugene at 12:00 UTC on July 16."
72,"Eugene alternated on a west to northwest course for several days and gradually intensified, becoming a hurricane around 06:00 UTC on July 17 and a major hurricane by 00:00 UTC on July 18."
73,"The system peaked with winds of 125 mph(201 km/h) the next day, when it displayed a well-defined eye pattern on satellite."
74,"As the system peaked, it abruptly slowed and turned to the northwest under the influence of a cold-core low."
75,"After peak intensity, Eugene began to weaken due to increasing wind shear and cooler ocean waters."
76,"It entered the Central Pacific on July 22 and continued to lose organization on satellite, making a later landfall on the southern side of the Big Island at 12:00 UTC on July 24 as a tropical depression."
77,"Across the Hawaiian Islands, the system produced beneficial rainfall and no major damage, though broken tree limbs and minor power outages were reported."
78,A 45-year-old fisherman may have drowned when his 24 ft(7.3 m) boat was smashed in the storm's rough seas.
79,Eugene continued rapidly westward past Hawaii and dissipated on July 25.
80,"--Hurricane Keoni--
An area of disturbed weather developed into Tropical Depression One-C at 00:00 UTC on August 9."
81,"The depression remained steady state until 18:00 UTC on August 12, at which time it intensified into Tropical Storm Keoni."
82,"The cyclone moved west-northwest and continued to gain organization, becoming a hurricane around 18:00 UTC on August 14 and a major hurricane by 06:00 UTC on August 16."
83,"Six hours later, Keoni became a powerful Category 4 hurricane with winds of 130 mph(210 km/h)."
84,"It passed about 150 mi(240 km) south of Johnston Atoll on August 18, where 1,000 people had been evacuated in advance of the storm."
85,"On account of Keoni's small stature, the island only experienced gusts up to 45 mph(70 km/h) and rough surf along its southeastern shoreline."
86,"The hurricane continued west-northwest, and although it had weakened substantially, it crossed the International Date Line around 18:00 UTC on August 19, when it was reclassified as a typhoon."
87,"In the West Pacific, the system alternated between Category 1–3 intensity for a while."
88,It executed clockwise loops along the northern fringes of Typhoon Vernon before losing its status as a tropical cyclone on August 28.
89,The remnant circulation continued to persist north of Wake Island into early September.
90,"--Hurricane Fernanda--
Fernanda formed from a tropical wave that moved off Africa on July 28 and crossed into the East Pacific."
91,The developing disturbance became a tropical depression about 405 mi(650 km) south of Manzanillo at 06:00 UTC on August 9.
92,It became Tropical Storm Fernanda later that day and strengthened into a hurricane on August 10.
93,"Fernanda developed a large and well-defined eye, reaching its peak of 145 mph(233 km/h) on August 12."
94,The potent hurricane crossed into the Central Pacific on August 14.
95,Fernanda later curved to the northwest beginning on August 16 ahead of an upper-level trough.
96,"It crossed into higher wind shear and cooler waters, transitioning into an extratropical cyclone on August 19."
97,The remnant circulation merged with a frontal boundary two days later.
98,"Although it did not make landfall in the Hawaiian Islands, Fernanda's close approach prompted a hurricane warning for the Big Island and a hurricane watch elsewhere in the islands."
99,"Heavy surf affected the islands, with waves as high as 5–10 ft(1.5–3.0 m) reported on Kauai."
100,"These swells inflicted damage to shoreline roads on all of the islands, allowing water intrusion into some homes and washing one house several feet off its foundation."
101,Many beach parks were also inundated.
102,"Moisture induced by the interaction of Fernanda and an upper-level trough produced rainfall across the islands, leading to localized flooding on Kauai."
103,"In total, Fernanda caused $5 million in damage to the Hawaiian Islands."
104,"--Hurricane Greg--
On August 10, Tropical Storm Bret made landfall in Nicaragua with winds of 45 mph(72 km/h)."
105,"The system moved inland and dissipated over the mountainous terrain of Central America, but an area of convection emerged into the East Pacific on August 11."
106,"The disturbance moved west and coalesced once again, developing into a tropical depression around 00:00 UTC on August 15 and further strengthening into Tropical Storm Greg twelve hours later."
107,"The system continued to intensify as it moved west-northwest parallel to the Mexico coastline, attaining hurricane status at 12:00 UTC on August 16 when an eye was first observable on satellite imagery."
108,The system reached Category 2 strength on August 16 but weakened thereafter.
109,"Following a brief reprieve in development, Greg began to intensify rapidly on August 18, and it became yet another major hurricane at 06:00 UTC on August 19."
110,"Six hours later, Greg peaked as a Category 4 cyclone with winds of 130 mph(210 km/h)."
111,"The eye became obscured from view shortly thereafter, an indication that the storm had begun a weakening trend."
112,"However, owing to its roughly parallel track to 79 °F(26 °C) ocean waters, Greg only slowly weakened over ensuing days."
113,The cyclone curved west-southwest and crossed into the Central Pacific as a tropical depression on August 28.
114,"The system dissipated about 700 mi(1,100 km) east of Hawaii that day, though its remnant circulation meandered east of the island through early September."
115,"--Hurricane Hilary--
Hilary originated from a tropical wave that crossed Central America on August 14."
116,"Three days after entering the East Pacific, the wave was sufficiently organized to be declared Tropical Depression Nine-E. The system moved west and then west-northwest around a ridge to its northeast while gradually strengthening."
117,It developed into Tropical Storm Hilary on August 18 and attained hurricane status the next day.
118,"The system displayed first hints of an eye on August 20, which became well-defined the next day."
119,"On August 21, Hilary intensified into the sixth consecutive major hurricane, attaining peak winds of 120 mph(190 km/h)."
120,"After August 23, the hurricane executed a small counter-clockwise loop as it underwent binary interaction with the newly developed Tropical Storm Irwin."
121,"Hilary then took a northerly track for the remainder of its existence, bringing the system over cooler waters and causing weakening."
122,"The storm made two landfalls in Mexico, one in Baja California Sur on August 25 and again near Hermosillo, Sonora, the following day."
123,The remnants of Hilary were last noted over the northern Gulf of California on August 27.
124,"Heavy rains, peaking at 11.35 in(288 mm), accompanied the storm."
125,"In California, accumulations of 3–4 in(76–102 mm) in 2 hours caused flash flooding across Yucaipa and Morongo Valley."
126,"--Tropical Storm Irwin--
A tropical wave spawned Tropical Storm Cindy in the Atlantic and continued west, likely leading to an uptick in convection south of the Gulf of Tehuantepec on August 20."
127,"Around 06:00 UTC the next day, that disturbance organized into a tropical depression; six hours later, it developed into Tropical Storm Irwin."
128,"The cyclone maintained a poorly organized appearance for its duration, but observations along the Mexico coastline and from nearby ships suggest Irwin reached winds of 70 mph(110 km/h) at its peak."
129,The system moved northwest parallel to the coastline of Mexico and underwent binary interaction with nearby Hurricane Hilary.
130,"That stronger, larger system absorbed Irwin around 18:00 UTC on August 22."
131,"Irwin produced a maximum rainfall total of 7 in(180 mm) in Jala, Colima, along with a wind gust to 66 mph(106 km/h) in nearby Manzanillo."
132,"--Hurricane Jova--
A tropical wave moved off Africa on August 14 and remained a distinct feature on its voyage across the Atlantic."
133,The wave spawned an area of disturbed weather south of Mexico that began to show signs of organization by August 26.
134,"Three days later, at 00:00 UTC, the system developed into a tropical depression."
135,"An upper-level anticyclone provided a low wind shear environment around the cyclone, facilitating its quick intensification over later days."
136,"It became Tropical Storm Jova at 18:00 UTC on August 29, a hurricane around 06:00 UTC on August 31, and a major hurricane – the fifth in August alone – eighteen hours later."
137,"On September 1, Jova became a Category 4 hurricane with peak winds of 130 mph(210 km/h)."
138,"The system encountered increasingly cool waters as it moved northwest parallel to the Mexico coastline and began to weaken accordingly, though this process was temporarily interrupted by a reappearance of its eye on September 2 and restrengthening into a Category 2 hurricane on September 3."
139,"As the system passed about 805 mi(1,295 km) south of Baja California Sur around 00:00 UTC on September 6, it was reduced to a bare swirl of statrocumulus clouds."
140,"The outer bands of Jova produced heavy rainfall in Durango, particular in its capital Durango City, prompting the evacuation of 1,500 people across 20 neighborhoods because of flooded homes."
141,"--Hurricane Kenneth--
On August 30, a tropical disturbance developed south of Panama."
142,"Around 12:00 UTC on September 5, the system organized into a tropical depression as thunderstorms coalesced into loosely defined rainbands."
143,"These bands increased in intensity over subsequent hours, signaling the cyclone's intensification into Tropical Storm Kenneth by 06:00 UTC on September 6."
