index,1993 Pacific hurricane season,1993 Pacific hurricane season.1
0,Season summary map,Season summary map
1,Seasonal boundaries,Seasonal boundaries
2,First system formed,"June 11, 1993"
3,Last system dissipated,"October 14, 1993"
4,Strongest storm,Strongest storm
5,,
6,Name,Lidia
7,• Maximum winds,150 mph (240 km/h) (1-minute sustained)
8,• Lowest pressure,930 mbar (hPa; 27.46 inHg)
9,Seasonal statistics,Seasonal statistics
10,Total depressions,18
11,Total storms,15
12,Hurricanes,11
13,Major hurricanes (Cat. 3+),9
14,Total fatalities,50 total
15,Total damage,$45 million (1993 USD)
16,Related articles,Related articles
17,Timeline of the 1993 Pacific hurricane season 1993 Atlantic hurricane season 1993 Pacific typhoon season 1993 North Indian Ocean cyclone season,Timeline of the 1993 Pacific hurricane season 1993 Atlantic hurricane season 1993 Pacific typhoon season 1993 North Indian Ocean cyclone season
18,"Pacific hurricane seasons 1991, 1992, 1993, 1994, 1995","Pacific hurricane seasons 1991, 1992, 1993, 1994, 1995"
