index,2000 California wildfires,2000 California wildfires.1
0,"A C-130 Hercules drops Phos-Chek fire retardant on the Manter Fire in Sequoia National Forest on July 31, 2000","A C-130 Hercules drops Phos-Chek fire retardant on the Manter Fire in Sequoia National Forest on July 31, 2000"
1,Statistics,Statistics
2,Total fires,7622
3,Total area,"295,026 acres 119,393 ha"
4,Impacts,Impacts
5,Deaths,1+
6,Structures destroyed,130+
7,Damage,"US$154 million ($124m in suppression costs and $29.9m in damages, per Cal Fire estimates)"
8,Season,Season
9,2001 →,2001 →
