index,0,1,2,3,4
0,Source,Date,Named storms,Hurricanes,Major hurricanes
1,CSU,Average (1950–2000)[1],9.6,5.9,2.3
2,NOAA,Average (1950–2005)[2],11.0,6.2,2.7
3,Record high activity[3],Record high activity[3],30,15,7
4,Record low activity[3],Record low activity[3],1,0,0
5,,,,,
6,CSU,"December 7, 2000[1]",9,5,2
7,CSU,"April 5, 2001[4]",12,7,3
8,NOAA,"May 21, 2001[5]",8–11,5–7,2–3
9,CSU,"August 7, 2001[6]",12,7,3
10,NOAA,"August 8, 2001[7]",9–12,6–8,2–4
11,,,,,
12,Actual activity,Actual activity,15,9,4
