index,Storm name,Dates active,Storm category at peak intensity,Max 1-min wind mph (km/h),Min. press. (mbar),Areas affected,Damage  (USD),Deaths,Ref(s).,Unnamed: 9,Unnamed: 10
0,Allison,June 4 – 18,Tropical storm,60 (95),1000,"Gulf Coast of the United States, East Coast of the United States, Atlantic Canada",$9 billion,41 (14),[19][13],,
1,Two,July 11 – 12,Tropical depression,30 (45),1010,,,,,,
2,Barry,August 2 – 7,Tropical storm,70 (110),990,"Cuba, Florida, Alabama",$30 million,2 (7),,,
3,Chantal,August 14 – 22,Tropical storm,70 (110),997,"Windward Islands, Greater Antilles, Yucatan Peninsula, Central America",$4 million,0 (2),,,
4,Dean,August 22 – 28,Tropical storm,70 (110),994,"Lesser Antilles, Greater Antilles, Lucayan Archipelago, Eastern Canada",$7.7 million,,,,
5,Erin,September 1 – 15,Category 3 hurricane,115 (185),968,"Bermuda, Canada, East Coast of the United States",Minimal,,,,
6,Felix,September 7 – 19,Category 3 hurricane,115 (185),962,,,,,,
7,Gabrielle,September 11 – 19,Category 1 hurricane,80 (130),975,"Florida, Newfoundland",> $230 million,2 (1),,,
8,Nine,September 19 – 20,Tropical depression,35 (55),1005,Central America,Unknown,,,,
9,Humberto,September 21 – 27,Category 2 hurricane,105 (165),970,Bermuda,,,,,
10,Iris,October 4 – 9,Category 4 hurricane,145 (230),948,"Windward Islands, Greater Antilles, Central America, Eastern Mexico",$250 million,36,[13][76],,
11,Jerry,October 6 – 8,Tropical storm,50 (85),1004,"Barbados, Windward Islands, Eastern Caribbean Sea",Minimal,,,,
12,Karen,October 12 – 15,Category 1 hurricane,80 (130),982,"Bermuda, Atlantic Canada",$1.4 million,,,,
13,Lorenzo,October 27 – 31,Tropical storm,40 (65),1007,,,,,,
14,Michelle,October 29 – November 5,Category 4 hurricane,140 (220),933,"Greater Antilles, Central America, Florida, Lucayan Archipelago, Bermuda",$2.43 billion,48,[13][65],,
15,Noel,November 4 – 6,Category 1 hurricane,75 (120),986,,,,,,
16,Olga,November 24 – December 4,Category 1 hurricane,90 (150),973,"Lucayan Archipelago, Greater Antilles, Florida",,,,,
17,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates
18,17 systems,June 4 – December 4,,145 (230),933,,$11.94 billion,131 (22),,,
