index,sentences
0,"The 2003 Canberra bushfires caused severe damage to the suburbs and outer areas of Canberra, the capital city of Australia, during 18–22 January 2003."
1,"Almost 70% of the Australian Capital Territory's(ACT) pastures, pine plantations, and nature parks were severely damaged, and most of the Mount Stromlo Observatory was destroyed."
2,"After burning for a week around the edges of the ACT, the fires entered the suburbs of Canberra on 18 January 2003."
3,"Over the next ten hours, four people died, over 490 were injured, and 470 homes were destroyed or severely damaged, requiring a significant relief and reconstruction effort."
4,"-Buildup to the event-
On 8 January 2003, lightning strikes started four fires in New South Wales, over the border but in close proximity to Canberra."
5,"Despite their proximity and very small initial sizes, low intensity, and low rate of spread, these fires were not extinguished or contained by New South Wales emergency services personnel."
6,"Subsequent inquiries into the bushfires, including the Roche report, the McLeod inquiry, and the Coroners Report, identified poor management of the initial response as a key contributor to the disaster that unfolded on 18 January 2003."
7,"On 13 January, a Bell Jet Ranger helicopter that had been waterbombing the fires in the forests west of Canberra crashed into Bendora Dam with one person, pilot Duncan Patrick, injured."
8,The pilot was reloading water buckets from the dam at the time of the crash.
9,ACT Chief Minister Jon Stanhope and ACT Chief Fire Control Officer Peter Lucas-Smith were reviewing the fires nearby during a routine bushfire surveillance flight in the Snowy Hydro SouthCare helicopter.
10,"The unconscious pilot had been pulled from the sinking wreckage by a SouthCare rescue helicopter medical crewman Euan McKenzie, but due to the weight of his clothes and lack of life vest, was unable to be dragged from the water."
11,"The pilot of the Southcare chopper cautiously positioned his aircraft to allow Stanhope, Lucas-Smith and a paramedic on board to dive into the dam and bring the injured pilot about 60 metres to shore for resuscitation by Lucas-Smith and McKenzie."
12,The pilot had head injuries and underwent emergency surgery at Canberra Hospital.
13,Both Stanhope and Lucas-Smith received the Royal Life Saving Society's rescue medal to commemorate their bravery in the rescue.
14,"McKenzie received the society's highest award, the Bravery Cross, which recognises undertaking a rescue in an aquatic environment under circumstances that endanger the rescuer's life."
15,"On 17 January, the Emergency Services Bureau(ESB) released its final media release prior to 18 January, at 8:50 pm."
16,This media release differed to any previous one in format and content.
17,It also provided several clues that were overlooked in the assessment of the risk Canberra faced.
18,"For example, one point of the release stated that bushfire logistical support staging areas were being relocated from Bulls Head and Orroral Valley(far outside urban Canberra) to the North Curtin District Playing Fields(far inside urban Canberra), signalling both a major retreat by fire fighters and pointing to imminent danger to the city itself."
19,"-Events of 18 January-
The morning of Saturday 18 January 2003 was hot, windy and dry."
20,"Temperatures as high as 40 °C(104 °F) and winds exceeding 80 kilometres per hour(50 miles per hour), plus a very low relative humidity, were the main weather features of the day."
21,"Two fires continued to burn out of control in the Namadgi National Park, with the entire park, along with the Tidbinbilla Nature Reserve, being closed due to the threat."
22,"A second fire, in the Brindabella Ranges, was threatening to break containment lines."
23,"By 9 am on the morning of Saturday 18 January, burned leaves appeared on lawns in houses in the Weston Creek, Kambah, and Tuggeranong suburbs bordering the western extremity of Canberra."
24,"By 10 am, news helicopters were overflying Duffy and reporting news of the fires interstate and internationally."
25,"Throughout the day, the fires burned closer to the fringes of Canberra's suburbs, and there was no sign of authorities gaining control of the situation."
26,"At around 2 pm, police evacuated the township of Tharwa to the south of Canberra."
27,"By mid-afternoon, it had become apparent that the fires posed an immediate threat to the settlements near Canberra, such as Uriarra and Stromlo, as well as to the houses on the city's urban-bushland interface."
28,"A state of emergency was declared at 2.45 pm by the ACT's Chief Minister, Jon Stanhope."
29,The fires reached the urban area at 3 pm.
30,"The first emergency warning advisories were broadcast shortly after, on radio and television, with the advisories updated throughout the day."
31,"These advisories, accompanied by the Emergency Warning Signal stated that a significant ""deterioration"" of the fire situation in the ACT had occurred and placed several suburbs on alert to evacuate."
32,"As the day continued, these advisories advised the evacuation of several suburbs(also enforced by Police on the ground) and placed most suburbs of Canberra on some level of alert."
33,"By now, the fire had reached the fringes of many suburbs, was surrounding Tharwa, and threatened the historic Lanyon Homestead, which was hosting a wedding and protected by only a single fire truck."
34,"By 3.50 pm, some houses were alight in the suburbs of Duffy and Chapman, with the loss of a home in Holder soon after."
35,"An ACT Fire Brigade unit, perceiving the fire from a vantage point in Fyshwick, overrode instructions by the radio controller to ignore the signs and remain where they were."
36,"The unit headed to Duffy, attempting to alert both controllers and residents to the imminent danger."
37,"That unit was caught in a fire front on Warragamba Avenue Duffy at around 4.10 pm, after having rescued at least two residents."
38,Both the crew and residents were forced to flee the appliance when the fire struck.
39,"Due to fire damage to infrastructure and extreme winds bringing down powerlines across the area, large parts of the city lost power."
40,Fires also started in Giralang because of powerline problems.
41,"Evacuation centres were set up at four schools – Canberra College, UC Senior Secondary  College Lake Ginninderra(then Lake Ginninderra College), Erindale College, and Narrabundah College."
42,"A dark cloud hung over the city, and, although it was not in danger, Parliament House was closed."
43,"By 5 pm, houses were reported destroyed in Duffy, Chapman, Kambah, Holder, and Rivett, as well as in the small forestry settlement of Uriarra."
44,"It was later found that the first casualty of the fires, an elderly woman named Dorothy McGrath, had died at the nearby Stromlo Forestry Settlement."
45,"Escape for residents was hampered by poor warning and by the settlement's location, surrounded by the pine forest."
46,Fires in the Michelago area forced the closure of the Monaro Highway into Canberra.
47,"Fires spread through the Kambah Pool area and into the suburb of Kambah, causing damage to many homes and one of the ACT's primary Urban and Rural fire stations."
48,"Fire spread through parkland, crossing the Tuggeranong Parkway and Sulwood Drive finally engulfing Mount Taylor."
49,"Within an hour, houses were also burning in Torrens, on the slopes of Mount Taylor, and in Weston."
50,The fires by now had inflicted severe damage to the city's infrastructure.
51,Power supplies were cut to several suburbs.
52,"These outages affected both the Emergency Services Bureau's own headquarters in Curtin and the Canberra Hospital(running on back-up generators), which was under intense pressure from people suffering burns and smoke inhalation."
53,"In Curtin, the ESA headquarters was in danger from the fires."
54,"With back-up power available only to the Communications Centre, many personnel were forced to work on tables outside as Army Reserve personnel hosed down the building."
55,It was later noted that the ESB could have moved its operations away from danger to other emergency service locations such as the AFP Winchester Centre or Tuggeranong Police Station.
56,"Water, gas, sewerage, and communications were heavily affected."
57,"Water, gas, and landline communications was unavailable to several suburbs due to damage to supply lines and city reservoirs."
58,"Mobile telecommunications were severely affected due to increased traffic, causing serious disruption to mobile phone networks and the ESA's own radio and dispatch networks."
59,"A local generator services business later reported on their website that the ash and smoke were so intense, that some back-up power diesel generators at communication and data centres failed to produce enough power due to air intake filters clogging up."
