,sentences
0,The 2007–08 Australian region cyclone season was a slightly below-average tropical cyclone season.
1,"The season began with an early start, with the formation of the first tropical cyclone on 29 July, which was only recognized as a tropical cyclone during post-season analysis."
2,This was the second time that a tropical cyclone had formed during July.
3,The other one was Cyclone Lindsay in the 1996–1997 season.
4,"The next tropical cyclone that formed was Cyclone Guba, which formed on 13 November with TCWC Port Moresby assigning the name Guba on 14 November, which was the first named storm within TCWC Port Moresby's area of responsibility since Cyclone Epi in June 2003."
5,Guba was also the first cyclone to occur in the Queensland region in November since 1977.
6,"Tropical Cyclone Lee also formed on 13 November and was named by TCWC Perth on 14 November, with the system moving into RSMC Réunion's area of responsibility and being renamed Ariel."
7,"The next Cyclone to form within the Australian region was Melanie, which formed on 27 December and was named on the 28th by TCWC Perth."
8,"Melanie was the first storm of the season to require cyclone watches, and warnings were issued for the Pilbara coast, but it had weakened into a low-pressure area before it made landfall."
9,"Tropical Cyclone Helen was the first tropical cyclone to form in 2008, in the Southern Hemisphere, forming in TCWC Darwin's area of responsibility."
10,Helen marked the first time that Darwin had experienced a tropical cyclone since Cyclone Gretel in the 1984–85 season.
11,Cyclone Nicholas made landfall north of Carnarvon on 20 February as a category one cyclone.
12,"Cyclone Ophelia actually formed in TCWC Darwin's area of responsibility, but had moved into TCWC Perth's area when it was named."
13,"Tropical Cyclone Pancho formed on 23 March to the south of Christmas Island, and was named by TCWC Perth on 25 March; the system eventually reached category 4 status, with winds of 95 kn(176 km/h)."
14,"In April 2008, Tropical Cyclones Rosie and Durga were the first tropical depressions to be monitored within TCWC Jakarta's area of responsibility and Durga was also the first storm to reach tropical cyclone status and named whilst being monitored by TCWC Jakarta."
15,"Durga was also the last storm of the season, which officially ended on 30 April."
16,"-Seasonal summary-
-Systems-
--Tropical Cyclone 01U--
On 29 July, an area of low pressure, close to the edge of RSMC La Reunion's Area of responsibility, was designated as Tropical Disturbance 01R. However, this number was withdrawn in RSMC La Reunion's post–storm analysis."
17,"The JTWC issued a Tropical Cyclone Formation Alert(TCFA) on the developing system on 29 July, and initiated warnings on the tropical cyclone late that day, designating it as Tropical Cyclone 01S. However, by this time, the cyclone had crossed 90E and entered TCWC Perth's Area of Responsibility, which designated it as a Tropical Low and issued shipping warnings on the Tropical Low."
18,"Early on 30 July, the tropical cyclone began to dissipate, so the JTWC issued their final advisory on the system on that day."
19,and the Bureau of Meteorology issued its last warning the next day.
20,"During post–storm analysis, The Bureau of Meteorology upgraded the tropical low to a tropical cyclone in its post-storm analysis, with maximum 10-min sustained winds of 75 km/h(47 mph), based on QuikSCAT observations."
21,The cyclone was estimated to have reached tropical cyclone intensity from 29 to 30 July.
22,"The tropical cyclone is the second on record to exist in the Western Australian region in July, the other being Cyclone Lindsay in 1996."
23,"--Tropical Cyclone Lee–Ariel--
On 13 November, the Tropical Cyclone Warning Centre(TCWC) in Perth began issuing warnings on a developing tropical low that was located within the area of responsibility of TCWC Jakarta."
24,"On 14 November, TCWC Perth upgraded the tropical low to tropical cyclone status and assigned it the name Lee, while the cyclone was still in TCWC Jakarta's area of responsibility."
25,"Later that day, the Joint Typhoon Warning Center(JTWC) issued a Tropical Cyclone Formation Alert on Tropical Cyclone Lee, and then designated the storm as Tropical Cyclone 03S shortly after."
26,The TCWC in Perth upgraded Lee to category 2 on 15 November.
27,"Later that day, TCWC Perth issued its final advisory on Lee as it crossed west of 90°E, and the system was renamed Severe Tropical Storm Ariel by the Sub-Regional Tropical Cyclone Advisory Centre in Mauritius."
28,"--Severe Tropical Cyclone Guba--
The Tropical Cyclone Warning Centre(TCWC) in Brisbane began issuing warnings on a developing tropical low which was located near the southern Papua New Guinea mainland on 13 November 2007, while the Joint Typhoon Warning Center(JTWC) issued a Tropical Cyclone Formation Alert on the storm."
29,"Later that day, the JTWC issued its first advisory, designating the low as Tropical Cyclone 02P. TCWC Brisbane initiated tropical cyclone advisories on the tropical low early on 14 November."
30,"Shortly after, TCWC Brisbane upgraded the system to Tropical Cyclone Guba, which was a name assigned by the TCWC in Port Moresby."
31,"Guba drifted erratically off the Queensland coast for the next two days, and intensified on 16 November, becoming a Category 3 severe tropical cyclone."
32,"Guba was a small, but intense system, forming a well-defined eye."
33,Guba began weakening on 17 November as it started to accelerate to the west towards the Queensland coast.
34,"However, it later turned northwards, avoiding the Australian mainland, then north-east while it continued to weaken."
35,"TCWC Brisbane downgraded Guba below tropical cyclone strength, and issued its last advisory early on 20 November."
36,Flooding in Papua New Guinea led to at least 150 deaths.
37,"In the Oro Province, about 2,000 people were evacuated as a result of the flooding."
38,"Roads, bridges and 40 houses were washed away, as tides in the area reached two metres high."
39,"The provincial capital, Popondetta, had its water supply shut down, and Papua New Guinea's national airline, Air Niugini, suspended flights to Popondetta's main airport."
40,"The Rabaraba district in Milne Bay Province was also hit by flooding, with 30 houses and food gardens washed away, and forcing the evacuation of about 100 people."
41,"The government in Papua New Guinea reported that an estimated 145,000 people were affected from the flooding in Oro Province."
42,Six days of torrential rain led to a damage total of 200 million kina(US$71.4 million).
43,Guba was the first tropical cyclone to be assigned a name from Port Moresby's name lists since Tropical Cyclone Epi in 2003.
44,It is the first cyclone to occur in the Queensland region in the month of November since 1977.
45,"--Tropical Low 04U(Dama)--
On 18 December, a Tropical Depression in the south-west Indian Ocean was named Moderate Tropical Storm Dama, monitored by Météo-France."
46,"The system then moved south-east, entering the area of responsibility of Perth's Tropical Cyclone Warning Centre, east of 90°E. The storm however, was not at Tropical Cyclone strength when it crossed the area, but was still a tropical depression, in which the Perth TCWC began issuing shipping warnings."
47,"--Tropical Cyclone Melanie--
On 27 December, the Tropical Cyclone Warning Centre(TCWC) in Perth identified a Tropical Low near 11.2°S and 117.2°E, and began issuing shipping warnings for the developing system."
48,"Early on 28 December, the TCWC in Perth upgraded the tropical low to a tropical cyclone and named it Melanie."
49,"The cyclone moved southwards, then turned to the south-west on 29 December and strengthened to a Category 2(Australian scale)."
50,Cyclone watches and warnings were issued for the Pilbara coast.
51,On 30 December Melanie began to weaken and become less organised.
52,Melanie continued to weaken and the system was downgraded to Category 1 status on 31 December.
53,"Continued weakening took place thereafter and it weakened below cyclone status early on 2 January, when the final advisory was issued."
54,"--Tropical Cyclone Helen--
In late December a tropical low formed over the Top End which was slow moving in the eastern Top End on 29 December, which began moving west during 1 January at the base of the Top End."
