,0,1
0,Westin Peachtree Plaza Hotel tornado damage; the other side of the building had even worse damage.,Westin Peachtree Plaza Hotel tornado damage; the other side of the building had even worse damage.
1,Meteorological history,Meteorological history
2,Formed,"March 14, 2008, 9:38 p.m. EDT (UTC−04:00)"
3,Dissipated,"March 14, 2008, 9:50 p.m. EDT (UTC−04:00)"
4,Duration,12 minutes
5,EF2 tornado,EF2 tornado
6,on the Enhanced Fujita scale,on the Enhanced Fujita scale
7,Highest winds,135 mph (217 km/h)
8,Overall effects,Overall effects
9,Fatalities,1
10,Injuries,30
