index,0,1
0,Residents battle China's worst winter storm in 50 years,Residents battle China's worst winter storm in 50 years
1,,
2,,
3,Type,Series of low pressure systems and cold snap
4,Formed,25 January 2008[1]
5,Dissipated,6 February 2008
6,,
7,,
8,Fatalities,at least 129
9,Damage,At least 151.65 billion Chinese yuan ($21.94 billion US$)[2]
10,Areas affected,"Hubei, Hunan, Zhejiang, Guizhou, Guangdong, Jiangxi, Guangxi, Fujian, Henan, Shandong, Jiangsu, Anhui, Shanghai, Chongqing, Shanxi, Sichuan"
