index,Donation source,Amount
0,"Hong Kong and Macau businesspeople including: Cheung Chung-kiu (張松橋) Francis Choi Cheng Yu-tung Thomas Lau Joseph Lau Charles Ho (何柱國, Sing Tao News) Pansy Ho Peter Lam Albert Yeung Robert Ng",HK$10 million[43]
1,Hong Kong government relief fund (香港政府賑災基金),"HK$13,430,000[43]"
2,Shimao Property (世茂房地產控股有限公司),HK$10 million[43]
3,Tong Ren Tang,HK$3 million[43]
4,Hong Kong Syun Ming Association (香港宣明會),HK$4 million[43]
5,CLP Group,HK$1 million [43][45]
6,Bank of East Asia,HK$1 million[43]
7,Manufacturer's Association (廠商會),"HK$800,000[43]"
8,China Merchants Holdings (International),"HK$50,000[43]"
9,HK government staff,"HK$503,000[43]"
10,PLA HK Garrison fund,"HK$300,000[43]"
11,Hong Kong Red Cross,HK$32 million[43]
12,Hong Kong Jockey Club,HK$10 million[43]
13,Chinese Enterprise Association (中國企業協會),HK$4 million[43]
14,Bank of China charity,HK$3 million[43]
15,Megaman HK (曼佳美),HK$1 million[43]
16,Ocean Park Hong Kong,HK$1 million[43]
17,HK Shanghai Chamber of Commerce (上海商會),"HK$500,000[43]"
18,The Democratic Alliance for the Betterment and Progress of Hong Kong,"HK$275,000[43]"
19,Ten Percent Donation Scheme Foundation (拾巴仙布施計劃),"HK$200,000[43]"
20,Association of Chartered Certified Accountants,"HK$100,000[43]"
