,sentences
0,"The 2010 Atlantic hurricane season was the first of three consecutive very active Atlantic hurricane seasons, each with 19 named storms."
1,"This above average activity included 12 hurricanes, equaling the number that formed in 1969."
2,"Only the 2020 and 2005 seasons have had more, at 14 and 15 hurricanes respectively."
3,"Despite the high number of hurricanes, not one hurricane hit the United States, making the season the only season with 10 or more hurricanes without a United States landfall."
4,The overall tropical cyclone count in the Atlantic exceeded that in the West Pacific for only the second time on record.
5,"The season officially began on June 1 and ended on November 30, dates that conventionally delimit the period during each year when tropical cyclone formation is most likely."
6,"The first cyclone, Alex intensified into the first June hurricane since Allison in 1995."
7,The month of September featured eight named storms.
8,"October featured five hurricanes, including Tomas, which became the latest on record in a calendar year to move through the Windward Islands."
9,"Activity was represented with an accumulated cyclone energy(ACE) value of 165 units, which was the eleventh highest value on record at the time."
10,"The activity in 2010 was heightened due to a very strong La Niña, which also led to an inactive Pacific hurricane season."
11,Numerous tropical cyclones affected countries bordering the Atlantic Ocean throughout 2010.
12,Alex caused 52 deaths and up to $1.52 billion(2010 USD) in damage as it struck northern Mexico in June.
13,"The next month, Tropical Storm Bonnie struck Florida as a weak cyclone, leaving one dead."
14,"Tropical Storm Colin led to one drowning death, and rip currents produced by Tropical Depression Five killed two people."
15,"Hurricane Danielle passed east of Bermuda while Earl moved parallel to the East Coast of the United States and into Nova Scotia throughout late August, resulting in 2 and 8 deaths, respectively."
16,"In early September, Tropical Storm Hermine caused significant flooding across Texas and killed 8 people."
17,"The strongest hurricane of the year, Igor, killed four as it traversed the Atlantic and across Newfoundland."
18,"Latin America was badly hit by Hurricane Karl and Tropical Storm Matthew, with 22 and 126 deaths, respectively."
19,"In late September, Tropical Storm Nicole produced torrential rainfall from the Caribbean into the U.S. East Coast, resulting in 16 fatalities."
20,"Hurricane Paula caused a tourist to drown offshore Cozumel in mid-October, while Hurricane Richard left two dead in Belize later that month."
21,The season concluded with Tomas which caused 35 fatalities along its track through the Caribbean and into the Atlantic.
22,"-Seasonal forecasts-
Before and during each hurricane season, several forecasts of hurricane activity are issued by national meteorological services, scientific agencies, and noted hurricane experts."
23,"The forecasts include weekly and monthly changes in significant factors that help determine the number of tropical storms, hurricanes, and major hurricanes within a particular year."
24,"According to NOAA, the average Atlantic hurricane season between 1950 and 2005 contained 10.3 tropical storms, 6.2 hurricanes, 2.7 major hurricanes, and an accumulated cyclone energy(ACE) index of 66–103 units."
25,"Broadly speaking, ACE is a measure of the power of a tropical or subtropical storm multiplied by the length of time it existed."
26,"Therefore, a storm with a longer duration will have high values of ACE."
27,It is only calculated for full advisories on specific tropical and subtropical systems reaching or exceeding wind speeds of 39 mph(63 km/h).
28,"Accordingly, tropical depressions are not included in the count."
29,"After the storm has dissipated, typically after the end of the season, the NHC re-examines the data and produces a final report on each storm."
30,These revisions can lead to a revised ACE total either upward or downward compared to the original value.
31,"The National Oceanic and Atmospheric Administration(NOAA) typically categorizes a season as either above-average, average, or below-average based on the cumulative ACE Index, but the number of tropical storms, hurricanes, and major hurricanes within a hurricane season are occasionally considered as well."
32,"--Pre-season forecasts--
On December 7, 2009, Tropical Storm Risk(TSR) issued their first extended range outlook for the 2010 Atlantic hurricane season, predicting 13.9 named storms, 7.4 hurricanes, 3.4 major hurricanes, and an ACE index of 135 units."
33,"The organization referenced two main factors, slower trade winds across the Caribbean and above-average ocean temperatures across the Atlantic, for an above-average season."
34,"Two days later, Colorado State University(CSU) issued their first extended range outlook, projecting 11 to 16 named storms, 6 to 8 hurricanes, 3 to 5 major hurricanes, and an ACE index of 100 to 162 units."
35,"The organization stated that although a strong El Niño event was ongoing at the release of their forecast, a continuation of a warm El Niño–Southern Oscillation was unlikely to persist through the hurricane season."
36,"On January 27, 2010, The Weather Company(formerly WSI) called for the year to feature 13 named storms, 7 hurricanes, and 3 major hurricanes."
37,"CSU issued a more detailed update on April 7, upping their forecast to 15 named storms, 8 hurricanes, 4 major hurricanes, and an ACE index of 150."
38,More confidence in the weakening of El Niño(and thus lower vertical wind shear) and the continuation of anomalously warm sea surface temperatures across the Atlantic Ocean were cited.
39,"Two days later, TSR revised their forecast upward to 16.3 named storms, 8.5 hurricanes, 4 major hurricanes, and an ACE index of 159 units."
40,"In their April 21 update, WSI predicted the most active year since the record-breaking 2005 season, with 16 named storms, 9 hurricanes, and 5 major hurricanes."
41,"Five days later, North Carolina State University(NCSU) released their only forecast for the season, with 15 to 18 named storms and 8 to 11 hurricanes."
42,TSR largely maintained their forecast for their May 25 release.
