,2010 Atlantic hurricane season,2010 Atlantic hurricane season.1
0,Season summary map,Season summary map
1,Seasonal boundaries,Seasonal boundaries
2,First system formed,"June 25, 2010"
3,Last system dissipated,"November 7, 2010"
4,Strongest storm,Strongest storm
5,,
6,Name,Igor
7,• Maximum winds,155 mph (250 km/h) (1-minute sustained)
8,• Lowest pressure,924 mbar (hPa; 27.29 inHg)
9,Seasonal statistics,Seasonal statistics
10,Total depressions,21
11,Total storms,19
12,Hurricanes,12
13,Major hurricanes (Cat. 3+),5
14,Total fatalities,392 total
15,Total damage,$7.39 billion (2010 USD)
16,Related articles,Related articles
17,Timeline of the 2010 Atlantic hurricane season 2010 Pacific hurricane season 2010 Pacific typhoon season 2010 North Indian Ocean cyclone season,Timeline of the 2010 Atlantic hurricane season 2010 Pacific hurricane season 2010 Pacific typhoon season 2010 North Indian Ocean cyclone season
18,"Atlantic hurricane seasons 2008, 2009, 2010, 2011, 2012","Atlantic hurricane seasons 2008, 2009, 2010, 2011, 2012"
