,Storm name,Dates active,Storm category at peak intensity,Max 1-min wind mph (km/h),Min. press. (mbar),Areas affected,Damage  (USD),Deaths,Ref(s).,Unnamed: 9,Unnamed: 10
0,Alex,June 25 – July 2,Category 2 hurricane,110 (175),946,"Greater Antilles, Central America, Yucatán Peninsula, Northern Mexico, South Texas",$1.52 billion,33 (19),,,
1,Two,July 8–9,Tropical depression,35 (55),1005,"Northern Mexico, South Texas",Minimal,,,,
2,Bonnie,July 22–24,Tropical storm,45 (75),1005,"Puerto Rico, Hispaniola, Turks and Caicos, Bahamas, Florida",$1.36 million,1,,,
3,Colin,August 2–8,Tropical storm,60 (95),1005,"Leeward Islands, Bermuda, The Carolinas, New England",Minimal,1,,,
4,Five,August 10–11,Tropical depression,35 (55),1007,United States Gulf Coast,$1 million,0 (2),,,
5,Danielle,August 21–30,Category 4 hurricane,130 (215),942,"Bermuda, United States East Coast",Minimal,2,,,
6,Earl,August 25 – September 4,Category 4 hurricane,145 (230),927,"Leeward Islands, Puerto Rico, Bahamas, Eastern United States, Atlantic Canada, Quebec",$45 million,5 (3),,,
7,Fiona,August 30 – September 3,Tropical storm,65 (100),998,"Leeward Islands, Bermuda",Minimal,,,,
8,Gaston,September 1–2,Tropical storm,40 (65),1005,"Leeward Islands, Puerto Rico",,,,,
9,Hermine,September 5–9,Tropical storm,70 (110),989,"Central America, Mexico, Texas, Oklahoma, Kansas",$740 million,52 (50),,,
10,Igor,September 8–21,Category 4 hurricane,155 (250),924,"Cabo Verde, Leeward Islands, Bermuda, United States East Coast, Newfoundland",$200.5 million,4,,,
11,Julia,September 12–20,Category 4 hurricane,140 (220),948,Cabo Verde,Minimal,,,,
12,Karl,September 14–18,Category 3 hurricane,125 (205),956,"Belize, Yucatán Peninsula, Veracruz",$3.9 billion,22,,,
13,Lisa,September 20–26,Category 1 hurricane,85 (140),982,,,,,,
14,Matthew,September 23–26,Tropical storm,60 (95),998,"Venezuela, Central America, Mexico, Jamaica, Haiti",$171.2 million,126,,,
15,Nicole,September 28–29,Tropical storm,45 (75),995,"Cayman Islands, Jamaica, Cuba, Florida, Bahamas, United States East Coast",$245.4 million,16,,,
16,Otto,October 6 -10,Category 1 hurricane,85 (140),976,"Leeward Islands, Virgin Islands, Puerto Rico",$22.5 million,,,,
17,Paula,October 11–15,Category 2 hurricane,105 (165),981,"Nicaragua, Honduras, Mexico, Cuba, Bahamas, Florida",Unknown,1,,,
18,Richard,October 20–26,Category 2 hurricane,100 (155),977,"Honduras, Belize, Guatemala, Mexico",$80 million,1 (1),,,
19,Shary,October 28–30,Category 1 hurricane,75 (120),989,Bermuda,Minimal,,,,
20,Tomas,October 29 – November 7,Category 2 hurricane,100 (155),982,"Windward Islands, Leeward Antilles, Greater Antilles, Lucayan Archipelago",$463.4 million,51,,,
21,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates
22,21 systems,June 25 – November 7,,155 (250),924,,$7.39 billion,315 (77),,,
