,Name,County,Acres,Km2,Start Date,Contained Date,Notes
0,Panther,Tehama,6896,27.9,"May 1, 2013","May 9, 2013",
1,Summit,Riverside,3161,12.8,"May 1, 2013","May 4, 2013",1 structure destroyed
2,Springs,Ventura,24251,98.1,"May 2, 2013","May 9, 2013",
3,Grand,Kern,4346,17.6,"May 15, 2013","May 22, 2013",
4,San Felipe,San Diego,2650,10.7,"May 23, 2013","May 29, 2013",
5,General,San Diego,2500,10.1,"May 26, 2013","May 31, 2013",
6,White,Santa Barbara,1984,8.0,"May 27, 2013","June 5, 2013",
7,Powerhouse,Los Angeles,30274,122.5,"May 30, 2013","June 10, 2013",58 structures destroyed
8,Hathaway,Riverside,3870,15.7,"June 9, 2013","October 15, 2013",
9,Carstens,Mariposa,1708,6.9,"June 16, 2013","June 26, 2013",
10,Chariot,San Diego,7055,28.6,"July 6, 2013","July 15, 2013",149 structures destroyed
11,Mountain,Riverside,27531,111.4,"July 15, 2013","July 31, 2013",
12,Aspen,Fresno,22992,93.0,"July 22, 2013","September 8, 2013",
13,Forks Complex,Siskiyou,37246,150.7,"July 31, 2013","October 1, 2013",
14,Salmon River Complex,Siskiyou,14754,59.7,"July 31, 2013","August 31, 2013",
15,Falls,Riverside,1383,5.6,"August 5, 2013","August 9, 2013",
16,Power,Tuolumne,1070,4.3,"August 5, 2013","August 13, 2013",
17,Silver,Riverside,20292,82.1,"August 7, 2013","August 12, 2013",
18,Corral Complex,Humboldt,12503,50.6,"August 10, 2013",2 October 2013,
19,American,Placer,22407,90.7,"August 11, 2013","August 29, 2013",
20,Swedes,Butte,2264,9.2,"August 16, 2013","August 22, 2013",
21,Rim,Tuolumne,257314,1041.3,"August 17, 2013","October 27, 2013",112 structures destroyed
22,Mission,Monterey,4500,18.2,"August 22, 2013","August 25, 2013",
23,Deer,Tehama,11429,46.3,"August 23, 2013","August 29, 2013",
24,Fish,Tulare,2060,8.3,"August 23, 2013","September 5, 2013",
25,Morgan,Contra Costa,3100,12.5,"September 8, 2013","September 14, 2013",Ignited at Mount Diablo.
26,Clover,Shasta,8073,32.7,"September 9, 2013","September 15, 2013","196 structures destroyed, 1 fatality"
27,DeLuz,San Diego,2236,9.0,"October 5, 2013","October 9, 2013",
28,McCabe,Sonoma,3505,14.2,"November 22, 2013","November 28, 2013",
