index,Record,Record.1,Named storms,Hurricanes,Major hurricanes,Ref
0,Average (1981–2010):,Average (1981–2010):,15.4,7.6,3.2,[1]
1,Record high activity:,Record high activity:,1992: 27,2015: 16,2015: 11,[2]
2,Record low activity:,Record low activity:,2010: 8,2010: 3,2003: 0,[2]
3,Date,Source,Named storms,Hurricanes,Major hurricanes,Ref
4,"March 12, 2014",SMN,15,7,3,[3]
5,"April 10, 2014",SMN,14,7,5,[4]
6,"May 22, 2014",CPC,14–20,7–11,3–6,[5]
7,"July 31, 2014",SMN,17,8,5,[6]
8,,Area,Named storms,Hurricanes,Major hurricanes,Ref
9,Actual activity:,EPAC,20,15,9,
10,Actual activity:,CPAC,2,1,0,
11,Actual activity:,Actual activity:,22,16,9,
