index,Storm name,Dates active,Storm category at peak intensity,Max 1-min wind mph (km/h),Min. press. (mbar),Areas affected,Damage  (USD),Deaths,Ref(s).,Unnamed: 9,Unnamed: 10
0,Amanda,May 22–29,Category 4 hurricane,155 (250),932,"Southwestern Mexico, Western Mexico",Minimal,3,,,
1,Boris,June 2–4,Tropical storm,45 (75),998,"Southwestern Mexico, Guatemala",$54.1 million,6,,,
2,Cristina,June 9–15,Category 4 hurricane,150 (240),935,"Southwestern Mexico, Western Mexico",Minimal,,,,
3,Douglas,June 28 – July 5,Tropical storm,50 (85),999,,,,,,
4,Elida,June 30 – July 2,Tropical storm,50 (85),1002,Western Mexico,,,,,
5,Fausto,July 7–9,Tropical storm,45 (75),1004,,,,,,
6,Wali,July 17–18,Tropical storm,45 (75),1003,Hawaii,Minimal,(1),[43],,
7,Genevieve,July 25 – August 7[nb 3],Category 3 hurricane,115 (185),965,,,,,,
8,Hernan,July 26–29,Category 1 hurricane,75 (120),992,,,,,,
9,Iselle,July 31 – August 9,Category 4 hurricane,140 (220),947,Hawaii,>$148 million,1,,,
10,Julio,August 4–15,Category 3 hurricane,120 (195),960,Hawaii,,,,,
11,Karina,August 13–26,Category 1 hurricane,85 (140),983,,,,,,
12,Lowell,August 17–24,Category 1 hurricane,75 (120),980,,,,,,
13,Marie,August 22–28,Category 5 hurricane,160 (260),918,"Southwestern Mexico, Southern California",$20 million,6,[90],,
14,Norbert,September 2–7,Category 3 hurricane,125 (205),950,"Western Mexico, Baja California Peninsula, Southwestern United States",$28.3 million,5,,,
15,Odile,September 10–18,Category 4 hurricane,140 (220),918,"Western Mexico, Baja California Peninsula, Northwestern Mexico, Southwestern United States, Texas",$1.82 billion,18,,,
16,Sixteen-E,September 11–15,Tropical depression,35 (55),1005,Baja California Sur,,,,,
17,Polo,September 16–22,Category 1 hurricane,75 (120),979,"Western Mexico, Baja California Peninsula",$7.6 million,1,,,
18,Rachel,September 24–30,Category 1 hurricane,85 (140),980,,,,,,
19,Simon,October 1–7,Category 4 hurricane,130 (215),946,"Western Mexico, Baja California Peninsula, Southwestern United States",Unknown,,,,
20,Ana,October 13–26,Category 1 hurricane,85 (140),985,"Hawaii, Western Canada, Alaskan Panhandle",Minimal,,,,
21,Trudy,October 17–19,Tropical storm,65 (100),998,Southwestern Mexico,>$12.3 million,9,,,
22,Vance,October 30 – November 5,Category 2 hurricane,110 (175),964,"Western Mexico, Northwestern Mexico",Minimal,,,,
23,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates
24,23 systems,May 22 – November 5,,160 (260),918,,≥$2.09 billion,50,,,
