,sentences
0,"Between 13 and 18 May 2014 a low-pressure cyclone designated Tamara and Yvette affected a large area of Southeastern and Central Europe, causing floods and landslides."
1,"Serbia and Bosnia and Herzegovina suffered the greatest damage, as the rain was the heaviest in 120 years of recorded weather measurements."
2,"By 20 May, at least 62 people had died as a result of the flooding, and hundreds of thousands had been forced from their homes."
3,"Towns of Obrenovac in Serbia and Doboj in Bosnia and Herzegovina account for most victims, after being inundated by several-meter high waters from nearby rivers."
4,"Floodwaters caused over 2,000 landslides across Southeast Europe, spreading damage across many towns and villages."
5,"The rains activated torrents and mudslides, and subsequently several rivers in watersheds of Sava and Morava rose and flooded surrounding valleys."
6,"Official counts indicate that over 1.6 million people were affected in Serbia and Bosnia, after a week of flooding."
7,"Assessments of the damage range up to €3.5 billion for Serbia, Bosnia and Herzegovina."
8,"Damage in Serbia, jointly estimated by EU, World Bank group and UN officials, stands at 1,55 billion euros."
9,Officials in Bosnia stated that the damage could exceed that of the Bosnian War.
10,"The events initiated a large international aid campaign, with numerous countries, organizations and individuals donating humanitarian, material and monetary support for the affected areas."
11,"-Meteorological history-
On 13 May, a  low-pressure area formed over the Adriatic Sea, as polar air from Central Europe penetrated into the Mediterranean basin."
12,"The cold polar air mass met with humid subtropical air, leading to very low pressure."
13,"On 14 May, the low moved over Southeast Europe, becoming stationary."
14,"As a result, extremely heavy rain fell within the region; Serbia(in the area around Belgrade) and Bosnia were most affected."
15,"Serbian and Bosnian meteorologists named the formed cyclone ""Tamara""."
16,"On 15 May, the daily amounts of rainfall broke historical records in Belgrade(107.9 mm), Valjevo(108.2 mm) and Loznica(110 mm)."
17,"By 15 May, the monthly rainfall in Belgrade had broken the historical record(175 L from 1897), reaching 205 L. By Saturday, May 17, the rain had subsided, and the weather gradually became warmer and sunnier, somewhat easing relief and rescue efforts."
18,"On 18 May, the cyclone moved further northwest."
19,"The main flooding region was the watershed of the Sava river, which forms a border between Bosnia and Croatia, flows into Serbia, and drains into the Danube in Belgrade."
20,"On Wednesday, 14 May, heavy rainfall caused torrential floods across mountainous regions, which destroyed bridges and infrastructure, and caused numerous landslides."
21,"The deadliest impact occurred on Thursday, 15 May, when water levels in several right-bank tributaries of the Sava suddenly and uncontrollably rose at an unprecedented rate, flooding towns in their valleys."
22,"The Bosna river in central Bosnia completely flooded the cities of Doboj, Maglaj, Zavidovići and Šamac, while the Kolubara, near Belgrade, did the same to Obrenovac; those cities had the major share of victims."
