,sentences
0,"The 2014–15 North American winter was frigid and prolifically wintry, especially across the eastern half of North America in the months of January–March."
1,"The season began early, with many places in North America experiencing their first wintry weather during mid-November."
2,"A period of below-average temperatures affected much of the contiguous United States, and several records were broken."
3,A quasi-permanent phenomenon referred to as the polar vortex may have been partly responsible for the cold weather.
4,"Temperatures in much of the United States dropped 15 to 35 °F(8.3 to 19 °C) below average by November 19, following a southward ""dip"" of the polar vortex into the eastern two-thirds of the country."
5,"The effects of this dip were widespread, bringing about temperatures as low as 28 °F(−2 °C) in Pensacola, Florida."
6,"Following a significant snowstorm there, Buffalo, New York received several feet of snow from November 17–21."
7,"In addition, significant winter weather occurred throughout the season, including a major blizzard that struck the Northeastern United States at the end of January, another blizzard that affected much of the Northern United States days later in early February, and several significant snow events paired with very frigid temperatures for much of February."
8,"While there is no well-agreed-upon date used to indicate the start of winter in the Northern Hemisphere, there are two definitions of winter which may be used."
9,"Based on the astronomical definition, winter begins at the winter solstice, which in 2014 occurred on December 21, and ends at the March equinox, which in 2015 occurred on March 20."
10,"Based on the meteorological definition, the first day of winter is December 1 and the last day February 28."
11,"Both definitions involve a period of approximately three months, with some variability."
12,"Many records for snowfall and temperature were broken, many for the month of February, with every state east of the Mississippi River being colder than average, some for the entire winter."
13,"However, this meteorological winter was the 19th-warmest of the past 120 winters over the Contiguous United States, largely due to persistent warm weather in the Western United States."
14,"During the 2014–15 winter season, Boston broke its all-time official seasonal 107.6-inch(2.73-meter) snowfall record from the winter of 1995–96, with a total snowfall record of 108.6 inches(2.76 m) as of March 15, 2015."
15,An early trace of snowfall was recorded in Arkansas.
16,There were greater accumulations of snow across parts of Oklahoma as well.
17,"-Seasonal forecasts-
On October 16, 2014, the National Oceanic and Atmospheric Administration's Climate Prediction Center issued its U.S. Winter Outlook."
18,"This outlook indicated that below-average temperatures in parts of the south-central and southeastern United States would be favored, with above-average temperatures favored in the western U.S., Alaska, Hawaii, and New England."
19,"Drought conditions were expected to improve in California's southern and northwestern regions, but no improvements were expected earlier than December or January."
20,"Above-average conditions were also expected to pervade the winter months in the western U.S., the Intermountain West extending across the U.S.–Canada border through New York and New England, and Alaska and Hawaii."
21,"The Precipitation Outlook favored above-average precipitation across the southern tier and Atlantic coast of the United States, with above-average precipitation also favored in southern Alaska and the Alaska panhandle."
22,"Below-average precipitation was favored in Hawaii, the northwestern United States, and near the Great Lakes region."
23,"The rest of the country was given an ""equal chance"" for either above- or below-average temperatures and/or precipitation."
24,"On November 30, 2014, Environment Canada's monthly prediction system produced a forecast for the months of December, January, and February across Canada."
25,Areas in and just off the western coast of British Columbia were considered the most likely areas for above-average temperatures.
26,"Other areas where above-average temperatures were favored by the forecast included Yukon, the Northwest Territories, northern parts of Alberta and Saskatchewan, and northwestern parts of Manitoba."
27,"Below-average temperatures were favored in and near Lake Superior in Ontario, across much of Hudson Bay, in far-eastern parts of Nunavut, and in northern parts of Quebec."
28,"The most favorable locations for above-average precipitation were northwestern British Columbia, southwestern Yukon, eastern parts of the Northwest Territories, western parts of Nunavut, and Newfoundland."
