index,sentences
0,"The 2015 Accra floods resulted from heavy continuous rainfall in Accra, the largest city in Ghana."
1,The rain started on 1 June 2015.
2,"Other causes of this flood is as a result of the improper planning of settlement in Accra, choked gutters which block the drainage system and a few other human factors."
3,The floods have resulted in heavy traffic on the roads in the city and also a halt in commercial activities as markets were flooded and workers trapped.
4,"Mayor of Accra Metropolitan Assembly, Alfred Oko Vanderpuije described the flooding as critical."
5,"At least 25 people have died from the flooding directly, while a petrol station explosion caused by the flooding killed at least 200 more people."
6,"-Affected areas-
--Kaneshie--
The Kaneshie market and its surroundings were submerged, preventing vehicles from moving."
7,"--Graphic Road--
Graphic Road, home to some automobile companies and a hub for scrap dealers and other squatters, was heavily flooded."
8,The Toyota Ghana and Rana Motors showrooms were completely submerged.
9,"--GOIL fire--
On June 3, 2015, a GOIL fuel station near Kwame Nkrumah Interchange burnt with people and vehicles in the vicinity."
10,The fire also burnt a Forex Bureau and Pharmacy nearby.
11,Over 200 people were feared dead and bodies have been moved to the 37 Military Hospital.
12,The hospital later announced they are unable to hold more bodies.
13,The cause of the fire was yet to be determined.
14,"On 4 June 2015 the Mayor of Accra Alfred Vanderpuije, Member of Parliament for Korle Klottey, Nii Armah Ashitey and President John Mahama visited the scene."
15,"-Response-
— President Mahama declared 3 days' national mourning for the victims affected by the flood and explosion."
16,The government also released GH₵ 60 million to support victims.
