index,sentences
0,The 2015–16 North American winter was not as frigid across North America and the United States(especially the East Coast) as compared to the 2013–14 and 2014–15 winters.
1,"This was mainly due to a strong El Niño, which caused generally warmer-than-average conditions."
2,"However, despite the warmth, significant weather systems still occurred, including a snowstorm and flash flooding in Texas at the end of December and a large tornado outbreak at the end of February."
3,"The main event of the winter season, by far and large, was when a crippling and historic blizzard struck the Northeastern United States in late January, dumping up to 3 feet(36 in; 91 cm) of snow in and around the metropolitan areas."
4,"Several other smaller snow events affected the Northeast as well, but for the most part the heaviest snowstorms and ice stayed out further west, such as a severe blizzard in western Texas in late December(producing a tornado outbreak as well), and  a major late-season snowstorm in Colorado in mid-April."
5,"While there is no well-agreed-upon date used to indicate the start of winter in the Northern Hemisphere, there are two definitions of winter which may be used."
6,"Based on the astronomical definition, winter begins at the winter solstice, which in 2015 occurred late on December 21, and ends at the March equinox, which in 2016 occurred on March 20."
7,"Based on the meteorological definition, the first day of winter is December 1 and the last day February 29."
8,"Both definitions involve a period of approximately three months, with some variability."
9,Winter is often defined by meteorologists to be the three calendar months with the lowest average temperatures.
10,"Since both definitions span the calendar year, it is possible to have a winter storm in two different years."
11,"-Seasonal forecasts-
On October 15, 2015, the National Oceanic and Atmospheric Administration's Climate Prediction Center issued its U.S. Winter Outlook."
12,The presence of a strong El Niño event was expected to affect weather and climate patterns by influencing the position of the Pacific jet stream.
13,"According to CPC deputy director Mike Halpert at the time of the outlook, ""A strong El Niño is in place and should exert a strong influence over our weather this winter"" and ""While temperature and precipitation impacts associated with El Niño are favored, El Niño is not the only player."
14,Cold-air outbreaks and snow storms will likely occur at times this winter.
15,"However, the frequency, number and intensity of these events cannot be predicted on a seasonal timescale."""
16,Other oscillations anticipated to have some effect on winter in the United States were the Arctic oscillation and the Madden–Julian oscillation.
17,The precipitation outlook indicated an elevated likelihood of above-average levels precipitation from central and southern California to Texas and Florida and northward to southern parts of New England.
18,"Above-average precipitation was also favored in southeastern Alaska, with below-average levels of precipitation favored in central and western Alaska, parts of the Northwestern U.S. and northern Rocky Mountain states, and areas in the vicinity of the Great Lakes and Ohio Valley."
19,The temperature outlook favored below-average temperatures in the southern Plains and Southeastern United States.
20,Above-average temperatures were most favored across the West and the northern half of the contiguous United States and Alaska and Hawaii.
21,"The drought outlook anticipated improvement in conditions in central and southern California by the end of January 2016, noting the possibility of additional alleviation of drought conditions in February and March."
22,"The outlook favored the removal of drought across large parts of the Southwestern U.S., with additional lessening or elimination of drought conditions likely in the southern Plains."
23,"Drought conditions were expected to persist across the Pacific Northwest and northern Rocky Mountains, with development likely in Hawaii and areas in the vicinity of the northern Great Lakes region."
24,"On November 30, 2015, Environment Canada issued its winter outlook for December, January, and February, as part of their monthly climate outlooks."
25,"Above-average temperatures were favoured throughout most of Canada, with the exception of northern Quebec and the southern tip of Baffin Island; areas that were considered the most likely to see above normal temperatures included the Lower Mainland of British Columbia, the Maritime provinces, southern Newfoundland, central Quebec and Ontario, and northern Manitoba and Saskatchewan; in those areas, the probability of above-normal temperatures was over 80%."
26,"The areas where below-normal temperatures were favoured included extreme northern areas of Quebec and Labrador, along with southern parts of Baffin Island."
27,"Above average precipitation was favoured in the Lower Mainland of B.C., New Brunswick, northern Quebec, northern Newfoundland, the Northwest Territories, and western Nunavut."
28,Below-average precipitation was favoured on the south-eastern tip of Baffin Island and a small area just north of Lake Superior.
29,"-Seasonal summary-
The winter of 2015–16 was quite unusual and historic in terms of winter weather."
30,"First, around the end of November near Black Friday, a crippling ice storm hit the Southern and Central Plains with as much as 1.5 inches(38 mm) of ice accumulation in some areas, knocking out power to over 100,000 residents."
31,"In December, two winter storms impacted the Great Lakes, with the latter one being a bit farther to the west, both brought roughly a foot of snow in some locations."
32,"Normally, in this area, this is not common, but the strong El Niño may have been a contributor to this."
33,"Following that, the nation had one of the warmest Decembers on record, with New York City being as warm as 72 °F(22 °C) on Christmas Eve(December 24)."
34,This was the warmest temperature in New York City in the second half of December on record.
35,The low that day of 63 °F(17 °C) was the warmest December low on record in New York.
36,"In fact, across the Lower 48, this was the warmest and wettest December on record at the time."
37,Every single state in the Northeastern United States saw a record warm December.
38,"In 2021, an even warmer December was recorded across the Lower 48, with a mean temperature of 39.3 °F(4.1 °C) rather than 38.6 °F(3.7 °C)."
39,"This meant Buffalo, New York until December 18, a record for latest first snow."
40,"A strong tornado outbreak also occurred from December 23–25, which a very similar event had occurred the year before, just weaker."
41,"After this system passed, a larger storm complex moved through the same areas impacted by the ice storm from Black Friday 2015."
42,"This storm brought blizzard conditions to parts of Texas and New Mexico, with areas reaching up to close to 2 feet of snow in parts of Texas, which is a rare event in that state."
43,"For comparison, the last time this has occurred(or near the same areas), was in 2011 during the Groundhog Day blizzard."
44,The month of January 2016 was variable in its weather patterns.
45,"Following the warm trend in December, an early cold snap brought close-to-average temperatures to the East Coast, at the same time a storm complex was moving through the Northeast, and due to the fresh batch of cold air, it was able to produce some snow on the back side of it."
46,"At the opposite end of the spectrum, the West Coast was receiving needed rainfall to help during its long-time drought."
47,This brief period of relief soon ended.
48,"After that, around January 16–17, a potent storm system moved up the East Coast, bringing the first snowfall of the season to areas like Philadelphia and New York City."
49,"A few days later, an Alberta clipper moved through the central United States, producing a swath of snow from Illinois to North Carolina."
50,This small system was then proceeded and eclipsed by a crippling and historic blizzard just days later on January 22–23.
51,"Cities like Washington D.C., Philadelphia, and New York City were buried with 1–2.5 feet(12–30 in) of snow, breaking numerous records."
52,"In February, the historic weather events continued, as another snowstorm kicked off the month with a swath of snow from Colorado to Michigan."
53,"Snow accumulations ranged from 8–14 inches(20–36 cm), along with winds up to 45 mph(72 km/h)."
54,"After the storm system passed, its cold front transformed into another potent snowstorm for the East Coast, with snowfall amounts up to 8 inches."
55,"From there, another winter storm occurred as a nor'easter, bringing more snow to New England on February 8."
56,"Shortly thereafter, the coldest air of the season froze parts of the Northeast on February 14, with temperatures dipping to as low as 0 °F(−18 °C), shattering many record low temperatures."
57,The cold lingered into Presidents Day as another winter storm began to take shape.
58,This set the stage for more snow in the Northeast.
59,"Snowfall ranged anywhere from 4–6 inches(10–15 cm) in the Northeast, to 12–18 inches(30–46 cm) in the Appalachians."
60,"What was interesting about the weather pattern for this system, was the 24-hour weather difference, for example, at 2:00 pm EDT on February 15, New York City reported snow with temperatures in the 30s, and a day later, reported temperatures in the mid-50s and thunderstorms on February 16."
61,The system departed by February 17.
62,"A week later around February 22–24, another winter storm formed and eventually produced the second-largest tornado outbreak ever recorded in February."
63,"The storm complex produced as much as 59 confirmed tornadoes, with 4 of them being rated an EF3, including areas which don't normally see tornadoes that strong."
64,The massive system moved out of the United States by February 25.
65,March was quite extreme.
