,0,1
0,2000s,2000 Jan 18–30 Dec 27–31 2002 Jan 29–31 Feb 7 Dec 4–5 2003 Feb 14–19 Dec 5–8 2004 Feb 17–23) (Dec 21–24 Dec 24–28 2005 Jan 20–23 Dec 14–16 2006 Feb 11–13 Oct 11–13 Nov 20–24 Nov 26 – Dec 1 Dec 20 – Jan 1 2007 Jan 11–24 Feb 12–20 Apr 13–17 Nov 29 – Dec 4 Nov 29 – Dec 5 Dec 8–18 2008 Jan 3–11 Mar 6–10 Dec 11–12 Dec 19–25 2009 Jan 25–30) (Oct 13–20 Dec 16–20 Dec 22–28
1,2010s,"2010 Jan 17–26 Feb 1–6 Feb 7–11 Feb 24–27 Mar 12–16) Oct 23–28 Dec 5–29 2011 Jan 8–13 Jan 24–28 Jan 29 – Feb 3 Oct 28 – Nov 1 Nov 8–10 2012 Jan 16–20 Oct 29 – Nov 2 Nov 7–10 Dec 17–22 Dec 25–28 2013 Feb 7–10 Feb 22–29 Mar 1–10 Mar 18–20 Oct 3–5 Nov 22–28 Dec 19–23 2014 Dec 30, 2013 – Jan 4 Jan 20–22 Jan 27–31 Feb 11–14 Feb 19–21 Feb 27 – Mar 4 Mar 24–28 Nov 8–13 Nov 13–21 Dec 9–11 Dec 10–27 2015 Jan 23–30 Jan 31 – Feb 2 Feb 12–17 Feb 20 – Mar 1 Feb 25–26 Mar 1–6 May 9–11 Nov 24–27 Dec 26–30 2016 Jan 21–24 Jan 29 – Feb 7 Feb 7–10 Feb 23–24 Mar 8–11 Mar 21–25 Apr 15–23 Dec 23–26 2017 Jan 4–8 Jan 7–13 Jan 10–17 Jan 19–24 Jan 21–23 Feb 6–10 Feb 12–14 Feb 8–22 Mar 11–15 Apr 28 – May 1 Oct 29–31 Dec 8–10 2018 Jan 2–5 Jan 13–16 Mar 1–3 Mar 6–8 Mar 11–15 Mar 20–22 Apr 12–15 Nov 14-15 2019 Jan 16–21 Feb 11–13 Mar 3–4 Mar 11–15 Apr 10–12 Nov 26 – Dec 3 Dec 21–26"
2,2010,Jan 17–26 Feb 1–6 Feb 7–11 Feb 24–27 Mar 12–16) Oct 23–28 Dec 5–29
3,2011,Jan 8–13 Jan 24–28 Jan 29 – Feb 3 Oct 28 – Nov 1 Nov 8–10
4,2012,Jan 16–20 Oct 29 – Nov 2 Nov 7–10 Dec 17–22 Dec 25–28
5,2013,Feb 7–10 Feb 22–29 Mar 1–10 Mar 18–20 Oct 3–5 Nov 22–28 Dec 19–23
6,2014,"Dec 30, 2013 – Jan 4 Jan 20–22 Jan 27–31 Feb 11–14 Feb 19–21 Feb 27 – Mar 4 Mar 24–28 Nov 8–13 Nov 13–21 Dec 9–11 Dec 10–27"
7,2015,Jan 23–30 Jan 31 – Feb 2 Feb 12–17 Feb 20 – Mar 1 Feb 25–26 Mar 1–6 May 9–11 Nov 24–27 Dec 26–30
8,2016,Jan 21–24 Jan 29 – Feb 7 Feb 7–10 Feb 23–24 Mar 8–11 Mar 21–25 Apr 15–23 Dec 23–26
9,2017,Jan 4–8 Jan 7–13 Jan 10–17 Jan 19–24 Jan 21–23 Feb 6–10 Feb 12–14 Feb 8–22 Mar 11–15 Apr 28 – May 1 Oct 29–31 Dec 8–10
10,2018,Jan 2–5 Jan 13–16 Mar 1–3 Mar 6–8 Mar 11–15 Mar 20–22 Apr 12–15 Nov 14-15
11,2019,Jan 16–21 Feb 11–13 Mar 3–4 Mar 11–15 Apr 10–12 Nov 26 – Dec 3 Dec 21–26
12,2020s,"2020 Jan 14–19 Feb 2–5 Oct 26–28 Oct 29–30 Nov 29 – Dec 2 Dec 4–6 Dec 14–18 Dec 23–25 Dec 30 – Jan 2, 2021 2021 Jan 12–17 Jan 25 – Feb 4 Feb 6–8 Feb 10–12 Feb 11–14 Feb 13–17 Feb 15–20 Mar 10–17 Mar 16–17 Apr 15–17 Oct 24–26 Dec 9–12 Dec 13–18 2022 Jan 3–4 Jan 14–17 Jan 27–30 Feb 1–5 Feb 22-26 Apr 11-14 Nov 17–20 Dec 12–16 Dec 21–26 2023 Jan 31–Feb 2 Feb 21–28 Mar 9–17 2024 Jan 6–7 Jan 8–10 Jan 13–16 Feb 1–7 Feb 10–13 Feb 16–17 Nov 7–9 Nov 19–21 Dec 19–22 2025 Jan 3–7 Jan 9–11 Jan 18–20 Jan 20–22 Feb 10–12 Feb 11–13 Feb 13–16 Feb 20–21 Mar 3–5 Mar 13–16"
13,2020,"Jan 14–19 Feb 2–5 Oct 26–28 Oct 29–30 Nov 29 – Dec 2 Dec 4–6 Dec 14–18 Dec 23–25 Dec 30 – Jan 2, 2021"
14,2021,Jan 12–17 Jan 25 – Feb 4 Feb 6–8 Feb 10–12 Feb 11–14 Feb 13–17 Feb 15–20 Mar 10–17 Mar 16–17 Apr 15–17 Oct 24–26 Dec 9–12 Dec 13–18
15,2022,Jan 3–4 Jan 14–17 Jan 27–30 Feb 1–5 Feb 22-26 Apr 11-14 Nov 17–20 Dec 12–16 Dec 21–26
16,2023,Jan 31–Feb 2 Feb 21–28 Mar 9–17
17,2024,Jan 6–7 Jan 8–10 Jan 13–16 Feb 1–7 Feb 10–13 Feb 16–17 Nov 7–9 Nov 19–21 Dec 19–22
18,2025,Jan 3–7 Jan 9–11 Jan 18–20 Jan 20–22 Feb 10–12 Feb 11–13 Feb 13–16 Feb 20–21 Mar 3–5 Mar 13–16
