index,sentences
0,"On August 10th and 11th, 2020, an extremely powerful progressive derecho devastated much of the Midwestern United States, primarily eastern Nebraska, Iowa, Illinois, Wisconsin, and Indiana."
1,It caused high winds and spawned an outbreak of weak tornadoes.
2,Some areas reported torrential rain and large hail.
3,"Damage was moderate to severe across much of the affected area, as sustained wind speeds of 70 miles per hour(110 kilometers per hour; 31 meters per second) were prevalent."
4,"The greatest damage occurred in eastern Iowa, and northern Illinois, where multiple tornadoes touched down."
5,"The highest winds occurred in Iowa, measured at 126 mph(203 km/h; 56.3 m/s) and highest estimated from post-event damage surveys at 140 mph(225 km/h; 62.6 m/s)."
6,"Millions across the Midwest were affected by wide-scale utility disruptions, residential and commercial property damage, and severe damage to corn and soybean crops."
7,"Cedar Rapids, Iowa, was the most severely damaged, suffering a near-complete blackout that lasted for weeks in some areas, widespread and severe property damage, and an estimated loss of at least half of the city's tree canopy."
8,The derecho caused over $11 billion(2020 USD) in damages and spawned a years-long cleanup effort.
9,"-Meteorological history-
Derechos of similar intensity to the August 2020 storm impact the Midwestern U.S. roughly once per decade, with similar derechos having occurred in 1998 and 2011."
10,"As with derechos in general, the continuous downwelling of high winds associated with the nearby jet stream and the expansion of dense rain-cooled air in the storm's wake induced the destructive winds and the storm's motion."
11,"However, the August 2020 derecho was unusual for the longevity of the damaging winds it produced; some areas were subjected to these winds for up to an hour compared to the 10–20 minutes of sustained damaging winds in a typical derecho, resulting in conditions similar to the passage of a hurricane's eyewall."
12,"Media outlets described the storm as an ""inland hurricane""."
13,"On average, the storm front traveled west-to-east at an average speed of 55 mph(88.5 km/h; 24.6 m/s)."
14,A combination of strong ambient winds and extreme convective instability facilitated the strength and unusual characteristics of the derecho.
15,"The latter factor resulted from the conducive overlapping of moist air drawn northward across the Mississippi Valley and warm and dry air aloft originating from the Southwestern U.S., resulting in an elevated mixed layer that allowed instability to escalate."
16,"These convectively unstable conditions permeated across Iowa and were characterized by steep lapse rates in the mid-levels of the troposphere as sampled via weather balloon launches from Omaha, Nebraska, on the morning of August 10, and from Davenport, Iowa, at noon that day; the atmospheric sounding retrieved from the Davenport balloon launch observed lapse rates of 8.5 °C/km."
17,The warm front demarcating the northward push of the unstable air also focused the development of storms across the region.
18,"Prior to August 10, the Storm Prediction Center(SPC) and the local offices of the National Weather Service(NWS) did not anticipate a storm of exceptional magnitude."
19,Predictive weather models also yielded inaccurate projections of the storm and continued to do so even on the day of the event.
20,"On August 3, the SPC noted in a Convective Outlook that a series of shortwave troughs was forecast to move through northern portions of the U.S. in the coming days, becoming possible impetuses for thunderstorm development leading up to and on August 10."
21,"Three days before the event, the SPC assessed a Marginal Risk of severe weather for a swath of the central U.S. extending from northern Kansas to southern Michigan, including parts of southern Iowa, northern Missouri, and northern Illinois."
