index,Recording Location,Peak Wind Gust Speed,Recorded By,Unnamed: 3
0,"Cedar Rapids, Iowa",(est.) 140 mph (225 km/h; 62.6 m/s),NWS Storm Survey,[2]
1,"Marion, Iowa[i]",(est.) 130 mph (209 km/h; 58.1 m/s),NWS Storm Survey,[2]
2,"Atkins, Iowa",126 mph (203 km/h; 56.3 m/s),Personal Station,[2]
3,"Midway, Iowa[i]",112 mph (180 km/h; 50 m/s),,[50][40]
4,"Le Grand, Iowa[i]",106 mph (171 km/h; 47 m/s),Mesonet - Personal Station,[6][50][40]
5,"Hiawatha, Iowa[i]",100 mph (160 km/h; 45 m/s),,[50][40]
6,"Forreston, Illinois",(est.) 100 mph (160 km/h; 45 m/s),NWS Storm Survey,[7]
7,"Marshalltown, Iowa (Airport)",99 mph (159 km/h; 44 m/s),ASOS,[70][40]
8,"Albion, Iowa[i]",99 mph (159 km/h; 44 m/s),,[50][40]
9,"Marshalltown, Iowa",(est.) 90–95 mph (145–153 km/h; 40–42 m/s),"Iowa DOT, Storm spotter, Storm chaser",[70][50][40]
10,"Dixon, Illinois[i]",92 mph (148 km/h; 41 m/s),Mesonet - Personal Station,[7][50]
11,"Cedar Point, Illinois[i]",91 mph (146 km/h; 41 m/s),Storm spotter,[41]
12,"Atkins, Iowa",90 mph (140 km/h; 40 m/s),,[40]
13,"Blairstown, Iowa",90 mph (140 km/h; 40 m/s),,[40]
14,"Glen Ellyn, Illinois",(est.) 90 mph (140 km/h; 40 m/s),NWS Storm Survey,[7]
15,"Harvey, Illinois[i]",(est.) 90 mph (140 km/h; 40 m/s),NWS Storm Survey,[7]
16,"Ottawa, Illinois",(est.) 90 mph (140 km/h; 40 m/s),NWS Storm Survey,[7]
17,"Davenport, Iowa (Airport)",87 mph (140 km/h; 39 m/s),ASOS,[40]
18,Chicago (Lincoln Square),85 mph (137 km/h; 38 m/s),Mesonet - Personal Station,[7]
19,Neal Smith National Wildlife Refuge,85 mph (137 km/h; 38 m/s),RAWS,[70]
20,"Urbandale, Iowa",85 mph (137 km/h; 38 m/s),Mesonet - Personal Station,[70][50]
21,"Elkhart, Iowa[i]",85 mph (137 km/h; 38 m/s),Mesonet - Personal Station,[70]
22,"Moline, Illinois[i]",85 mph (137 km/h; 38 m/s),Iowa DOT,[2][40]
23,"Plainfield, Illinois[i]",84 mph (135 km/h; 38 m/s),Mesonet - Personal Station,[7]
24,"Iowa City, Iowa[i] (Airport)",82 mph (132 km/h; 37 m/s),ASOS,[7]
25,"South Pekin, Illinois",80 mph (130 km/h; 36 m/s),,[41]
26,"Colfax, Iowa",(est.) 80 mph (130 km/h; 36 m/s),General Public,[70]
27,"Mendota, Illinois",(est.) 80 mph (130 km/h; 36 m/s),NWS Employee,[7]
28,"Des Moines, IA (Airport)",(est.) 75–80 mph (120–130 km/h; 34–36 m/s),"ASOS, Storm spotter",[70][50][40]
29,Quad Cities (Airport),79 mph (127 km/h; 35 m/s),ASOS,[2]
30,"Ankeny, IA (Airport)",78 mph (126 km/h; 35 m/s),AWOS,[70][40]
31,"Hubbard, Iowa",77 mph (120 km/h; 34 m/s),CWOP,[70]
32,"Leighton, Iowa",75 mph (120 km/h; 34 m/s),Mesonet - Personal Station,[70]
33,"Lee, Illinois",(est.) 75 mph (120 km/h; 34 m/s),Storm spotter,[7]
34,"Kentland, Indiana[i]",73 mph (120 km/h; 33 m/s),Mesonet - Personal Station,[7]
35,Chicago (Midway),72.5 mph (117 km/h; 32.4 m/s),,[50]
36,"Cedar Rapids, Iowa (Airport)",68 mph (109 km/h; 30 m/s),ASOS,[2]
37,"Spring Bay, Illinois",65 mph (105 km/h; 29 m/s),,[41]
38,"Morton, Illinois",65 mph (105 km/h; 29 m/s),,[41]
39,"Bloomington, Illinois",64 mph (103 km/h; 29 m/s),,[41]
40,Chicago (O'Hare),62 mph (100 km/h; 28 m/s),,[50]
