,EF#,Location,County / Parish,State,Start Coord.,Time (UTC),Path length,Max width,Summary
0,EFU,SW of LaMoille,Marshall,IA,42°00′06″N 93°04′12″W﻿ / ﻿42.0016°N 93.0701°W,16:30–16:31,1.03 mi (1.66 km),50 yd (46 m),A brief tornado occurred on the leading edge of the derecho. No damage was found.[172]
1,EFU,NE of Minerva,Marshall,IA,42°07′30″N 93°04′06″W﻿ / ﻿42.125°N 93.0683°W,16:36–16:37,0.42 mi (0.68 km),50 yd (46 m),A brief tornado occurred in cropland. No damage was found.[173]
2,EF1,SSE of Albion to NNW of Marshalltown,Marshall,IA,42°05′27″N 92°58′40″W﻿ / ﻿42.0907°N 92.9778°W,16:39–16:42,2.88 mi (4.63 km),100 yd (91 m),Most of the damage done was to crops and trees. Some homes had minor damage.[174]
3,EFU,SE of Gladbrook,Tama,IA,42°09′35″N 92°37′15″W﻿ / ﻿42.1598°N 92.6208°W,17:01–17:02,1.48 mi (2.38 km),40 yd (37 m),Convergent path in fields were found. No damage occurred.[175]
4,EFU,N of Cedar Rapids Airport,Linn,IA,41°54′23″N 91°43′44″W﻿ / ﻿41.9063°N 91.729°W,17:31–17:32,0.92 mi (1.48 km),40 yd (37 m),"A path through cropland was found on satellite imagery, ahead of a larger swath of wind damage, but no damage could be attributed to the tornado itself.[176]"
5,EF0,SSW of Burton,Grant,WI,42°41′38″N 90°49′52″W﻿ / ﻿42.694°N 90.8312°W,17:32–17:34,0.55 mi (0.89 km),50 yd (46 m),"A high-end EF0 tornado damaged two outbuildings, power lines, and hardwood trees.[177]"
6,EF0[β],WSW of Florence to WSW of Freeport,Stephenson,IL,42°12′43″N 89°41′18″W﻿ / ﻿42.2119°N 89.6884°W,19:12–19:17,4.59 mi (7.39 km),50 yd (46 m),"A path through cropland was found on satellite imagery ahead of a larger swath of wind damage, but no damage could be attributed to the tornado itself.[178]"
7,EF0,Western Rockford,Winnebago,IL,42°14′58″N 89°08′00″W﻿ / ﻿42.2495°N 89.1332°W,19:37–19:38,1.8 mi (2.9 km),50 yd (46 m),First of two tornadoes to strike Rockford. Some trees were damaged along the path.[179]
8,EF1,Northeastern Rockford to Caledonia,"Winnebago, Boone",IL,42°16′50″N 89°01′19″W﻿ / ﻿42.2806°N 89.022°W,19:47–20:05,9.18 mi (14.77 km),300 yd (270 m),"Second of two tornadoes to strike Rockford. Trees and tree limbs were downed in the northeastern part of Rockford, with significant tree damage occurring in a localized area just east of Rock Valley College. Homes, apartment buildings, and businesses sustained roof, siding, and shingle damage. Numerous utility poles were downed as well, and tree limbs were downed in Caledonia before the tornado dissipated.[180][181]"
9,EF0,Fairdale to W of Colvin Park,DeKalb,IL,42°05′46″N 88°55′36″W﻿ / ﻿42.0962°N 88.9266°W,19:50–19:57,6.28 mi (10.11 km),40 yd (37 m),"A utility pole was snapped, trees were damaged, and a plastic covering was ripped off a greenhouse. A convergent pattern was left in flattened corn fields.[182]"
