,sentences
0,"A small but deadly tornado outbreak affected West and Middle Tennessee on the night of March 2 and into the morning of March 3, 2020, including a high-end EF3 tornado that hit Nashville and Mount Juliet, becoming the 6th costliest tornado in United States history, and a violent EF4 tornado that impacted areas in and just west of Cookeville."
1,"A total of 25 people were killed by the tornadoes, with an additional 309 being injured, and more than 70,000 lost electricity."
2,The path of the Nashville tornado was very similar to the one that hit East Nashville in 1998.
3,"A few additional tornadoes were also confirmed in Alabama, southeastern Missouri, and western Kentucky."
4,Total damage from the event reached $1.607 billion according to the National Centers for Environmental Information.
5,"-Meteorological synopsis-
The threat for severe weather across Middle Tennessee and surrounding areas was not forecast well in advance."
6,The Storm Prediction Center(SPC) first issued a slight risk across northeastern Arkansas into the Tennessee Valley area in their 1:00 a.m. CST(06:00 UTC) March 2 outlook.
7,"In their forecast, the SPC noted that an unstable atmosphere was likely to materialize ahead of an approaching cold front, but that this environment would likely be contained by a capping inversion for most of the day."
8,"By the afternoon hours, the SPC expected the combination of rich moisture, modest wind shear, and cold mid-level temperatures to promote the formation of supercells with a primary risk of large hail."
9,Some tornadic activity appeared possible overnight given an increase in low-level winds.
10,"At 5:20 p.m. CST, the first tornado watch was issued from northern Arkansas northeastward into southern Indiana and western Kentucky as discrete storms began to develop."
11,"By 11:00 p.m. CST, as a surface low progressed northeastward through southern Missouri, sustained barometric pressure falls caused supercell storms to give way to an organized storm cluster that gradually weakened as it progressed into an area of less abundant moisture."
12,"As convection weakened to the north, the SPC began to monitor areas farther south – encompassing eastern Arkansas, West Tennessee, and southwestern Kentucky – for reinvigorated thunderstorm development as the northern jet stream amplified southeastward into the risk area."
13,"Strong wind shear coupled with low instability was expected to promote activity with ""a risk for severe hail, strong surface gusts and perhaps potential for a tornado or two."""
14,"At 11:20 p.m. CST, a localized tornado watch was issued across Middle Tennessee."
15,"In subsequent hours, a long-lived and intense supercell produced ten tornadoes along the Interstate 40 corridor."
16,"A few hours after the Tennessee event, as severe weather moved farther south, a couple weaker tornadoes touched down in central Alabama as the outbreak wound down."
17,"--Tennessee supercell--
At 10:12 p.m. CST, the first tornado produced by the supercell touched down in Gibson County in West Tennessee."
18,This tornado was rated EF1 and was followed minutes later by a stronger and longer-tracked EF2 tornado which traveled across much of Carroll County.
19,"After causing minor to moderate damage with these two tornadoes, the supercell quickly produced a third tornado, also rated EF2, that touched down north of Camden in Benton County."
20,"This tornado produced significant damage along a nearly 19-mile(31 km) path, killing one person in Benton County before crossing Kentucky Lake into Humphreys County in Middle Tennessee."
21,It continued to produce damage until dissipating just north of Waverly at 11:31 p.m. CST.
22,"A fourth tornado, rated EF0, caused sporadic damage minutes later in the McEwen area."
23,"Upon crossing into Dickson County, the supercell began to weaken somewhat, with a marked decrease in rotation as the cell moved through Dickson and into Cheatham County."
24,"However, very large hail was reported in the Charlotte area as the cell passed through."
25,"After passing just north of Pegram, the supercell immediately began showing signs of better organization as a well-defined hook echo reappeared on radar."
26,"Just after entering Davidson County, the fifth tornado associated with the cell commenced at 12:32 a.m. CST, approximately 7 miles(11 km) northeast of Pegram."
27,"A tornado warning was issued for Downtown Nashville three minutes later as the tornado crossed the Cumberland River and impacted the John C. Tune Airport, as well as the nearby headquarters and terminal of truckload carrier Western Express, Inc. It would go on to produce widespread EF2 to high-end EF3 damage in the communities of North Nashville, Germantown, East Nashville, Donelson, Hermitage,and Mount Juliet while traveling 60.13 miles(96.77 km) through Davidson, Wilson, and Smith counties, also causing heavy damage in Lebanon and Gordonsville."
