,0,1
0,The tornado captured by a CCTV camera.,The tornado captured by a CCTV camera.
1,Meteorological history,Meteorological history
2,Formed,"March 3, 2020, 12:32 a.m. CST (UTC−06:00)"
3,Dissipated,"March 3, 2020, 1:35 a.m. CST (UTC−06:00)"
4,Duration,63 minutes
5,EF3 tornado,EF3 tornado
6,on the Enhanced Fujita scale,on the Enhanced Fujita scale
7,Highest winds,165 mph (266 km/h)
8,Overall effects,Overall effects
9,Casualties,"5 fatalities, 220 injuries"
10,Damage,$1.504 billion (2020 USD) (6th costliest tornado in US history)
