index,0,1
0,"EF4 damage along North McBroom Chapel Road, adjacent to Hensley Drive.","EF4 damage along North McBroom Chapel Road, adjacent to Hensley Drive."
1,Meteorological history,Meteorological history
2,Formed,"March 3, 2020, 1:48 a.m. CST (UTC−06:00)"
3,Dissipated,"March 3, 2020, 1:56 a.m. CST (UTC−06:00)"
4,Duration,8 minutes
5,EF4 tornado,EF4 tornado
6,on the Enhanced Fujita scale,on the Enhanced Fujita scale
7,Highest winds,175 mph (282 km/h)
8,Overall effects,Overall effects
9,Casualties,"19 fatalities, 87 injuries"
10,Damage,$100 million (2020 USD)
