,2021 California wildfires,2021 California wildfires.1
0,Smoke from multiple wildfires in California,Smoke from multiple wildfires in California
1,Date(s),January 14 – December 16
2,Statistics[1],Statistics[1]
3,Total fires,7396
4,Total area,"2,569,386 acres (1,039,794 ha)"
5,Impacts,Impacts
6,Deaths,3
7,Non-fatal injuries,22
8,Structures destroyed,3846
9,Damage,Unknown
10,Map,Map
11,"A map of wildfires in California in 2021, using Cal Fire data","A map of wildfires in California in 2021, using Cal Fire data"
12,Season,Season
13,← 2020 2022 →,← 2020 2022 →
