,sentences
0,The 2021 Western North America heat wave was an extreme heat wave that affected much of Western North America from late June through mid-July 2021.
1,"The heat wave affected Northern California, Idaho, Western Nevada, Oregon, and Washington in the United States, as well as British Columbia, and in its latter phase, Alberta, Manitoba, the Northwest Territories, Saskatchewan, and Yukon, all in Canada."
2,"It also affected inland regions of Central and Southern California, Nevada, and Montana, though the temperature anomalies were not as extreme as in the regions farther north."
3,"The heat wave was characterized as a heat dome because of the extreme temperatures and the exceptionally strong ridge centered over the area, whose probability of formation was linked to the effects of climate change by multiple studies."
4,"It resulted in some of the highest temperatures ever recorded in the region, including the highest temperature ever measured in Canada at 49.6 °C(121.3 °F), as well as the highest temperatures in British Columbia, in the Northwest Territories, in the state of Washington as well as a tied record in Oregon."
5,"The record-high temperatures associated with the heat wave stretched from Oregon to northern Manitoba, and daily highs were set as far east as Labrador and as far southwest as Southern California."
6,"The extreme heat sparked numerous, extensive wildfires, some reaching hundreds of square kilometers in area."
7,"The eponymous Lytton wildfire destroyed the village of Lytton, British Columbia, the day after the site set the record high temperature for Canada."
8,"Extreme heat also damaged road and rail infrastructure, forced closures of businesses, disrupted cultural events, and melted snowcaps, in some cases resulting in flooding."
9,"The heat wave also caused extensive damage to agriculture across the region, resulting in substantial loss of crop yield and the death of 651,000 farm animals."
10,The National Oceanic and Atmospheric Administration(NOAA) estimated that the heat wave caused at least $8.9 billion(2021 USD) in damages in the USA.
11,"The death toll has been estimated to exceed 1,400 people, with at least 808 deaths estimated in western Canada."
12,The Chief Coroner of British Columbia reported that 619 deaths were recorded due to heat exposure in the week from June 25 to July 1.
13,"Confirmed deaths in the United States included at least 116 in Oregon(of which 72 were in Multnomah County, which includes almost all of Portland), at least 112 in Washington, and one death in Idaho."
14,An analysis by The New York Times suggests that around 600 excess deaths occurred the week the heat wave passed through Washington and Oregon.
15,"-Meteorological history-
On June 23, the United States National Weather Service warned of an approaching heat wave in the Pacific Northwest, whose origins could be traced to torrential rains in China."
16,"There, the warm, moist air rose and was eventually entrained by the jet stream, which transported it east over cooler waters."
17,"When that air current encountered an upper-level high-pressure zone, also called a ridge, it started to significantly deform, being forced to accommodate the high-pressure area south of the jet stream's meander."
18,"At the same time, the Southwestern United States was enduring an intense drought  which caused higher-than-average temperatures, leading to a similar heat wave earlier in June."
19,The remnants of this heat wave then moved north to the Pacific Northwest.
20,"Six days later, Environment Canada issued a heat warning for Alberta, Saskatchewan, British Columbia, Manitoba, Yukon, and Northwest Territories."
21,These conditions made way for a massive Rex block.
22,"In this situation, a high-pressure area stays in place for an extended period and does not let cyclones pass through it, which otherwise could have cooled the region; in this particular case, the high-pressure area was sandwiched between two stationary lows, which prevented the high-pressure region from moving."
23,"As the Pacific Northwest experienced severe drought conditions, the already warm air heated more quickly than usual, which intensified the ridge so strongly it caused a heat dome."
24,The downslope winds from the Cascades and other mountain ranges further warmed the air in the valleys.
25,"After the heat dome hovered over British Columbia and the Northwestern United States for a few days, it began to move eastward, bringing relief to the Pacific coast but breaking records east of the Rocky Mountains, particularly in the northern parts of the Prairie provinces."
26,Sweltering conditions were observed as far east as Northwest Ontario.
27,"By July 4–5, the remnants of the heat dome crossed Hudson Bay and, weakened somewhat by the cool waters, entered Quebec, and after that, Labrador, briefly triggering temperatures of around 30 °C(86 °F)."
28,"--Climate change and additional factors--
Climate change in Canada and in the United States are widely considered to have worsened the heat wave's unprecedented intensity and duration."
29,"According to a rapid attribution analysis, the heat wave would have been highly unlikely in the absence of anthropogenic climate change, which increased the likelihood of such a heat wave at least 150-fold."
30,"A further study in Nature Climate Change estimated that its occurrence was projected to increase rapidly with further global warming, possibly becoming a 10-year event in a climate warmed 2 °C relative to pre-industrial levels."
31,Broader climate shifts may have also contributed to worsening the heat wave; data provided by Verisk shows that the Pacific Northwest is among the fastest-heating regions in the continental United States and southern Canada.
32,The urban heat island effect could have further exacerbated the impact in cities.
33,"Based on historic data, several meteorologists noted that this phenomenon should be expected to occur only once over a thousand or several thousand years, while David Sauchyn, a scientist at the University of Regina, said that climate models had been predicting a heat wave of a similar intensity to happen in late 2020s at the earliest."
34,"A paper in Communications Earth & Environment found that the heat dome in the Pacific Northwest was 59% longer(27 days duration versus 17 days), 34% larger, and had 6% higher maximum amplitude, comparing the observed event and the event after detrending."
35,Overall the strength of the heat dome was 86% greater than the same event would have been without background warming.
36,"-Temperature records-
Much of the Pacific Northwest, normally known for its temperate weather in June, experienced temperature anomalies of 20–35 °F(11–19 °C) above average during this heat wave."
37,"Ground temperatures in some locations were measured to be excessively high - in Wenatchee, Washington, it reached 145 °F(63 °C), while the pavement at an intersection in Portland, Oregon reached 180 °F(82 °C)."
38,"The heat wave, combined with other extreme weather occurrences elsewhere, yielded the hottest June on record in North America."
39,It also contributed to the hottest June on record locally and regionally for many locations in Canada and the USA.
40,"--Canada--
The highest temperatures of the heat wave were registered in British Columbia, but areas as far east as Ontario were affected by the event."
41,"As of June 29, 2021, 103 all-time heat records were set across Western Canada."
42,"---British Columbia---
On June 27, there were 59 weather stations in B.C. that set records for hottest temperatures recorded."
43,"These were largely beaten in the following days(Kamloops, for instance, registered 45.8 °C(114.4 °F) on June 28 and 47.3 °C(117.1 °F) on June 29, the peak temperature recorded in a major population center in the region)."
44,"On June 28, records were set in Squamish, British Columbia at 43.0 °C(109.4 °F), Abbotsford at 42.9 °C(109.2 °F), Port Alberni at 42.7 °C(108.9 °F) and Victoria at 39.8 °C(103.6 °F)."
45,"On June 29, the temperature in Lytton, British Columbia, hit 49.6 °C(121.3 °F), the highest temperature ever recorded in Canada, although a nearby more modern station reported that the extreme was 1 °C lower."
46,The stations were temporarily isolated by the Lytton wildfire the next day.
47,The record occurred after consecutively setting new record highs of 46.6 °C(115.9 °F) on June 27 and 47.9 °C(118.2 °F) on June 28.
48,"It is also the highest temperature ever recorded north of 45°N, the highest temperature in the U.S. or Canada recorded outside the Desert Southwest, and higher than the absolute maximum temperatures of Europe or South America."
49,"---Alberta---
In Alberta, the highest heat was observed in the period from June 29 to July 1."
