,2021–22 North American winter,2021–22 North American winter.1
0,"NOAA-20 satellite image of a massive winter storm affecting much of North America on February 3, 2022","NOAA-20 satellite image of a massive winter storm affecting much of North America on February 3, 2022"
1,Seasonal boundaries,Seasonal boundaries
2,Meteorological winter,December 1 – February 28
3,Astronomical winter,December 21 – March 20
4,First event started,"October 12, 2021"
5,Last event concluded,"May 21, 2022"
6,Most notable event,Most notable event
7,,
8,Name,January 2022 North American blizzard
9,• Duration,"January 27–30, 2022"
10,• Lowest pressure,969 mb (28.61 inHg)
11,• Fatalities,4 fatalities
12,• Damage,$50 million (2022 USD)
13,Seasonal statistics,Seasonal statistics
14,Total storms (RSI) (Cat. 1+),5 total
15,Major storms (RSI) (Cat. 3+),0 total
16,Maximum snowfall accumulation,"60 inches (150 cm) east of Pinecrest, California (December 13–18, 2021)"
17,Maximum ice accretion,"0.8 inches (20 mm) in Lake Ariel, Pennsylvania (February 1–5, 2022)"
18,Total fatalities,41 total
19,Total damage,≥ $1.97 billion (2022 USD)
20,Related articles,Related articles
21,2021–22 European windstorm season,2021–22 European windstorm season
22,North American winters 2020–21 2021–22 2022–23,North American winters 2020–21 2021–22 2022–23
