index,2022 Atlantic hurricane season,2022 Atlantic hurricane season.1
0,Season summary map,Season summary map
1,Seasonal boundaries,Seasonal boundaries
2,First system formed,"June 5, 2022"
3,Last system dissipated,"November 11, 2022"
4,Strongest storm,Strongest storm
5,,
6,By maximum sustained winds,Ian
7,• Maximum winds,160 mph (260 km/h) (1-minute sustained)
8,• Lowest pressure,937 mbar (hPa; 27.67 inHg)
9,,
10,By central pressure,Fiona
11,• Maximum winds,140 mph (220 km/h) (1-minute sustained)
12,• Lowest pressure,931 mbar (hPa; 27.49 inHg)
13,Seasonal statistics,Seasonal statistics
14,Total depressions,16
15,Total storms,14
16,Hurricanes,8
17,Major hurricanes (Cat. 3+),2
18,Total fatalities,304 total
19,Total damage,> $117.708 billion (2022 USD) (Fourth-costliest tropical cyclone season on record[1])
20,Related articles,Related articles
21,Timeline of the 2022 Atlantic hurricane season 2022 Pacific hurricane season 2022 Pacific typhoon season 2022 North Indian Ocean cyclone season,Timeline of the 2022 Atlantic hurricane season 2022 Pacific hurricane season 2022 Pacific typhoon season 2022 North Indian Ocean cyclone season
22,"Atlantic hurricane seasons 2020, 2021, 2022, 2023, 2024","Atlantic hurricane seasons 2020, 2021, 2022, 2023, 2024"
