index,0,1,2,3,4,5
0,Source,Date,Named storms,Hurricanes,Major hurricanes,Ref
1,Average (1991–2020),Average (1991–2020),14.4,7.2,3.2,[5]
2,Record high activity,Record high activity,30,15,7†,[6]
3,Record low activity,Record low activity,1,0†,0†,[6]
4,,,,,,
5,CSU,"December 9, 2021",13–16,6–8,2–3,[7]
6,TSR,"December 10, 2021",18,8,3,[8]
7,TSR,"April 6, 2022",18,8,4,[9]
8,CSU,"April 7, 2022",19,9,4,[10]
9,TWC,"April 14, 2022",20,8,4,[11]
10,UA,"April 14, 2022",14,7,3,[12]
11,NCSU,"April 20, 2022",17–21,7–9,3–5,[13]
12,PSU,"May 9, 2022",11–19,,,[14]
13,UKMO*,"May 23, 2022",18,9,4,[15]
14,NOAA,"May 24, 2022",14–21,6–10,3–6,[16]
15,TSR,"May 31, 2022",18,8,4,[17]
16,CSU,"June 2, 2022",20,10,5,[18]
17,TWC,"June 17, 2022",21,9,4,[19]
18,UA,"June 20, 2022",15,7,3,[20]
19,TSR,"July 5, 2022",18,9,4,[21]
20,CSU,"July 7, 2022",20,10,5,[22]
21,UKMO,"August 2, 2022",16,6,4,[23]
22,NOAA,"August 4, 2022",14–20,6–10,3–5,[24]
23,CSU,"August 4, 2022",18,8,4,[24]
24,TWC,"August 18, 2022",17,7,3,[25]
25,,,,,,
26,,Actual activity,14,8,2,
27,* June–November only † Most recent of several such occurrences. (See all),* June–November only † Most recent of several such occurrences. (See all),* June–November only † Most recent of several such occurrences. (See all),* June–November only † Most recent of several such occurrences. (See all),* June–November only † Most recent of several such occurrences. (See all),
