,Name,County,Acres,Start date,Containment date,Notes,Ref
0,Airport Fire,Inyo,4136,"February 16, 2022","February 26, 2022",Unknown cause,[32]
1,Coastal Fire,Orange,200,"May 11, 2022","May 17, 2022",Unknown cause; burned into a neighborhood and destroyed 20 homes,[33][34]
2,Lost Lake Fire,Riverside,5856,"May 26, 2022","June 8, 2022",Unknown cause,[35]
3,Thunder Fire,Kern,2500,"June 22, 2022","June 27, 2022",Likely caused by lightning strike,[36][37]
4,Roblar Fire,Sonoma,63,"June 27, 2022","June 27, 2022",Unknown cause; 1 fatality from person trapped in a vehicle,[38]
5,Electra Fire,"Amador, Calaveras",4478,"July 4, 2022","July 28, 2022","Unknown cause, possibly fireworks from Fourth of July celebrations[39]",[40]
6,Washburn Fire,"Mariposa, Madera",4886,"July 7, 2022","July 30, 2022","Human caused, forced evacuations in Wawona and trail closures in Yosemite National Park; threatened Mariposa Grove",[41][42]
7,Oak Fire,Mariposa,19244,"July 22, 2022","September 2, 2022","Unknown cause, forced evacuations in Mariposa County. Destroyed 182 structures and damaged 10 structures",[43]
8,McKinney Fire,Siskiyou,60138,"July 29, 2022","September 7, 2022",Possibly caused by power lines; destroyed 185 structures and caused 4 fatalities,[44][45][46]
9,Yeti Fire,Siskiyou,7886,"July 29, 2022","September 1, 2022","Probable lightning caused, forced evacuations in Siskiyou County, originally named the China 2 fire",[47]
10,Summit Fire,Tulare,1394,"August 3, 2022","October 31, 2022","Caused by lightning, was suppressed using indirect methods, burning in southern Sequoia National Park",[48]
11,Red Fire,"Mariposa, Madera",8364,"August 4, 2022","September 28, 2022","Lightning caused, burned in Yosemite National Park, not fully suppressed due to natural barriers",[49]
12,Six Rivers Lightning Complex,"Humboldt, Trinity",41596,"August 5, 2022","November 3, 2022","Caused mandatory evacuations in Trinity and Humboldt counties, composed of multiple lightning fires that eventually merged into the Campbell Fire and Ammon Fire",[50][51]
13,Rodgers Fire,Tuolumne,2790,"August 8, 2022","September 26, 2022","Lightning caused, burned in Yosemite National Park, not fully suppressed due to natural barriers",[52]
14,Route Fire,Los Angeles,5208,"August 31, 2022","September 7, 2022","Burned near Interstate 5 and Castaic Lake, 1 structure destroyed and 7 firefighters injured",[53][54]
15,Border 32 Fire,San Diego,4456,"August 31, 2022","September 5, 2022","Burned near U.S./Mexico border, 10 structures destroyed",[55]
16,Mill Fire,Siskiyou,3935,"September 2, 2022","September 13, 2022","Burned in/near communities of Weed and Lake Shastina, destroyed 118 structures, caused 2 fatalities",[56]
17,Mountain Fire,Siskiyou,13440,"September 2, 2022","September 21, 2022","Burned 7 miles SW of Gazelle, 4 structures destroyed",[57]
18,Radford Fire,San Bernardino,1079,"September 2, 2022","September 30, 2022","Burned near Big Bear Lake, has caused evacuations in the region",[58]
19,Fairview Fire,Riverside,28307,"September 5, 2022","October 5, 2022","Burned near Hemet, caused 2 fatalities and destroyed 36 structures",[59]
20,Mosquito Fire,"Placer, El Dorado",76788,"September 6, 2022","October 23, 2022",Burned near Foresthill and caused evacuations in Placer and El Dorado County; destroyed 78 structures,[60][61][62]
21,Barnes Fire,Modoc,5843,"September 7, 2022","October 13, 2022","Caused by lightning, burned near Fort Bidwell in the Warner Mountains",[63]
22,Fork Fire,Madera,819,"September 7, 2022","September 13, 2022","Caused by a vehicle, destroyed 43 structures near North Fork",[64]
