index,Country,Temperature,Location,Date,Source
0,Andorra,41.0 °C (105.8 °F),Andorra La Vella,17 June and 12 August,[197]
1,Austria,36.7 °C (98.1 °F),Bad Deutsch-Altenburg,30 June,[198]
2,Belgium,40.0 °C (104.0 °F),Kapelle-op-den-Bos,19 July,[199]
3,Croatia,39.4 °C (102.9 °F),Valpovo,23 July,
4,Cyprus,42.2 °C (108.0 °F),Nicosia,25 June,[200]
5,Czechia,38.6 °C (101.5 °F),Vilice,20 July,[201]
6,Denmark,35.9 °C (96.6 °F),"Abed, Lolland",20 July,[202]
7,Estonia,33.0 °C (91.4 °F),Suuresta,19 August,[203]
8,Finland,32.5 °C (90.5 °F),Utsjoki,29 June,[204]
9,France,42.6 °C (108.7 °F),Biscarrosse,19 July,[205]
10,Germany,40.3 °C (104.5 °F),Bad Mergentheim,20 July,[206]
11,Gibraltar,44.2 °C (111.6 °F),Westside,14 July,
12,Greece,42.1 °C (107.8 °F),Fthiotida,23 June,[207]
13,Guernsey,34.2 °C (93.6 °F),Guernsey Airport,18 July,[208]
14,Hungary,41.5 °C (106.7 °F),Hódmezővásárhely and Kiskunfélegyháza,23 July,[209]
15,Iceland,30.1 °C (86.2 °F),Neskaupstadur,15 August,[80]
16,Ireland,33.2 °C (91.8 °F),Allenwood,18 July,[210]
17,Italy,46.6 °C (115.9 °F),Perugia,24 July,[211]
18,Jersey,37.9 °C (100.2 °F),"Maison St. Louis Observatory, Saint Helier",18 July,[212]
19,Latvia,34.2 °C (93.6 °F),Ventspils,25 June,
20,Liechtenstein,37.3 °C (99.1 °F),Vaduz,25 July,[213]
21,Lithuania,34.4 °C (93.9 °F),Ventė,28 August,
22,Luxembourg,40.1 °C (104.2 °F),Esch-sur-Alzette,19 July,[214]
23,Malta,39.0 °C (102.2 °F),Valletta,28 June,[215]
24,Monaco,37.4 °C (99.3 °F),Monte Carlo,19 July and 24 July,
25,Netherlands,39.5 °C (103.1 °F),Maastricht-Aachen Airport,19 July,[216]
26,Norway,30.1 °C (86.2 °F),Tromsø,2 July,[217]
27,Poland,38.4 °C (101.1 °F),Słubice,19 June,[218]
28,Portugal,47.0 °C (116.6 °F),Pinhão,14 July,[219]
29,Romania,39.3 °C (102.7 °F),Bucharest and Craiova,24 July,
30,San Marino,39.6 °C (103.3 °F),Dogana,24 July,[220]
31,Serbia,40.0 °C (104.0 °F),Niš,23 July,[221]
32,Slovakia,40.0 °C (104.0 °F),Dolné Plachtince,21 July,
33,Slovenia,39.4 °C (102.9 °F),Dobliče,23 July,
34,Spain,45.8 °C (114.4 °F),Torremocha del Campo,14 July,[222]
35,Sweden,37.2 °C (99.0 °F),Målilla,21 July,[167]
36,Switzerland,38.3 °C (100.9 °F),Geneva,4 August,[223]
37,United Kingdom,40.3 °C (104.5 °F),Coningsby,19 July,[224]
38,Vatican,40.8 °C (105.4 °F),Saint Peter's Basilica,28 June,[225]
