,2022 Pacific typhoon season,2022 Pacific typhoon season.1
0,Season summary map,Season summary map
1,Seasonal boundaries,Seasonal boundaries
2,First system formed,"January 27, 2022"
3,Last system dissipated,"December 12, 2022"
4,Strongest storm,Strongest storm
5,,
6,Name,Nanmadol
7,• Maximum winds,195 km/h (120 mph) (10-minute sustained)
8,• Lowest pressure,910 hPa (mbar)
9,Seasonal statistics,Seasonal statistics
10,Total depressions,37
11,Total storms,25
12,Typhoons,10
13,Super typhoons,3 (unofficial)[nb 1]
14,Total fatalities,498 total
15,Total damage,$5.07 billion (2022 USD)
16,Related articles,Related articles
17,2022 Atlantic hurricane season 2022 Pacific hurricane season 2022 North Indian Ocean cyclone season,2022 Atlantic hurricane season 2022 Pacific hurricane season 2022 North Indian Ocean cyclone season
18,"Pacific typhoon seasons 2020, 2021, 2022, 2023, 2024","Pacific typhoon seasons 2020, 2021, 2022, 2023, 2024"
