,TSR forecasts Date,Tropical storms,Total Typhoons,Intense TCs,ACE,Ref.
0,Average (1965–2021),25.9,16.2,8.8,293,[4]
1,"May 5, 2022",23,13,7,293,[4]
2,"July 6, 2022",23,13,7,217,[5]
3,"August 9, 2022",23,14,6,166,[6]
4,Other forecasts Date,Forecast Center,Period,Period,Systems,Ref.
5,"December 22, 2021",PAGASA,January–March,January–March,0–3 tropical cyclones,[7]
6,"December 22, 2021",PAGASA,April–June,April–June,1–4 tropical cyclones,[7]
7,"June 29, 2022",PAGASA,July–September,July–September,3–6 tropical cyclones,[8]
8,"June 29, 2022",PAGASA,October–December,October–December,5–9 tropical cyclones,[8]
9,2022 season,Forecast Center,Tropical cyclones,Tropical storms,Typhoons,Ref.
10,Actual activity:,JMA,37,25,10,
11,Actual activity:,JTWC,29,25,13,
12,Actual activity:,PAGASA,18,14,6,
