,Name,Dates,Peak intensity,Peak intensity,Peak intensity,Areas affected,Damage (USD),Deaths,Refs
,Name,Dates,Category,Wind speed,Pressure,Areas affected,Damage (USD),Deaths,Refs
0,TD,January 27–28,Tropical depression,Not specified,1006 hPa (29.71 inHg),,,,
1,01W,March 29–31,Tropical depression,Not specified,1006 hPa (29.71 inHg),Vietnam,$149 million,6,[13][12]
2,Malakas (Basyang),April 6–15,Very strong typhoon,165 km/h (105 mph),945 hPa (27.91 inHg),"Guam, Caroline Islands, Bonin Islands",,,
3,Megi (Agaton),April 8–12,Tropical storm,75 km/h (45 mph),996 hPa (29.41 inHg),Philippines,$200 million,214,[44]
4,TD,May 30,Tropical depression,Not specified,1006 hPa (29.71 inHg),Philippines,,,
5,Chaba (Caloy),June 28 – July 5,Typhoon,130 km/h (80 mph),965 hPa (28.50 inHg),"Philippines, China, Vietnam",$464 million,12,[72][384]
6,Aere (Domeng),June 30 – July 4,Tropical storm,85 km/h (50 mph),994 hPa (29.35 inHg),Japan,Unknown,,
7,TD,July 24–25,Tropical depression,55 km/h (35 mph),1006 hPa (29.71 inHg),,,,
8,Songda,July 26 – August 1,Tropical storm,75 km/h (45 mph),996 hPa (29.41 inHg),"Japan, South Korea, North Korea",,,
9,Trases (Ester),July 29 – August 1,Tropical storm,65 km/h (40 mph),998 hPa (29.47 inHg),"Ryukyu Islands, South Korea",,,
10,08W,August 3–4,Tropical depression,Not specified,1002 hPa (29.59 inHg),"South China, Vietnam",Unknown,,
11,Mulan,August 8–11,Tropical storm,65 km/h (40 mph),994 hPa (29.35 inHg),"South China, Vietnam, Laos, Thailand, Myanmar",$1.43 million,7,[13][124][125][385]
12,Meari,August 8–14,Tropical storm,75 km/h (45 mph),996 hPa (29.41 inHg),Japan,Unknown,,
13,TD,August 14,Tropical depression,Not specified,1012 hPa (29.88 inHg),,,,
14,Ma-on (Florita),August 20–26,Severe tropical storm,100 km/h (65 mph),985 hPa (29.09 inHg),"Philippines, South China, Vietnam",$66.6 million,7,[140][386][387][388]
15,Tokage,August 21–25,Typhoon,140 km/h (85 mph),970 hPa (28.64 inHg),,,,
16,TD,August 22,Tropical depression,55 km/h (35 mph),1008 hPa (29.77 inHg),,,,
17,Hinnamnor (Henry),August 27 –September 6,Violent typhoon,195 km/h (120 mph),920 hPa (27.17 inHg),"Japan, Philippines, Taiwan, East China, South Korea, North Korea, Russian Far East",$1.81 billion,20,[174][389]
18,13W (Gardo),August 30 – September 1,Tropical depression,55 km/h (35 mph),998 hPa (29.47 inHg),,,,
19,Muifa (Inday),September 3–15,Very strong typhoon,155 km/h (100 mph),950 hPa (28.05 inHg),"Philippines, Taiwan, Yaeyama Islands, East China",$437 million,3,
20,Merbok,September 10–15,Typhoon,130 km/h (80 mph),965 hPa (28.50 inHg),,,,
21,Nanmadol (Josie),September 12–19,Violent typhoon,195 km/h (120 mph),910 hPa (26.87 inHg),"Japan, Korean Peninsula, Russian Far East",$1.2 billion,4,[228]
22,Talas,September 20–23,Tropical storm,65 km/h (40 mph),1000 hPa (29.53 inHg),Japan,Unknown,3,[235]
23,Noru (Karding),September 21–29,Very strong typhoon,175 km/h (110 mph),940 hPa (27.76 inHg),"Philippines, Vietnam, Laos, Thailand, Cambodia",$313 million,40,[390][391][392][13]
24,Kulap,September 25–29,Severe tropical storm,110 km/h (70 mph),965 hPa (28.50 inHg),,,,
25,TD,September 25–26,Tropical depression,Not specified,1012 hPa (29.88 inHg),,,,
26,Roke (Luis),September 28 – October 1,Typhoon,130 km/h (80 mph),975 hPa (28.79 inHg),Daitō Islands,,,
27,Maymay,October 11–12,Tropical depression,Not specified,1002 hPa (29.59 inHg),Philippines,$9.16 million,2,[275][393]
28,21W,October 12–14,Tropical depression,55 km/h (35 mph),1002 hPa (29.59 inHg),,,,
29,Sonca,October 13–15,Tropical storm,65 km/h (40 mph),998 hPa (29.47 inHg),"Vietnam, Laos, Cambodia",$102 million,10,[13][294][297][298]
30,Nesat (Neneng),October 14–20,Typhoon,140 km/h (85 mph),965 hPa (28.50 inHg),"Philippines, Taiwan, South China, Vietnam, Cambodia, Laos",$16.7 million,,[303][394][304]
31,Haitang,October 17–19,Tropical storm,65 km/h (40 mph),1004 hPa (29.65 inHg),,,,
32,25W (Obet),October 18–23,Tropical depression,55 km/h (35 mph),1006 hPa (29.71 inHg),Philippines,Minimal,2,[395]
33,Nalgae (Paeng),October 26 – November 3,Severe tropical storm,110 km/h (70 mph),975 hPa (28.79 inHg),"Philippines, Hong Kong, Macau, South China",$321 million,160,[396][397][398][399]
34,Banyan (Queenie),October 28 – November 3,Tropical storm,75 km/h (45 mph),1002 hPa (29.59 inHg),"Caroline Islands, Palau, Mindanao",,,
35,Yamaneko,November 11–14,Tropical storm,65 km/h (40 mph),1004 hPa (29.65 inHg),,,,
36,Pakhar (Rosal),December 10–12,Tropical storm,75 km/h (45 mph),998 hPa (29.47 inHg),Philippines,,8,[361]
37,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates
38,37 systems,"January 27 – December 12, 2022",,195 km/h (120 mph),910 hPa (26.87 inHg),,$5.09 billion,498,
