index,Bond Fire,Bond Fire.1
0,Two firefighters battling a Bond Fire hotspot on December 5,Two firefighters battling a Bond Fire hotspot on December 5
1,Date(s),"December 2, 2020 –December 10, 2020"
2,Location,"Santiago Canyon, Orange County, California"
3,Coordinates,33°46′37″N 117°38′17″W﻿ / ﻿33.777°N 117.638°W
4,Statistics[1][2][3],Statistics[1][2][3]
5,Burned area,"6,686 acres (2,706 ha)"
6,Impacts,Impacts
7,Non-fatal injuries,2
8,Structures destroyed,31
9,Ignition,Ignition
10,Cause,House fire
11,Map,Map
12,Location in California,Location in California
