,sentences
0,"The Cerro Grande Fire was a prescribed-burn forest fire in Los Alamos, New Mexico, United States of America, that occurred in May of 2000."
1,"The fire started as a controlled burn on May 4, 2000, and became uncontrolled owing to high winds and drought conditions."
2,"Over 400 families in the town of Los Alamos, New Mexico, lost their homes in the resulting 58,000 acre fire."
3,"Structures at Los Alamos National Laboratory were also destroyed or damaged, although without loss or destruction of any of the special nuclear material housed there."
4,No loss of human life occurred.
5,The US General Accounting Office estimated total damages at $1 billion.
6,"-Prelude-
Although wildfire is a natural part of the ecosystem of western forests, fire suppression began to be widespread in the late 19th century just as land-use patterns(e.g."
7,intensive grazing) limited the cover that had formerly sustained and been sustained by low-intensity ground fires.
8,High-density stands of small trees and thick underbrush permitted a natural periodic ground fire to leap into a high-intensity crown fire.
9,"There followed a century of fire suppression, during which large fires occurred on the Pajarito Plateau about every 20 years: an 1896 fire, several fires in the 1920s, a fire in 1946, the 1954 Water Canyon Fire, the 1977 La Mesa Fire, and the 1996 Dome Fire."
10,The 1977 La Mesa Fire served as the precedent for how destructive forest fires in the area could be and how compounding issues such as fuel buildup and lack of area survey were ignored leading up to the Cerro Grande Fire.
11,"It burned 15,000 acres(60 km2) in Bandelier National Monument, but accelerated a change in attitudes within the National Park Service toward managing fire."
12,"On Bandelier National Monument, firebreaks were improved, as were fuel breaks, and in some areas, trees were thinned."
13,"The 1996 Dome Fire burned 16,500 acres(67 km2) in nine days and threatened the southern section of Los Alamos National Laboratory."
14,"The Interagency Wildfire Management Team was formed by representatives of Los Alamos National Laboratory, Los Alamos County, Bandelier National Monument, Santa Fe National Forest, State of New Mexico, and Pueblo agencies."
15,The Pajarito Plateau saw high levels of precipitation throughout the early 1990s followed by a drought in the latter half of the decade.
16,"By 2000, conditions were ideal for a major forest fire on the plateau."
17,Forest deadfall had a moisture content lower than that of well-cured firewood.
18,"The heavy rains and snows of the mid-1990s had produced luxuriant undergrowth, while the onset of drought toward the end of the decade had increased its flammability."
19,"-Origin-
The fire originated as a controlled burn that was part of the 10-year Bandelier National Monument plan for reducing fire hazard within the monument."
20,"The starting point was high on Cerro Grande, a 10,200-foot(3110-m) summit on the rim of the Valles Caldera not far north of New Mexico State Road 4, the main highway through Los Alamos County."
21,"Like many mountains in the Jemez, Cerro Grande was mainly covered with coniferous forest, composed largely of Ponderosa pine, Douglas fir, white fir, and aspen trees, with a characteristic rincon(meadow) on its southern slopes near the summit."
22,"This grassy area also represented the headwaters of Frijoles Creek(Rito de los Frijoles), which flows southeast into Frijoles Canyon and on to the Rio Grande, passing en route the main tourist areas at Bandelier."
23,"The plan for the burn(see the NPS summary below) called for initial ignition(""phase 1"") to be in the rincon, followed by flanking fires(""phase 2"") along the slightly higher country east and west of Frijoles Creek."
24,"Ignition of the phase-1 burn was scheduled for May 4, 2000."
25,"In the aftermath of the disaster, Bandelier officials came under intense criticism for this plan, and particularly, for proceeding with it in the face of what appeared to be powerful contradictions."
26,"Ms Gary Jones, associate director of energy, resources, and science issues at the general accounting office, points out a lack of consideration toward fuel buildup in the park, nearby Santa Fe National Forest, and the thousands of people living in Los Alamos and surrounding communities.[2] The main point of contention was wind."
27,"In the springtime, the Jemez Mountains are prone to high winds and low humidity, which often create high to extreme fire danger."
28,"Critics insisted that the likelihood of such winds while the controlled burn was in progress was so great, and the risk of resulting loss of control so severe, that the burn should never have been attempted at that time of year."
29,"At the same time, Bandelier officials faced a most disagreeable dilemma."
30,"Proceeding with the burn risked disaster if control was lost, as indeed happened."
31,"However, not doing the burn might also have been disastrous because the entire southern slope of Cerro Grande was tinder-dry and ready to ignite catastrophically in the event of a lightning strike(hardly unusual in the Jemez in the spring) or human carelessness with fire."
32,"The same winds that militated against starting the controlled burn might then have driven the uncontrolled fire toward Los Alamos, with terrible consequences."
33,"In any case, the controlled burn was indeed initiated on May 4, and things rapidly got out of hand."
34,"-Timeline-
4 May 2000: Prescribed burn was started in the late evening."
35,5 May 2000: Control lines were burned through on east side during late morning.
36,Wildland fire declared in early afternoon and a type-3 incident command was established for fire suppression.
37,6 May 2000: A fire line was constructed using pre-existing control lines.
38,7 May 2000: Fire behavior became increasingly erratic with spotting by noon.
39,8 May 2000: A type-1 incident management team assumed command in the early morning.
40,"Los Alamos National Laboratory, Los Alamos Public Schools and the County all closed for business."
41,"10 May 2000: Very high winds resulted in the prescribed fire reaching a mile or more over fire lines to North, South, and East."
42,"Los Alamos townsite’s population of 11,000 people was evacuated 1:01 PM."
43,"That evening, 235 homes in Los Alamos were destroyed."
44,"11 May 2000: The nearby community of White Rock's(7000 residents plus an additional 7000 Los Alamos evacuees staying there), was evacuated shortly after midnight."
45,14 May 2000: The evacuation order for White Rock was lifted.
46,18 May 2000: Los Alamos residents were allowed to return.
47,22 May 2000: Los Alamos National Laboratory began phased reopening.
48,6 June 2000: The Cerro Grande fire was declared contained.
49,20 July 2000: The Cerro Grande fire was declared extinguished.
50,"-Aftermath-
--Flash floods--
A particular concern was the possibility of flooding in areas downstream from the burned zone."
51,"The town of Los Alamos, the national laboratory, and the lower parts of the burned area are all situated on the Pajarito Plateau, an area of extensive canyons and mesas in which surface runoff tends to concentrate in the canyon bottoms."
52,"This tendency was exacerbated in Cerro Grande's aftermath because the soil in the burned areas had become hydrophobic, raising the specter of drastically increased water flow in the streams in the canyons that the existing streambeds might not have been able to handle."
53,"This concern, coupled with the prospect of monsoon rains that typically begin in about July in the area, made dealing with the possibility of flooding urgent."
54,"The highest priority for flood management involved the Los Alamos Critical Experiments Facility(LACEF), a remote site for conducting research in nuclear criticality safety that housed substantial quantities of special nuclear material."
55,The LACEF laboratories were in the bottom of Pajarito Canyon.
56,"A month after the fire, a ""short-duration(30-minute), relatively moderate-intensity thunderstorm"" caused a brief, heavy flood in this canyon upstream of LACEF. """
57,"The maximum estimated peak flow in Pajarito Canyon upstream of State Road(SR) 501 was 1020 cfs, an all-time record for watersheds gaged by LANL on the Pajarito Plateau..."" To protect LACEF, a large, temporary ""dry dam"" was constructed in the canyon upstream of LACEF to temporarily contain flash floods that might result if an intense thunderstorm happened to rain heavily on the terrain drained by Pajarito Canyon."
58,Runoff was monitored at multiple stations in the headwater streams above Pajarito Canyon.
59,"In the event, the monsoon of the summer of 2000 was not particularly intense, and damage from flooding was generally minimal."
60,"No severe flooding occurred in Pajarito Canyon before vegetation upstream had recovered sufficiently, over several years, to retain runoff, and the dry dam eventually was removed."
61,"Severe flooding did occur in upper Pueblo Canyon, significantly damaging Diamond Drive, one of the town's arterial roads."
62,Water quality was monitored by LANL for several years in the aftermath of the fire.
