,sentences
0,"The Columbus Day storm of 1962(also known as the big blow of 1962, and originally in Canada as Typhoon Freda) was a Pacific Northwest windstorm that struck the West Coast of Canada and the Pacific Northwest coast of the United States on October 12, 1962."
1,"Typhoon Freda was the twenty-eighth tropical depression, the twenty-third tropical storm, and the eighteenth typhoon of the 1962 Pacific typhoon season."
2,Freda originated from a tropical disturbance over the Northwest Pacific on September 28.
3,"On October 3, the system strengthened into a tropical storm and was given the name Freda, before becoming a typhoon later that day, while moving northeastward."
4,"The storm quickly intensified, reaching its peak as a Category 3-equivalent typhoon on October 5, with maximum 1-minute sustained winds of 115 mph(185 km/h) and a minimum central pressure of 948 millibars(28.0 inHg)."
5,"Freda maintained its intensity for another day, before beginning to gradually weaken, later on October 6."
6,"On October 9, Freda weakened into a tropical storm, before transitioning into an extratropical cyclone on the next day."
7,"On October 11, Freda turned eastward and accelerated across the North Pacific, before striking the Pacific Northwest on the next day."
8,"On October 13, the cyclone made landfall on Washington and Vancouver Island, and then curved northwestward."
9,"Afterward, the system moved into Canada and weakened, before being absorbed by another developing storm to the south on October 17."
10,The Columbus Day storm of 1962 is considered to be the benchmark of extratropical wind storms.
11,"The storm ranks among the most intense to strike the region since at least 1948, likely since the January 9, 1880 ""Great Gale"" and snowstorm."
12,"The storm is a contender for the title of the most powerful extratropical cyclone recorded in the U.S. in the 20th century; with respect to wind velocity, it is unmatched by the March 1993 ""storm of the century"" and the ""1991 Halloween Nor'easter""(""the perfect storm"")."
13,"The system brought strong winds to the Pacific Northwest and southwest Canada, and was linked to 46 fatalities in the northwest and Northern California resulting from heavy rains and mudslides."
14,"-Meteorological history-
On the morning of September 28, a tropical disturbance formed south of Eniwetok Atoll."
15,"After moving westward and making a large bend around the island, the new system slowly gained strength, and on the morning of October 3, the system became a tropical storm about 500 miles(800 km) from Wake Island, over the central Pacific Ocean."
16,"Now named Freda, the system rapidly intensified as it proceeded northeastward over the open Pacific waters."
17,"On that afternoon, Freda intensified into a typhoon, with 1-minute sustained winds of 80 mph(130 km/h)."
18,"On October 4, the typhoon quickly intensified, reaching its peak of 115 mph(185 km/h) on the next day, with a minimum central pressure of 948 millibars(27.99 inHg), making the storm the equivalent of a Category 3 typhoon on the Saffir–Simpson scale."
19,"After stabilizing to the north, Freda maintained its strength through the Pacific, before beginning to weaken slowly on October 6."
20,"Making a turn to the northeast, Freda maintained typhoon-status winds for several more days, before weakening into a tropical storm on October 9, as it started experiencing the effects of cold air."
21,"Moving northeastward at a steady rate of 16 mph(26 km/h), the storm slowly underwent an extratropical transition, becoming extratropical operationally on the morning of October 10, still with winds of 45 mph(72 km/h)."
22,The system became an extratropical cyclone as it moved into colder waters and interacted with the jet stream.
23,"However, post-season analysis concluded that the system continued weakening as it continued northeastward, crossing the 180th meridian later that afternoon, before completing the transition that evening."
24,"The extratropical low redeveloped intensely off the coast of Northern California, due to favorable upper-level conditions, producing record rainfall across the San Francisco Bay Area that delayed some games in the 1962 World Series between the San Francisco Giants and the New York Yankees."
25,"The low moved northeastward, and then hooked straight north, as it neared southwest Oregon."
26,"The storm then raced nearly northward at an average speed of 40 miles per hour(64 km/h), with the center situated just 50 miles(80 km) off the Pacific Coast."
27,"There was little central pressure change until the cyclone passed the latitude of Astoria, Oregon, at which time the low began to degrade."
28,"On October 13, the center passed over Tatoosh Island, Washington, before making landfall on Vancouver Island, British Columbia, where it weakened rapidly."
29,"The cyclone then curved northwestward, before turning back eastward and moving into Canada."
30,"As the cyclone moved through Canada, another cyclone formed on its southern periphery, which absorbed the original cyclone by October 17."
31,"The extratropical cyclone deepened to a minimum central pressure of at least 960 hPa(28 inHg), and perhaps as low as 958 hPa(28.3 inHg), a pressure which would be equivalent to a Category 3 hurricane on the Saffir–Simpson hurricane scale(SSHS)."
32,"Since the system was an extratropical cyclone, its wind field was neither as compact nor as strong as a tropical cyclone, though its wind field was significantly larger."
33,"All-time record-low land-based pressures(up to 1962) included 969.2 hPa(28.62 inHg) at Astoria, 970.5 hPa(28.66 inHg) at Hoquiam, Washington, and 971.9 hPa(28.70 inHg) at North Bend, Oregon."
34,"The Astoria and Hoquiam records were broken by a major storm on December 12, 1995(which measured 966.1 hPa(28.53 inHg) at Astoria); however, this event did not generate winds as intense as the Columbus Day Storm of 1962."
35,"-Wind speed highlights-
The peak winds were felt as the storm passed close by on October 12."
36,"At Cape Blanco on the southern Oregon coast, an anemometer that lost one of its cups registered wind gusts in excess of 145 miles per hour(233 kilometers per hour); some reports put the peak velocity at 179 mph(288 km/h)."
37,The north Oregon coast Mt. Hebo radar station reported winds of 170 mph(270 km/h).
38,"At the Naselle Radar Station in the Willapa Hills of southwest Washington, a wind gust of 160 mph(260 km/h) was observed."
39,"In Salem, Oregon, a wind gust of 90 mph(140 km/h) was recorded."
40,"At Corvallis, Oregon, an inland location in the Willamette Valley, one-minute average winds reached 69 miles per hour(111 km/h), with a gust to 127 mph(204 km/h), before the station was abandoned due to ""power failure and instruments demolished""."
41,Observations at the weather station resumed the next day.
42,"About 80 miles(130 km) to the north, at Portland, Oregon's major metropolitan area, measured wind gusts reached 116 mph(187 km/h) at the Morrison Street Bridge in downtown Portland."
43,"A peak gust of 92 mph(148 km/h) was recorded at Pearson Field in Vancouver, Washington, around 10 miles north of downtown Portland."
44,"Many anemometers, official and unofficial, within the heavily stricken area of northwestern Oregon and southwest Washington were damaged or destroyed before winds attained maximum velocity."
45,"For example, the wind gauge atop the downtown Portland studios of KGW radio and TV recorded two gusts of 93 mph(150 km/h), just before flying debris knocked the gauge off-line shortly after 5 p.m.
For the Willamette Valley, the lowest peak gust officially recorded was 86 mph(138 km/h) at Eugene."
46,"This value, however, is higher than the maximum peak gust generated by any other Willamette Valley windstorm in the 1948–2010 period."
47,"In the interior of western Washington, officially measured wind gusts included 78 miles per hour(126 km/h) at Olympia, 88 mph(142 km/h) at McChord Air Force Base, 100 mph(160 km/h) at Renton at 64 feet(20 m) and 98 mph(158 km/h) at Bellingham."
48,"In the city of Seattle, a peak wind speed of 65 mph(105 km/h) was recorded; this suggests gusts of at least 80 mph(130 km/h)."
49,Damaging winds reached as far inland as Spokane.
50,"Wind gusts of 58 mph(93 km/h), the National Weather Service minimum for ""High Wind Criteria,"" or higher were reported from San Francisco, to Vancouver, British Columbia."
51,"-Impact-
At least 46 fatalities were attributed to this storm, more than for any other Pacific Northwest weather event."
52,Injuries went into the hundreds.
53,"In terms of natural disaster-related fatalities for the 20th century, only Oregon's Heppner Flood of 1903(247 deaths), Washington's Wellington avalanche of 1910(96 deaths), the Great Fire of 1910(87 deaths), and Eruption of Mount St. Helens of 1980(57 deaths) caused more."
54,"For Pacific Northwest windstorms in the 20th century, the runner up was the infamous October 21, 1934, gale, which caused 22 fatalities, mostly in Washington."
55,"In less than 12 hours, more than 11 billion board feet(26,000,000 m3) of timber was blown down in northern California, Oregon and Washington combined; some estimates put it at 15 billion board feet(35,000,000 m3)."
56,This exceeded the annual timber harvest for Oregon and Washington at the time.
57,"This value is above any blowdown measured for East Coast storms, including hurricanes; even the often-cited 1938 New England hurricane, which toppled 2.65 billion board feet(6,300,000 m3), falls short by nearly an order of magnitude."
58,"Estimates put the dollar damage at approximately $230 million to $280 million for California, Oregon, and Washington combined."
59,Those figures in 1962 US dollars translate to $1.8 to $2.2 billion in 2014 US dollars.
60,Oregon's share exceeded $200 million in 1962 US dollars.
61,"This is comparable to land-falling hurricanes that occurred within the same time frame(for example, Audrey, Donna, and Carla from 1957 to 1961)."
62,The Metropolitan Life Insurance Co.(now MetLife) named the Columbus Day Storm the nation's worst natural disaster of 1962.
63,"--California--
In Central and Northern California, all-time record rains associated with the atmospheric river along the cold front caused major flooding and mudslides, particularly in the San Francisco Bay Area."
64,"Oakland set an all time calendar day record with 4.52 inches(115 mm) of rain on the 13th, as did Sacramento with 3.77 inches(96 mm)."
65,More than 7 inches(180 mm) of rainfall were recorded in the Bay area.
