,0,1
0,Surface analysis of the storm near its peak intensity[1],Surface analysis of the storm near its peak intensity[1]
1,Meteorological history,Meteorological history
2,Formed,"September 28, 1962"
3,Extratropical,"October 10, 1962"
4,Dissipated,"October 17, 1962"
5,Category 3-equivalent typhoon,Category 3-equivalent typhoon
6,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
7,Highest winds,185 km/h (115 mph)
8,Lowest pressure,948 hPa (mbar); 27.99 inHg
9,Extratropical cyclone,Extratropical cyclone
10,Highest gusts,170 mph (270 km/h)
11,Lowest pressure,960 hPa (mbar); 28.35 inHg
12,Overall effects,Overall effects
13,Fatalities,46
14,Damage,$230 million (1962 USD)
15,Part of the 1962 Pacific typhoon season and 1962–63 North American winter,Part of the 1962 Pacific typhoon season and 1962–63 North American winter
