index,0,1
0,Alan at its initial peak intensity on April 22,Alan at its initial peak intensity on April 22
1,Meteorological history,Meteorological history
2,Formed,"April 17, 1998"
3,Dissipated,"April 26, 1998"
4,Category 1 tropical cyclone,Category 1 tropical cyclone
5,10-minute sustained (FMS),10-minute sustained (FMS)
6,Highest winds,75 km/h (45 mph)
7,Lowest pressure,992 hPa (mbar); 29.29 inHg
8,Tropical storm,Tropical storm
9,1-minute sustained (SSHWS/NPMOC),1-minute sustained (SSHWS/NPMOC)
10,Highest winds,85 km/h (50 mph)
11,Overall effects,Overall effects
12,Fatalities,10
13,Areas affected,French Polynesia
14,IBTrACS,IBTrACS
15,Part of the 1997–98 South Pacific cyclone season,Part of the 1997–98 South Pacific cyclone season
