,0,1
0,Cyclone Apollo at peak intensity on 29 October off the eastern coast of Sicily,Cyclone Apollo at peak intensity on 29 October off the eastern coast of Sicily
1,Meteorological history,Meteorological history
2,Formed,24 October 2021
3,Dissipated,2 November 2021
4,Tropical storm,Tropical storm
5,Highest winds,100 km/h (65 mph)
6,Lowest pressure,999 hPa (mbar); 29.50 inHg
7,Overall effects,Overall effects
8,Fatalities,7
9,Damage,>$245 million (2021 USD)
10,Areas affected,"Algeria, Tunisia, Italy (especially Sicily), Malta, Libya, Cyprus, Turkey"
11,[1],[1]
12,Part of the 2021–22 European windstorm season,Part of the 2021–22 European windstorm season
